	GTEX.ZF29.1926.SM.5S2P1	GTEX.117YW.1826.SM.5PNY5	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.139YR.0226.SM.5IFEM	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.CG.5734.11A.01R.1602.13	GTEX.ZYY3.1726.SM.5EGH3
C3orf17	1135.2	363.56	223.41	153.34	201.25	133.36	236.21	239.52	242.88	115.97	195.72	163.28	412.0	255.0	563.18	412.0	457.25	497.0	193.01	186.4	595.34	769.69	341.51	346.29	249.73	336.79	476.71	373.81	291.04	409.15	563.18	384.34	327.56	249.73	674.59	389.72	297.17	318.57	575.03	497.0	291.04	224.97	289.02	327.56	231.32	450.94	325.29	854.13	1331.57	473.41	295.11	483.38	563.18	269.6	1199.98	356.05	251.48	490.14	323.03	244.57	251.48
C7orf55-LUC7L2	2119.22	493.56	329.84	473.41	409.15	358.54	435.55	480.04	454.09	334.46	351.14	620.67	995.0	928.3	1697.45	1051.79	642.59	1208.34	915.51	684.02	1639.59	1605.83	1159.07	1199.98	764.36	836.53	915.51	1167.14	785.88	842.36	1191.69	1397.83	1594.73	507.46	2255.7	1159.07	518.15	967.76	1388.16	1540.37	1268.46	928.3	842.36	1378.57	679.29	1508.65	981.29	1781.89	1340.84	1119.56	1059.11	909.17	2061.24	1051.79	1781.89	1233.75	872.1	1322.37	769.69	674.59	438.59
CC2D2B	5.06	1.03	0.0	2.71	0.0	0.0	0.0	1.91	2.05	0.0	0.46	3.32	6.52	9.48	9.06	3.11	2.56	14.14	4.9	0.6	22.59	2.51	7.88	11.38	4.03	8.0	7.22	10.16	10.39	1.41	8.45	4.1	12.64	4.78	16.63	7.82	1.38	2.78	10.0	11.47	11.47	2.46	1.62	5.32	2.32	16.03	10.0	16.03	9.7	14.24	5.19	7.46	18.16	3.5	8.19	18.7	12.64	15.22	2.07	1.45	0.42
CCDC84	551.56	190.34	48.87	202.66	173.85	65.26	139.07	205.5	221.86	124.37	126.12	185.11	728.11	366.09	1340.84	830.75	389.72	753.83	559.28	232.94	1151.06	1135.2	825.0	642.59	384.34	297.17	587.13	808.0	1096.5	232.94	555.41	1427.22	384.34	486.75	1037.29	406.31	190.34	267.73	878.17	981.29	921.88	438.59	941.27	543.96	1030.12	1135.2	343.89	2018.8	884.29	748.61	409.15	791.35	1583.71	624.99	1250.98	1088.92	559.28	1096.5	295.11	132.44	94.67
CDC23	620.67	190.34	307.69	241.19	193.01	208.38	161.02	212.78	224.97	142.01	205.5	212.78	242.88	301.33	450.94	397.93	273.37	301.33	307.69	132.44	412.0	253.23	316.37	305.55	198.47	381.68	351.14	318.57	343.89	173.85	591.22	444.72	381.68	212.78	603.67	348.71	135.24	295.11	633.73	466.88	400.71	334.46	232.94	283.05	231.32	423.61	348.71	500.46	718.08	316.37	351.14	381.68	511.0	260.38	432.53	423.61	381.68	447.82	258.57	162.14	220.32
CDC40	444.72	138.1	104.42	125.24	161.02	106.63	169.07	152.28	108.9	102.97	96.01	169.07	165.57	194.36	264.03	277.2	190.34	279.14	232.94	71.5	241.19	199.85	186.4	236.21	156.59	267.73	283.05	244.57	265.87	176.29	343.89	291.04	258.57	95.34	348.71	251.48	69.52	177.53	397.93	232.94	275.28	177.53	158.79	193.01	127.0	271.48	206.94	318.57	507.46	220.32	229.72	237.86	287.01	185.11	297.17	291.04	258.57	267.73	220.32	177.53	66.18
CEP120	551.56	116.78	16.15	31.45	78.34	28.45	62.56	71.0	49.56	76.71	31.9	108.14	182.55	190.34	279.14	195.72	133.36	249.73	249.73	115.16	297.17	211.31	204.07	226.54	73.54	258.57	218.79	249.73	185.11	134.3	229.72	198.47	283.05	67.59	249.73	231.32	53.19	176.29	271.48	264.03	262.2	197.09	115.97	208.38	90.14	285.03	183.82	275.28	395.18	231.32	149.12	170.25	291.04	175.07	255.0	211.31	165.57	226.54	136.19	79.45	55.89
CIRBP	13872.08	3190.46	7803.01	2537.92	2915.45	2664.15	2627.46	2720.15	2384.37	3081.75	1073.91	3742.05	8191.0	12329.98	20030.74	8840.04	8778.97	11189.6	8247.98	4210.15	13492.72	14163.58	11664.82	8421.31	6983.79	9151.82	12676.65	17804.06	10733.74	4268.94	9409.14	14065.74	10512.82	4066.71	18560.17	11827.67	5672.41	8191.0	7642.41	18178.19	18431.96	12764.83	15824.9	13306.94	8963.45	14461.21	9474.59	15715.58	13492.72	10014.87	12076.21	15392.14	11424.74	8479.89	15715.58	11424.74	6207.38	11035.54	3540.14	2384.37	1583.71
CLK4	579.04	96.68	59.55	111.99	185.11	40.64	161.02	141.02	170.25	85.22	162.14	133.36	147.06	169.07	738.29	209.84	161.02	547.75	260.38	69.52	463.65	178.77	211.31	540.19	133.36	503.95	571.05	674.59	281.09	89.51	417.77	642.59	476.71	139.07	679.29	466.88	61.25	143.01	693.58	842.36	607.87	414.87	186.4	218.79	126.12	409.15	299.25	796.86	764.36	463.65	283.05	309.83	836.53	218.79	486.75	480.04	361.04	599.49	113.56	158.79	89.51
CUL4B	1167.14	223.41	93.35	318.57	197.09	104.42	221.86	214.27	181.28	147.06	236.21	253.23	366.09	426.57	353.59	457.25	262.2	591.22	397.93	283.05	633.73	334.46	493.56	397.93	237.86	346.29	414.87	441.64	336.79	234.57	674.59	575.03	525.39	221.86	656.11	490.14	202.66	389.72	595.34	532.74	441.64	353.59	316.37	353.59	305.55	620.67	320.8	656.11	665.29	409.15	325.29	420.68	759.08	295.11	688.78	497.0	346.29	559.28	285.03	167.9	181.28
CXorf56	629.35	316.37	229.72	170.25	127.0	127.89	136.19	153.34	183.82	166.73	70.01	246.28	366.09	417.77	483.38	514.56	361.04	420.68	423.61	125.24	529.06	457.25	295.11	432.53	104.42	379.04	409.15	473.41	366.09	325.29	435.55	248.0	417.77	155.5	540.19	400.71	141.02	211.31	438.59	476.71	466.88	241.19	358.54	406.31	316.37	397.93	376.41	412.0	325.29	406.31	403.5	389.72	579.04	299.25	363.56	371.22	373.81	400.71	226.54	170.25	67.59
EAPP	2032.85	1096.5	371.22	575.03	698.41	514.56	620.67	629.35	909.17	500.46	540.19	460.44	854.13	1519.15	1268.46	1467.37	660.68	1233.75	909.17	454.09	1540.37	1508.65	1540.37	1340.84	563.18	954.43	1378.57	1605.83	1066.48	647.07	1551.09	1208.34	1378.57	447.82	1378.57	1135.2	432.53	1175.27	1540.37	1191.69	1447.15	915.51	1044.52	1208.34	698.41	1936.53	738.29	1397.83	1183.45	1183.45	1340.84	1477.58	1529.73	1167.14	1407.55	1175.27	693.58	1127.35	669.92	713.11	260.38
EML5	97.36	15.68	11.04	21.94	48.18	15.8	31.0	31.0	37.32	18.43	26.67	56.68	56.68	68.07	62.12	84.63	44.89	90.77	58.3	22.75	106.63	54.33	80.01	90.14	13.83	67.12	75.64	105.89	79.45	32.13	98.73	82.87	77.25	46.5	84.63	64.34	13.52	59.97	103.69	79.45	84.04	101.54	57.89	103.69	24.46	82.87	50.98	107.38	76.71	82.29	57.89	65.26	119.26	76.71	88.88	71.0	67.12	90.77	40.07	19.82	12.18
ERCC3	934.76	283.05	346.29	305.55	303.44	258.57	229.72	285.03	318.57	139.07	273.37	406.31	525.39	607.87	698.41	547.75	567.1	579.04	559.28	327.56	713.11	748.61	620.67	486.75	599.49	708.18	633.73	688.78	669.92	447.82	703.28	753.83	656.11	503.95	796.86	693.58	291.04	460.44	656.11	884.29	660.68	651.58	579.04	698.41	633.73	860.08	660.68	884.29	988.12	647.07	543.96	579.04	860.08	555.41	693.58	738.29	713.11	802.41	379.04	234.57	239.52
ETAA1	314.17	24.63	8.51	42.71	72.52	15.8	59.55	61.25	43.02	35.25	23.08	59.55	76.17	165.57	201.25	136.19	94.01	178.77	94.01	71.5	198.47	100.13	105.15	162.14	62.12	170.25	237.86	264.03	144.01	61.25	295.11	198.47	217.27	67.59	320.8	197.09	42.11	118.43	305.55	318.57	229.72	217.27	122.64	115.97	197.09	221.86	81.14	273.37	264.03	191.67	136.19	258.57	180.02	140.04	332.14	221.86	115.97	206.94	114.36	45.53	49.21
FAM178A	358.54	53.57	60.82	69.03	54.33	36.27	72.01	82.87	100.83	12.55	51.35	88.26	144.01	163.28	373.81	237.86	176.29	283.05	137.14	100.13	234.57	105.15	181.28	229.72	84.04	232.94	273.37	307.69	187.71	84.63	239.52	275.28	220.32	102.97	343.89	234.57	68.07	111.21	343.89	339.14	289.02	169.07	130.6	193.01	193.01	334.46	181.28	356.05	314.17	239.52	211.31	229.72	241.19	152.28	329.84	229.72	198.47	329.84	116.78	49.21	57.89
FAM192A	2193.99	1313.23	620.67	1127.35	703.28	780.44	718.08	1001.93	1015.93	507.46	775.05	1119.56	1088.92	1721.16	2335.28	1561.89	1051.79	1467.37	1159.07	967.76	2004.85	1437.15	1709.26	1477.58	1331.57	1733.13	1832.01	2148.82	1498.22	1088.92	1781.89	2032.85	1551.09	1143.1	1936.53	1437.15	642.59	1096.5	1639.59	2271.4	1733.13	1529.73	1674.06	1340.84	1417.35	1923.14	1313.23	2796.65	2434.5	1561.89	1313.23	1909.85	2434.5	1628.26	1733.13	1697.45	1583.71	1561.89	866.07	1216.75	1286.18
FAM208A	1397.83	127.0	83.45	223.41	169.07	75.11	154.42	249.73	329.84	123.5	202.66	341.51	703.28	547.75	599.49	723.08	500.46	674.59	612.11	258.57	808.0	381.68	866.07	616.37	351.14	674.59	848.22	728.11	599.49	343.89	1001.93	660.68	764.36	486.75	748.61	684.02	237.86	480.04	836.53	825.0	642.59	603.67	299.25	595.34	414.87	808.0	579.04	1015.93	1313.23	665.29	540.19	819.3	665.29	457.25	813.63	718.08	665.29	848.22	555.41	215.77	134.3
FAM217B	224.97	15.45	11.04	16.03	21.94	5.92	10.16	9.06	30.12	8.06	4.5	38.95	105.15	133.36	142.01	131.51	79.45	155.5	70.01	71.5	155.5	111.21	127.89	127.89	44.25	130.6	148.09	158.79	127.0	43.32	139.07	156.59	181.28	50.63	164.42	126.12	19.39	89.51	117.6	162.14	156.59	127.0	87.03	80.57	43.32	146.03	62.12	208.38	153.34	102.97	123.5	119.26	175.07	100.83	190.34	140.04	85.82	131.51	108.14	19.39	33.78
FBXO38	1143.1	127.89	145.02	181.28	199.85	167.9	237.86	173.85	178.77	173.85	204.07	297.17	620.67	698.41	808.0	547.75	463.65	728.11	529.06	185.11	728.11	836.53	775.05	684.02	289.02	669.92	718.08	660.68	713.11	540.19	718.08	656.11	808.0	136.19	748.61	825.0	117.6	476.71	1008.9	759.08	703.28	796.86	480.04	785.88	607.87	780.44	575.03	902.89	775.05	599.49	785.88	483.38	802.41	441.64	665.29	665.29	791.35	748.61	518.15	232.94	103.69
FRG1	1991.0	518.15	273.37	532.74	660.68	212.78	559.28	603.67	698.41	466.88	591.22	860.08	915.51	1111.82	1051.79	1331.57	638.15	1242.34	764.36	518.15	1447.15	753.83	1259.69	974.5	417.77	1159.07	1066.48	1388.16	595.34	941.27	2163.77	819.3	1313.23	429.54	1359.57	796.86	486.75	620.67	1417.35	860.08	785.88	974.5	954.43	995.0	555.41	1350.18	647.07	1135.2	2287.2	1037.29	1259.69	1388.16	1233.75	967.76	1073.91	1191.69	567.1	1111.82	743.43	785.88	373.81
GOPC	607.87	121.79	96.68	115.16	145.02	120.1	136.19	144.01	161.02	76.17	114.36	170.25	212.78	251.48	336.79	356.05	248.0	361.04	277.2	90.77	348.71	194.36	287.01	356.05	159.9	361.04	353.59	339.14	231.32	180.02	426.57	346.29	406.31	127.0	406.31	395.18	76.71	169.07	384.34	389.72	368.65	244.57	173.85	287.01	187.71	368.65	301.33	441.64	511.0	318.57	277.2	293.07	409.15	248.0	414.87	339.14	273.37	314.17	239.52	138.1	92.7
GPATCH11	249.73	42.71	11.82	45.21	47.84	9.56	40.64	60.39	49.56	50.27	47.17	55.49	144.01	120.1	169.07	190.34	119.26	150.17	150.17	50.63	223.41	163.28	237.86	139.07	98.73	218.79	173.85	154.42	156.59	92.05	273.37	182.55	231.32	100.83	182.55	180.02	75.11	101.54	180.02	154.42	218.79	122.64	95.34	165.57	61.25	139.07	95.34	193.01	258.57	134.3	148.09	132.44	166.73	141.02	130.6	242.88	189.02	142.01	140.04	119.26	48.18
GPATCH8	684.02	109.66	57.89	57.49	46.18	51.71	67.12	56.28	61.25	37.85	135.24	63.0	318.57	320.8	309.83	204.07	228.13	417.77	503.95	119.26	423.61	450.94	366.09	285.03	167.9	358.54	450.94	199.85	318.57	198.47	376.41	329.84	466.88	155.5	334.46	381.68	128.79	236.21	420.68	351.14	318.57	285.03	187.71	379.04	183.82	460.44	249.73	426.57	454.09	447.82	325.29	151.22	612.11	212.78	373.81	381.68	339.14	346.29	291.04	197.09	143.01
GTF2IRD2B	1819.35	193.01	234.57	221.86	281.09	368.65	248.0	483.38	336.79	249.73	316.37	312.0	536.45	435.55	967.76	591.22	536.45	896.64	638.15	108.14	698.41	921.88	934.76	703.28	256.78	518.15	753.83	607.87	642.59	318.57	769.69	878.17	647.07	341.51	775.05	733.19	143.01	293.07	854.13	674.59	854.13	571.05	540.19	854.13	483.38	693.58	698.41	1088.92	947.83	693.58	591.22	620.67	1015.93	579.04	660.68	854.13	708.18	928.3	332.14	334.46	206.94
GTF3C3	624.99	125.24	117.6	88.26	98.04	81.14	93.35	96.01	114.36	52.82	72.01	120.1	279.14	242.88	341.51	273.37	248.0	346.29	281.09	98.04	309.83	279.14	234.57	242.88	138.1	371.22	289.02	353.59	295.11	176.29	395.18	336.79	283.05	121.79	353.59	379.04	40.64	185.11	480.04	412.0	336.79	221.86	199.85	255.0	137.14	318.57	273.37	371.22	507.46	281.09	366.09	248.0	450.94	195.72	318.57	318.57	303.44	312.0	220.32	214.27	97.36
HEATR5B	616.37	111.21	76.71	40.36	62.56	56.68	56.28	65.72	56.68	40.93	72.01	126.12	248.0	249.73	358.54	262.2	183.82	287.01	325.29	94.67	323.03	202.66	583.07	199.85	149.12	336.79	332.14	267.73	273.37	139.07	454.09	295.11	307.69	191.67	426.57	341.51	105.15	143.01	346.29	381.68	341.51	258.57	159.9	397.93	134.3	450.94	206.94	397.93	368.65	334.46	316.37	158.79	343.89	258.57	291.04	395.18	267.73	307.69	138.1	103.69	102.97
HNRNPA1L2	229.72	39.22	70.51	32.13	66.18	17.0	47.17	41.81	48.52	16.51	18.7	84.63	100.83	119.26	177.53	156.59	176.29	164.42	80.01	45.53	187.71	279.14	131.51	153.34	63.45	176.29	182.55	242.88	138.1	70.51	226.54	253.23	155.5	66.65	191.67	169.07	32.36	69.03	201.25	244.57	193.01	76.71	146.03	190.34	115.97	201.25	95.34	231.32	260.38	214.27	139.07	264.03	366.09	145.02	194.36	244.57	120.94	201.25	78.89	29.7	34.26
HNRNPUL2	1457.23	297.17	728.11	329.84	346.29	273.37	320.8	307.69	368.65	108.9	323.03	497.0	656.11	909.17	995.0	825.0	660.68	1242.34	802.41	295.11	1417.35	647.07	688.78	860.08	299.25	830.75	813.63	915.51	1015.93	665.29	1286.18	1111.82	1216.75	435.55	995.0	1008.9	307.69	217.27	1081.39	1096.5	981.29	693.58	547.75	819.3	607.87	1081.39	571.05	1407.55	1540.37	1143.1	698.41	796.86	872.1	507.46	825.0	848.22	934.76	909.17	693.58	551.56	249.73
IPO8	836.53	214.27	165.57	158.79	232.94	187.71	271.48	281.09	215.77	244.57	262.2	320.8	540.19	454.09	603.67	450.94	323.03	540.19	629.35	297.17	813.63	403.5	435.55	332.14	269.6	497.0	529.06	432.53	620.67	299.25	743.43	450.94	743.43	140.04	511.0	490.14	110.43	283.05	642.59	521.76	486.75	397.93	273.37	518.15	295.11	525.39	387.02	723.08	728.11	457.25	543.96	356.05	738.29	318.57	563.18	476.71	457.25	616.37	507.46	264.03	101.54
IRAK4	447.82	102.25	47.5	91.41	105.89	36.01	78.34	109.66	182.55	60.82	163.28	111.99	201.25	189.02	414.87	176.29	159.9	293.07	144.01	72.01	277.2	167.9	226.54	273.37	223.41	191.67	438.59	249.73	236.21	121.79	323.03	339.14	242.88	72.01	466.88	242.88	36.79	149.12	379.04	389.72	256.78	202.66	129.69	221.86	180.02	325.29	206.94	536.45	669.92	297.17	220.32	248.0	314.17	150.17	403.5	341.51	201.25	403.5	166.73	152.28	114.36
KCTD18	624.99	104.42	81.71	88.26	115.97	86.43	94.67	134.3	113.56	100.83	85.82	122.64	255.0	414.87	336.79	318.57	231.32	348.71	277.2	74.58	400.71	329.84	353.59	248.0	115.97	332.14	346.29	305.55	316.37	170.25	341.51	339.14	327.56	77.79	343.89	323.03	50.27	183.82	281.09	379.04	376.41	206.94	271.48	312.0	171.45	429.54	239.52	389.72	457.25	309.83	301.33	397.93	204.07	242.88	363.56	323.03	226.54	320.8	206.94	102.97	90.77
KRIT1	819.3	111.99	47.17	114.36	173.85	57.89	145.02	138.1	153.34	78.89	140.04	167.9	329.84	414.87	567.1	376.41	277.2	532.74	543.96	152.28	567.1	269.6	587.13	529.06	242.88	486.75	493.56	447.82	470.14	256.78	563.18	599.49	521.76	144.01	470.14	507.46	48.18	341.51	638.15	599.49	571.05	441.64	299.25	346.29	183.82	547.75	341.51	728.11	1225.22	511.0	353.59	432.53	591.22	339.14	620.67	571.05	503.95	656.11	339.14	226.54	98.04
NFYB	1572.76	348.71	114.36	688.78	403.5	320.8	412.0	412.0	423.61	674.59	555.41	529.06	647.07	748.61	775.05	665.29	514.56	1104.13	802.41	384.34	1313.23	791.35	1225.22	1044.52	368.65	723.08	878.17	1242.34	638.15	409.15	995.0	813.63	954.43	441.64	981.29	1135.2	353.59	764.36	1322.37	1059.11	1340.84	791.35	1073.91	595.34	633.73	1477.58	438.59	1378.57	1151.06	791.35	679.29	1183.45	921.88	684.02	1259.69	1066.48	412.0	934.76	563.18	195.72	228.13
