	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
MINPP1	447.82	543.96	389.72	540.19	470.14	457.25	507.46	299.25	466.88	356.05	429.54	460.44	132.44	371.22	379.04	140.04	163.28	212.78	348.71	343.89
MLLT4	1167.14	1745.2	2520.38	2061.24	1397.83	1745.2	1529.73	511.0	1417.35	1397.83	647.07	181.28	199.85	723.08	947.83	450.94	339.14	287.01	371.22	629.35
MRPL50	301.33	277.2	301.33	363.56	389.72	384.34	318.57	256.78	341.51	287.01	291.04	242.88	103.69	232.94	165.57	125.24	133.36	89.51	145.02	116.78
NAPEPLD	318.57	447.82	368.65	197.09	368.65	339.14	314.17	129.69	312.0	126.12	173.85	145.02	52.08	220.32	193.01	68.55	159.9	133.36	154.42	76.17
NBN	941.27	1001.93	1923.14	1104.13	1594.73	669.92	825.0	432.53	1104.13	647.07	529.06	665.29	356.05	470.14	463.65	77.25	164.42	163.28	217.27	73.54
NFATC2IP	480.04	559.28	660.68	748.61	651.58	507.46	551.56	351.14	579.04	358.54	587.13	392.44	251.48	351.14	305.55	149.12	170.25	171.45	246.28	134.3
NPAT	185.11	217.27	178.77	228.13	248.0	194.36	239.52	75.11	140.04	154.42	167.9	167.9	42.71	116.78	88.88	9.2	24.99	32.82	46.84	12.64
NUBPL	212.78	287.01	287.01	208.38	291.04	129.69	256.78	123.5	194.36	82.87	156.59	156.59	78.89	171.45	95.34	94.01	66.18	111.99	87.65	81.71
NUDT3	329.84	241.19	529.06	384.34	275.28	339.14	327.56	180.02	293.07	231.32	170.25	218.79	139.07	197.09	212.78	138.1	198.47	117.6	154.42	70.01
NUP43	397.93	679.29	718.08	497.0	555.41	463.65	521.76	358.54	595.34	228.13	258.57	299.25	110.43	363.56	376.41	151.22	153.34	70.51	133.36	85.22
ORC2	366.09	387.02	525.39	432.53	463.65	241.19	366.09	164.42	358.54	253.23	295.11	265.87	116.78	260.38	224.97	30.12	72.52	164.42	100.13	32.13
OXSR1	441.64	460.44	555.41	454.09	543.96	348.71	417.77	171.45	412.0	336.79	356.05	403.5	226.54	438.59	363.56	205.5	228.13	197.09	169.07	145.02
