	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.XF.AAN3.01A.11R.A42T.07	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.49.4506.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.R55G.0826.SM.2TC5U	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y8E4.0526.SM.4V6GC	GTEX.XBED.0826.SM.47JYC	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4591.01A.01R.1201.07	TCGA.77.8009.01A.11R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.A5.A3LP.01A.11R.A22K.07
BAAT	0.0	0.0	1.07	0.39	1.11	0.36	0.0	0.39	0.0	2.94	0.0	0.0	7803.01	8901.53	1397.83	1781.89	11827.67	1340.84	6792.79	7589.61	2335.28	4869.99	11267.44	3690.52	7589.61	1225.22	5751.61	10440.2	4388.98	1757.34	3235.01	7130.55	2895.31	3665.02	4010.71	647.07	1487.87	1639.59	3614.55	6337.83	5183.54	4328.55	5147.73	4903.87	9409.14	1268.46	4512.4	21768.19	15934.98	19482.97	3874.05	11664.82	16045.82	9474.59	10440.2	25005.23	17.64	5.45	0.21	5.11	3.06	12.36	2.73	69.03	647.07	6.73	10.96	22.75	9.78	2.29	3.89	1.06	2.92	38.67	2.39	7.82	9.7	0.21	4.28	36.53	1.1	0.0
C1orf115	414.87	54.33	202.66	312.0	271.48	387.02	363.56	387.02	191.67	194.36	258.57	406.31	1594.73	1651.0	954.43	1487.87	947.83	1183.45	1769.57	1037.29	4328.55	1369.04	1225.22	2627.46	1388.16	432.53	988.12	2520.38	1639.59	733.19	3190.46	2224.63	1313.23	1519.15	1487.87	1447.15	860.08	1963.57	947.83	1268.46	1540.37	1066.48	1457.23	1909.85	2451.44	2335.28	1487.87	2758.13	988.12	3039.3	2701.35	2384.37	4481.23	1529.73	2935.74	3212.66	148.09	291.04	60.82	36.53	117.6	57.08	285.03	119.26	728.11	1167.14	279.14	444.72	444.72	158.79	450.94	647.07	379.04	193.01	59.97	212.78	156.59	166.73	112.77	236.21	24.81	105.15
C6	3.35	0.0	0.0	171.45	51.35	212.78	20.86	26.67	4.66	2.29	1.17	176.29	3235.01	2609.3	1268.46	954.43	1977.24	273.37	3212.66	2400.97	435.55	1388.16	848.22	371.22	1857.6	18.16	2591.27	928.3	1340.84	426.57	2047.0	2090.03	915.51	3081.75	320.8	180.02	1242.34	1896.65	403.5	2816.11	2645.74	988.12	1073.91	2796.65	11504.21	4181.07	4123.49	5555.65	1819.35	7485.11	5147.73	10154.69	52863.07	7966.99	8078.22	37379.55	0.51	13.42	2.27	0.57	1.28	1.16	36.53	13.62	19.53	42.71	9.56	236.21	150.17	125.24	13.72	13.83	12.27	68.07	1.19	13.42	1.14	0.0	0.0	55.89	0.25	0.0
CD302	45.21	141.02	214.27	480.04	260.38	197.09	348.71	55.49	121.79	129.69	142.01	191.67	521.76	2271.4	928.3	638.15	688.78	1781.89	1407.55	785.88	1151.06	785.88	633.73	713.11	1051.79	1044.52	361.04	860.08	1104.13	463.65	961.07	400.71	497.0	1059.11	536.45	381.68	202.66	961.07	108.9	921.88	500.46	890.44	441.64	954.43	2133.97	3639.7	1639.59	2178.83	486.75	2956.17	4210.15	2796.65	6164.49	669.92	5183.54	5255.91	94.01	563.18	125.24	50.27	480.04	403.5	1277.29	316.37	277.2	2193.99	204.07	1963.57	860.08	260.38	423.61	409.15	1467.37	1369.04	100.83	182.55	212.78	26.86	232.94	842.36	12.45	40.64
CDO1	21.01	22.92	28.45	33.3	52.82	142.01	47.5	33.54	8.13	4.06	1.13	4.39	2255.7	2796.65	1295.13	1447.15	2163.77	1135.2	5255.91	3794.3	3303.0	3168.41	3235.01	1819.35	2468.49	656.11	713.11	10296.45	1896.65	1350.18	2224.63	4802.93	3103.19	3515.68	2855.44	2287.2	921.88	2090.03	1350.18	3491.39	4543.8	1407.55	2591.27	3742.05	4736.79	10585.95	11035.54	7331.05	529.06	23656.34	68793.23	3564.78	20881.4	4769.75	7857.29	26067.14	23.08	86.43	72.01	7.51	15.0	37.85	152.28	58.71	80.57	195.72	22.43	289.02	86.43	21.94	52.08	232.94	40.36	69.03	14.89	18.03	4.21	3.72	7.4	127.0	1.01	2.73
CFI	158.79	830.75	102.97	2485.67	3124.78	2384.37	1561.89	2627.46	2193.99	2664.15	3081.75	3515.68	8078.22	7433.4	4972.34	5076.84	5672.41	2485.67	6381.92	13123.73	2758.13	5255.91	3395.89	2956.17	6840.04	4419.52	5711.87	2075.59	3124.78	3349.13	8840.04	4328.55	5112.16	15715.58	2018.8	2032.85	1397.83	7537.18	6164.49	8718.32	8901.53	3103.19	8658.09	8363.13	15607.02	10512.82	4769.75	12502.12	6516.03	18052.61	13123.73	23820.89	39237.98	7382.04	20737.16	27553.49	217.27	1313.23	376.41	185.11	363.56	279.14	1806.78	2875.3	1233.75	669.92	1519.15	3146.52	1216.75	2224.63	1030.12	1277.29	3124.78	1277.29	151.22	397.93	248.0	242.88	178.77	2090.03	127.89	890.44
COQ10A	162.14	132.44	26.1	432.53	281.09	412.0	166.73	198.47	420.68	255.0	178.77	348.71	543.96	1250.98	1519.15	220.32	483.38	1277.29	381.68	559.28	603.67	563.18	921.88	1498.22	540.19	1417.35	273.37	381.68	638.15	397.93	612.11	460.44	389.72	409.15	470.14	473.41	336.79	473.41	629.35	902.89	629.35	529.06	813.63	567.1	660.68	587.13	239.52	1572.76	262.2	470.14	642.59	656.11	620.67	1268.46	162.14	426.57	158.79	318.57	214.27	123.5	171.45	148.09	187.71	149.12	316.37	387.02	93.35	285.03	212.78	248.0	195.72	392.44	237.86	209.84	142.01	93.35	109.66	218.79	202.66	175.07	127.0	128.79
CPB2	5.28	0.36	0.92	0.0	0.37	1.03	0.0	0.0	5.82	4.74	0.74	0.0	15180.22	10225.32	3874.05	12329.98	6935.54	1498.22	11035.54	14765.09	8840.04	12160.22	4607.24	4671.57	8778.97	3443.31	7032.37	5555.65	13215.02	6471.02	9344.14	4607.24	10014.87	15715.58	11584.24	3303.0	1832.01	6250.56	15715.58	9945.68	16269.83	1745.2	11992.79	9151.82	32092.64	4481.23	6840.04	29736.59	981.29	28328.16	30361.44	22380.2	74760.09	9025.81	11189.6	14765.09	0.0	249.73	0.0	1.83	7.69	18.84	56.28	1001.93	101.54	1572.76	854.13	2400.97	3820.7	215.77	3103.19	684.02	802.41	3257.52	0.43	35.76	3.32	0.0	0.0	60.82	3.72	1.6
CYP4A11	0.35	0.69	0.0	59.13	12.18	540.19	0.45	60.82	0.95	19.53	414.87	107.38	3928.15	1208.34	120.94	1977.24	11035.54	232.94	1322.37	3303.0	3491.39	3419.52	3039.3	6250.56	2591.27	4575.41	373.81	4066.71	12076.21	693.58	616.37	2997.45	2502.97	5791.62	559.28	341.51	1529.73	9409.14	532.74	2835.7	2796.65	1407.55	1437.15	3515.68	61571.56	6516.03	26248.46	90146.51	2835.7	71714.63	33224.42	44761.41	96616.71	112532.89	13399.51	56265.94	1.57	1.27	0.0	0.0	0.0	1.25	0.0	1.22	4.1	2.73	0.39	1.03	6.89	1.07	1.43	0.0	1.2	18.56	0.39	1.5	1.62	0.0	0.0	1.22	0.97	0.47
CYP4A22	0.0	2.07	0.0	10.0	4.06	82.29	0.0	7.75	0.0	1.87	29.27	14.78	941.27	860.08	25.54	543.96	2664.15	74.58	303.44	825.0	988.12	1037.29	543.96	2178.83	612.11	205.5	126.12	1001.93	2400.97	275.28	271.48	954.43	909.17	1081.39	201.25	231.32	346.29	1844.76	191.67	769.69	400.71	444.72	283.05	921.88	26614.89	2303.12	8479.89	18819.27	444.72	22692.63	16727.26	6561.36	14765.09	36610.26	3060.45	9151.82	2.71	5.23	0.0	0.0	0.0	0.0	0.0	0.75	0.43	3.69	0.0	1.25	8.85	0.69	2.41	1.25	3.59	7.4	0.0	2.1	0.99	0.0	0.0	1.53	0.95	0.0
CYP8B1	0.0	0.0	0.25	42.41	39.22	120.1	4.98	45.85	26.28	19.97	36.53	52.45	1540.37	1733.13	105.15	100.83	3794.3	74.58	2468.49	5555.65	90.77	909.17	3039.3	902.89	2032.85	16.51	221.86	287.01	3325.99	571.05	848.22	187.71	1066.48	2271.4	3190.46	249.73	15.91	253.23	579.04	1259.69	884.29	764.36	1427.22	1883.54	7803.01	316.37	3081.75	5751.61	11664.82	6652.97	13776.25	7857.29	50359.33	8305.36	15607.02	11909.94	0.0	3.99	0.0	0.67	0.97	0.0	0.67	0.0	2.03	0.06	1.19	0.13	0.0	1.06	0.22	2.1	0.06	0.62	0.57	0.61	0.56	0.0	0.0	1.5	1.08	5.63
DAO	0.67	0.69	9.13	175.07	84.63	246.28	82.29	941.27	258.57	36.53	197.09	68.55	674.59	1745.2	748.61	283.05	1639.59	140.04	423.61	902.89	723.08	1001.93	1286.18	1844.76	743.43	194.36	490.14	587.13	2047.0	218.79	1088.92	414.87	343.89	909.17	642.59	559.28	285.03	1208.34	414.87	836.53	599.49	366.09	981.29	1286.18	6121.9	256.78	4543.8	5831.91	4639.29	5751.61	3103.19	2335.28	3491.39	8022.41	902.89	4181.07	0.0	1.91	3.38	0.88	2.89	1.53	1.99	16.75	5.92	0.0	5.5	9.13	3.32	5.15	0.0	0.0	0.0	5.23	0.92	0.73	0.0	0.65	3.41	4.9	0.0	1.33
DHTKD1	346.29	129.69	152.28	525.39	269.6	444.72	209.84	651.58	463.65	189.02	718.08	163.28	599.49	1583.71	780.44	708.18	947.83	256.78	1175.27	915.51	466.88	884.29	796.86	1359.57	738.29	486.75	476.71	796.86	1561.89	353.59	500.46	633.73	525.39	1159.07	954.43	353.59	197.09	1044.52	890.44	624.99	780.44	273.37	1304.15	934.76	1583.71	1467.37	1561.89	4937.99	1023.0	2796.65	1806.78	1397.83	2816.11	1844.76	1674.06	3395.89	128.79	130.6	83.45	120.94	371.22	112.77	159.9	201.25	154.42	141.02	176.29	285.03	170.25	170.25	212.78	224.97	368.65	151.22	108.14	231.32	314.17	155.5	137.14	167.9	129.69	532.74
DPYS	0.0	2.07	5.28	414.87	941.27	698.41	244.57	934.76	1508.65	314.17	1781.89	1119.56	10659.59	5594.3	3794.3	4095.0	11345.82	2855.44	6745.86	6426.31	6337.83	7695.57	5041.77	3303.0	8305.36	389.72	4328.55	2835.7	2209.26	878.17	4066.71	8363.13	4298.64	5329.3	4836.35	9808.75	3716.2	4481.23	3467.27	11664.82	11112.3	8134.41	3874.05	5555.65	13306.94	10084.54	13306.94	18819.27	595.34	17681.08	32315.87	9409.14	26800.01	50011.46	6792.79	21617.82	6.21	35.76	8.58	4.82	0.0	18.97	37.59	33.3	55.49	27.44	12.83	15.0	12.27	16.88	8.32	53.19	16.03	169.07	1.16	10.24	9.56	1.83	6.52	26.1	0.67	2.97
ECHDC2	1127.35	1781.89	163.28	1216.75	1457.23	2935.74	753.83	2319.15	1857.6	1883.54	1477.58	1870.53	8078.22	5292.48	3794.3	5594.3	10883.59	1806.78	4836.35	12502.12	2367.9	7081.29	4481.23	12244.81	11035.54	2835.7	4010.71	3235.01	11035.54	1651.0	6792.79	7433.4	7230.1	9474.59	6935.54	2956.17	3349.13	7642.41	3146.52	7642.41	7911.95	3018.3	7081.29	7130.55	22072.07	12676.65	11112.3	21026.65	4298.64	16157.44	18689.27	11745.96	12076.21	35856.82	7642.41	10512.82	612.11	3146.52	934.76	890.44	743.43	638.15	1191.69	1250.98	1437.15	2915.45	532.74	1250.98	848.22	1991.0	738.29	2163.77	1268.46	2400.97	260.38	1709.26	961.07	629.35	420.68	1583.71	848.22	866.07
ECI2	587.13	536.45	435.55	947.83	1051.79	1628.26	1159.07	2287.2	1963.57	1159.07	1757.34	1350.18	2303.12	4836.35	3419.52	5329.3	3589.58	2468.49	2997.45	7857.29	4010.71	6079.61	3716.2	6207.38	3589.58	1427.22	3419.52	5183.54	7280.4	3235.01	5633.22	6250.56	2777.33	4239.45	3982.99	2682.69	2367.9	3564.78	3124.78	3257.52	5517.27	1963.57	3419.52	4066.71	9606.86	3742.05	5366.37	14065.74	6745.86	12502.12	7382.04	7537.18	13215.02	7180.15	5112.16	8718.32	1721.16	684.02	884.29	138.1	92.7	1378.57	878.17	921.88	769.69	866.07	476.71	1378.57	825.0	1051.79	470.14	988.12	748.61	860.08	412.0	802.41	1059.11	708.18	1119.56	941.27	2835.7	813.63
ENTPD5	149.12	96.01	271.48	669.92	217.27	256.78	195.72	928.3	473.41	277.2	1066.48	126.12	2224.63	1769.57	748.61	1819.35	2075.59	463.65	1936.53	633.73	1331.57	1508.65	1909.85	1685.71	1685.71	532.74	1909.85	363.56	2271.4	947.83	1242.34	1870.53	1127.35	1769.57	2351.53	1709.26	813.63	2875.3	759.08	1857.6	934.76	1199.98	1896.65	1551.09	4095.0	2645.74	3168.41	5041.77	1583.71	2895.31	4802.93	4543.8	5954.47	3349.13	2400.97	15715.58	265.87	189.02	161.02	119.26	170.25	98.73	126.12	146.03	172.65	182.55	127.89	229.72	114.36	163.28	214.27	204.07	171.45	115.97	172.65	271.48	536.45	159.9	114.36	140.04	102.25	183.82
