	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
HIST1H2AI	195.72	169.07	231.32	69.52	224.97	177.53	231.32	693.58	176.29	351.14	164.42	221.86	31.67	0.0	0.15	1.38	2.12	25.91	0.0	9.48	1.22	8.38	15.22	14.45	20.71	14.78	10.63	0.0	9.48	0.0	11.13	29.06	6.21	7.0	6.57	16.27
HIST1H2AK	73.03	25.91	194.36	45.85	88.88	32.82	15.68	98.04	18.56	82.87	47.17	75.64	28.65	0.0	0.46	11.21	2.81	14.45	10.88	7.94	2.94	9.34	15.0	24.28	22.26	16.27	16.88	21.94	18.29	3.63	9.13	16.03	0.77	10.55	3.26	21.78
HIST1H2AM	111.21	108.9	82.29	48.18	59.55	43.32	193.01	305.55	61.25	57.08	84.04	343.89	21.63	0.0	0.13	1.23	0.0	26.47	4.13	5.28	2.39	6.89	17.77	8.32	19.68	17.38	19.68	0.0	16.39	0.0	14.14	34.51	1.58	7.17	5.36	16.39
HIST1H2BC	1051.79	1883.54	2451.44	1104.13	718.08	981.29	536.45	3716.2	753.83	2573.36	2434.5	249.73	103.69	0.0	0.29	108.9	87.65	157.68	44.25	134.3	63.0	743.43	164.42	115.97	171.45	348.71	277.2	258.57	543.96	231.32	232.94	307.69	119.26	202.66	232.94	470.14
HIST1H2BD	1519.15	7537.18	10512.82	4512.4	3716.2	1977.24	2976.74	16383.0	3103.19	17927.91	14163.58	7130.55	1662.49	0.0	0.0	414.87	209.84	1096.5	169.07	775.05	211.31	470.14	1119.56	599.49	1457.23	679.29	775.05	218.79	480.04	112.77	660.68	1135.2	656.11	341.51	599.49	647.07
HIST1H2BK	9088.59	4575.41	5183.54	5292.48	4181.07	6935.54	3742.05	20170.07	5076.84	4181.07	8363.13	14663.09	2701.35	0.0	1.03	1030.12	1857.6	1259.69	647.07	921.88	1037.29	1909.85	1977.24	647.07	4769.75	2367.9	1242.34	3280.18	1628.26	1088.92	728.11	3039.3	3955.48	1467.37	1769.57	808.0
HIST1H2BN	127.89	32.13	173.85	40.36	51.71	58.3	65.26	271.48	48.87	117.6	59.97	74.58	29.48	0.0	0.33	1.55	0.65	9.63	10.24	9.48	23.76	13.22	9.27	9.2	15.45	24.63	1.01	31.22	6.89	14.56	7.22	1.27	7.82	32.59	11.91	21.63
HIST1H2BO	122.64	20.41	73.03	24.99	15.45	25.72	59.13	320.8	23.76	43.94	38.4	38.4	9.34	0.0	0.36	1.91	2.73	21.63	1.38	0.0	0.51	0.0	9.48	11.82	9.63	1.39	4.13	3.11	5.11	0.0	11.73	15.22	8.51	2.14	5.54	8.71
HIST1H3E	47.5	180.02	1.38	159.9	140.04	128.79	32.36	128.79	93.35	95.34	1.75	332.14	56.68	0.0	0.03	8.71	5.92	16.88	6.84	9.06	47.84	0.0	4.43	5.41	0.0	0.0	8.45	3.03	0.0	0.0	4.7	0.0	0.0	0.0	0.0	0.0
HIST1H3H	373.81	307.69	341.51	256.78	414.87	366.09	348.71	1183.45	299.25	503.95	334.46	743.43	52.08	0.0	0.32	9.85	6.41	185.11	24.46	27.84	9.06	27.25	134.3	22.26	127.0	36.27	19.53	19.25	15.91	6.73	27.64	125.24	96.01	10.79	44.57	40.93
HIST1H3J	42.71	15.11	12.09	2.78	7.4	7.69	15.22	49.91	14.78	4.98	25.72	36.53	0.0	0.0	0.21	7.34	0.0	5.87	0.0	0.0	0.0	0.0	0.0	0.0	13.22	3.47	1.91	0.0	1.85	0.0	2.39	5.73	0.0	0.0	0.0	2.16
HIST1H4D	43.32	57.89	193.01	24.63	9.56	19.39	2.97	120.1	10.08	38.95	38.12	43.94	11.21	0.0	0.21	3.2	0.0	8.99	0.0	27.64	6.62	6.41	3.17	4.74	24.11	0.0	2.97	0.0	6.26	3.41	3.72	8.71	4.1	0.0	0.0	11.91
HIST1H4H	1447.15	1259.69	1583.71	791.35	669.92	2163.77	1008.9	2047.0	559.28	1639.59	1757.34	1508.65	159.9	0.0	0.64	22.59	13.93	63.89	6.31	26.1	22.92	33.78	111.21	19.97	212.78	55.49	132.44	35.25	52.08	18.03	31.67	35.0	127.89	51.71	28.45	135.24
HIST3H2A	438.59	3.96	387.02	563.18	665.29	540.19	246.28	1467.37	62.56	426.57	738.29	297.17	63.89	0.0	0.75	135.24	493.56	267.73	37.59	65.72	151.22	18.43	269.6	133.36	126.12	341.51	46.84	51.35	87.03	11.55	79.45	234.57	82.87	29.27	130.6	120.94
IKBKB	2701.35	3955.48	1551.09	921.88	1529.73	1143.1	848.22	2240.11	759.08	2434.5	5147.73	1225.22	665.29	0.0	1.22	591.22	575.03	1008.9	392.44	1388.16	1909.85	470.14	1487.87	1594.73	674.59	1119.56	583.07	802.41	819.3	325.29	941.27	1001.93	954.43	1051.79	547.75	638.15
INTU	74.58	128.79	246.28	106.63	70.51	75.11	90.77	151.22	100.83	87.65	58.3	175.07	94.67	45.21	36.27	47.17	79.45	108.14	78.89	148.09	105.89	55.1	93.35	197.09	42.71	57.08	51.35	52.82	72.52	35.5	57.49	52.45	29.48	36.27	45.53	45.53
