	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ABHD12B	836.53	7.17	4.7	34.51	57.49	13.03	11.3	1709.26	3.47	497.0	18.03	2119.22	3.79	0.0	0.04	62.56	117.6	17.64	13.22	166.73	53.57	31.22	36.79	6.52	9.78	0.43	19.68	54.72	36.27	33.54	102.25	2.71	5.45	15.8	15.0	2.56
AFF3	1225.22	4181.07	3467.27	2271.4	1295.13	559.28	1340.84	1844.76	39.5	5219.6	3419.52	2224.63	17.38	0.0	0.26	61.68	16.39	191.67	21.63	66.65	57.08	102.25	35.76	76.71	11.73	291.04	103.69	332.14	197.09	50.27	49.21	314.17	45.85	612.11	72.01	116.78
AGPAT6	10959.3	8191.0	7966.99	2555.58	4543.8	2591.27	2367.9	17317.18	2287.2	10512.82	12502.12	4543.8	1378.57	0.0	1.25	1199.98	1175.27	2627.46	1757.34	1662.49	1923.14	1369.04	2335.28	3467.27	2645.74	2287.2	2739.08	2148.82	1119.56	1183.45	2400.97	1936.53	2591.27	2664.15	1447.15	1781.89
AKR7A3	1127.35	441.64	463.65	7130.55	848.22	80.57	486.75	1628.26	231.32	22.75	532.74	5041.77	68.07	0.0	0.69	29.7	9.78	31.22	7.69	52.08	36.53	4.7	2.2	66.18	3.44	2.73	6.67	6.31	27.84	5.41	11.3	1.41	2.41	21.32	11.82	6.01
ANKRD26	241.19	118.43	426.57	379.04	151.22	128.79	106.63	279.14	163.28	88.26	202.66	178.77	55.49	0.0	0.3	30.56	25.17	61.25	44.25	55.1	78.34	21.94	37.32	57.08	8.99	54.33	20.86	41.52	57.08	16.51	43.32	33.06	9.27	31.67	36.27	33.06
ANKRD40	1259.69	915.51	884.29	607.87	583.07	759.08	728.11	2384.37	454.09	629.35	718.08	1583.71	476.71	395.18	3614.55	518.15	563.18	647.07	412.0	703.28	587.13	521.76	329.84	397.93	334.46	417.77	454.09	665.29	575.03	909.17	518.15	688.78	603.67	309.83	540.19	483.38
APITD1-CORT	61.68	32.36	13.62	43.02	40.07	14.67	2.81	60.39	29.06	18.16	40.07	97.36	17.51	0.0	0.0	14.45	16.15	26.67	17.77	30.34	34.02	12.0	17.64	24.63	4.66	6.31	11.47	19.25	12.64	0.0	28.24	7.0	8.32	16.75	12.55	12.45
APLP1	2133.97	836.53	1721.16	6983.79	3564.78	116.78	426.57	3372.43	480.04	7032.37	4239.45	358.54	22.43	0.0	0.42	37.32	85.22	209.84	251.48	466.88	74.58	612.11	373.81	264.03	205.5	52.08	69.52	708.18	177.53	346.29	172.65	323.03	205.5	98.73	103.69	146.03
ASTN2	293.07	450.94	1023.0	271.48	2224.63	303.44	595.34	764.36	361.04	896.64	291.04	647.07	37.05	0.0	0.17	80.57	19.97	175.07	81.71	253.23	165.57	29.27	47.5	52.45	11.55	20.71	62.12	68.55	68.07	16.03	16.15	27.44	43.02	33.3	9.2	51.71
BAI2	277.2	988.12	320.8	1397.83	497.0	303.44	126.12	836.53	579.04	368.65	232.94	743.43	40.64	0.0	0.26	68.07	55.49	90.77	145.02	87.03	151.22	36.79	116.78	148.09	71.5	19.97	34.51	82.29	63.89	16.88	79.45	32.59	33.06	14.35	36.27	51.71
BCDIN3D	327.56	236.21	463.65	332.14	260.38	258.57	237.86	320.8	255.0	332.14	406.31	293.07	111.21	0.0	0.0	98.04	100.83	115.97	107.38	151.22	221.86	27.64	50.27	53.57	36.01	80.01	36.01	85.82	97.36	93.35	57.08	54.72	38.95	68.55	64.34	39.79
BCL2	902.89	1096.5	1467.37	1208.34	403.5	633.73	567.1	2555.58	483.38	447.82	642.59	579.04	503.95	0.0	0.45	74.58	105.89	190.34	83.45	624.99	279.14	61.68	121.79	273.37	92.05	135.24	106.63	198.47	277.2	29.06	204.07	363.56	231.32	150.17	107.38	197.09
BEX1	3190.46	2224.63	4328.55	3303.0	275.28	325.29	10.39	3847.29	638.15	11267.44	8247.98	11745.96	0.79	0.0	0.29	41.81	78.89	37.32	4.58	3.44	3.44	368.65	40.93	194.36	305.55	1.85	89.51	392.44	112.77	40.64	181.28	187.71	117.6	13.22	153.34	120.1
BRF2	2104.58	1551.09	1242.34	190.34	291.04	420.68	265.87	2148.82	343.89	1883.54	1143.1	2777.33	281.09	0.0	0.35	187.71	138.1	164.42	336.79	309.83	400.71	74.06	170.25	114.36	142.01	139.07	79.45	353.59	199.85	187.71	137.14	77.25	195.72	171.45	193.01	139.07
BSN	77.25	13.12	101.54	111.21	75.11	8.0	14.89	62.56	18.97	95.34	122.64	21.78	1.91	0.0	0.13	1.48	0.43	3.47	2.07	13.62	6.26	1.95	3.56	4.35	0.12	0.46	0.53	7.57	2.86	4.66	0.41	0.42	0.4	1.73	0.69	1.66
C10orf82	6.67	185.11	620.67	0.0	0.0	4.9	5.28	656.11	205.5	884.29	1322.37	1119.56	1.87	0.0	0.16	2.76	9.63	25.54	0.27	23.25	2.34	6.52	12.09	10.08	5.96	0.0	1.51	4.66	7.34	2.53	0.18	15.11	23.25	0.0	0.48	3.63
C16orf46	74.06	81.71	100.13	120.1	120.94	55.49	58.3	177.53	125.24	74.06	63.45	63.45	33.3	0.0	0.0	46.5	29.27	65.72	29.7	72.01	61.25	22.26	48.87	35.5	25.35	14.78	16.39	43.02	20.41	15.8	16.27	29.91	52.45	8.38	30.56	16.27
C1orf172	316.37	647.07	368.65	406.31	466.88	373.81	212.78	656.11	368.65	249.73	293.07	563.18	6.46	0.0	0.0	195.72	142.01	167.9	110.43	144.01	205.5	138.1	126.12	63.45	88.88	162.14	58.71	223.41	152.28	297.17	49.56	107.38	88.88	152.28	199.85	88.26
C1orf64	1.57	915.51	136.19	24.28	1.71	212.78	251.48	703.28	17.0	258.57	267.73	81.14	0.0	0.0	0.0	0.49	0.0	0.0	9.56	4.78	0.0	0.0	0.49	0.47	0.0	0.0	0.0	0.52	0.0	2.01	0.97	0.0	0.0	0.54	0.0	0.0
C6orf1	830.75	1111.82	866.07	738.29	1639.59	878.17	764.36	1583.71	708.18	647.07	2303.12	3901.01	775.05	0.0	0.64	665.29	796.86	718.08	728.11	708.18	764.36	1159.07	660.68	961.07	921.88	423.61	441.64	403.5	780.44	476.71	708.18	503.95	403.5	406.31	738.29	483.38
CCDC24	450.94	896.64	503.95	713.11	563.18	343.89	271.48	753.83	409.15	336.79	500.46	1044.52	371.22	0.0	0.16	432.53	180.02	656.11	281.09	447.82	629.35	126.12	381.68	170.25	85.22	177.53	156.59	228.13	249.73	106.63	144.01	118.43	57.89	105.15	145.02	96.68
CCDC30	72.52	120.94	460.44	183.82	187.71	103.69	61.25	251.48	76.17	70.51	208.38	121.79	161.02	0.0	0.1	214.27	20.56	166.73	58.71	202.66	211.31	63.0	212.78	43.94	31.0	93.35	40.64	162.14	87.65	19.25	30.78	32.13	11.73	14.89	39.22	47.84
CCDC34	3103.19	860.08	616.37	500.46	486.75	392.44	376.41	848.22	267.73	954.43	718.08	743.43	305.55	0.0	0.02	130.6	30.34	154.42	88.88	150.17	129.69	24.46	76.71	55.49	35.5	27.44	32.36	125.24	82.29	24.99	60.39	49.56	28.24	9.2	19.53	78.34
CCDC74A	507.46	2047.0	1225.22	291.04	3212.66	463.65	503.95	2193.99	753.83	4607.24	2417.67	420.68	579.04	0.0	0.0	497.0	106.63	397.93	228.13	358.54	450.94	129.69	473.41	123.5	56.68	111.99	136.19	242.88	185.11	32.82	102.25	78.89	74.58	45.21	75.11	44.89
CD74	11745.96	8363.13	12764.83	11584.24	46339.95	100023.92	95949.32	18304.63	51417.5	11827.67	20593.91	18950.18	506427.83	0.0	1.08	726195.27	1196176.45	485798.0	682276.92	585779.24	757033.75	358098.26	1019901.63	414208.18	932018.1	265802.39	1503610.06	422911.59	1229805.58	378516.38	741454.2	593956.43	375901.76	1877002.62	636586.81	1196176.45
CDK5	651.58	447.82	738.29	785.88	633.73	397.93	476.71	1015.93	698.41	1359.57	571.05	2104.58	540.19	0.0	0.0	329.84	239.52	289.02	323.03	229.72	309.83	162.14	127.89	204.07	139.07	211.31	118.43	197.09	262.2	165.57	265.87	141.02	108.14	271.48	195.72	201.25
CELSR2	1794.29	1540.37	2485.67	2720.15	2417.67	368.65	1159.07	2555.58	4210.15	1167.14	842.36	1216.75	490.14	0.0	0.57	70.51	22.59	126.12	72.52	153.34	376.41	43.63	50.98	57.08	7.17	84.63	18.43	153.34	94.67	38.4	15.56	15.34	23.42	38.95	41.22	11.73
CHAD	16.03	131.51	217.27	142.01	15.0	406.31	2090.03	3639.7	45.21	2.05	5.41	301.33	7.28	0.0	0.44	38.4	49.21	17.9	25.91	112.77	41.81	7.88	100.83	21.32	9.48	125.24	5.23	171.45	94.67	12.74	79.45	107.38	22.43	23.59	29.91	105.89
CHRNB2	237.86	144.01	470.14	368.65	348.71	6.67	39.79	277.2	15.8	819.3	583.07	69.03	0.75	0.0	0.13	0.4	0.0	0.28	0.0	4.03	10.71	0.0	0.4	2.01	0.37	0.43	0.0	11.04	1.28	0.34	0.0	0.0	0.0	0.54	0.0	0.49
CHST8	17.0	154.42	34.51	117.6	651.58	6.26	95.34	208.38	77.79	152.28	108.9	2.18	3.41	0.0	0.2	8.32	17.38	1.55	24.28	6.06	13.42	0.0	0.0	16.88	15.68	10.08	5.28	3.44	3.08	2.32	7.11	2.12	6.16	6.46	9.06	6.62
CMBL	915.51	2720.15	2240.11	1081.39	1529.73	961.07	947.83	1991.0	1001.93	1295.13	693.58	2682.69	1159.07	579.04	162.14	123.5	81.14	212.78	358.54	460.44	384.34	173.85	150.17	166.73	56.28	131.51	198.47	226.54	232.94	206.94	114.36	267.73	119.26	156.59	76.17	232.94
COQ10A	126.12	142.01	262.2	303.44	269.6	209.84	186.4	444.72	236.21	214.27	708.18	176.29	185.11	0.0	0.33	267.73	167.9	389.72	198.47	406.31	688.78	109.66	148.09	185.11	128.79	146.03	159.9	170.25	275.28	97.36	119.26	143.01	113.56	209.84	114.36	158.79
CPLX2	2997.45	191.67	400.71	3060.45	842.36	1.45	10.63	2720.15	1.68	5633.22	1794.29	26.47	0.0	0.0	0.0	48.87	13.83	10.47	7.28	57.49	10.88	0.0	0.21	1.36	4.35	0.0	0.0	642.59	2.2	56.28	17.51	10.0	5.96	37.05	0.0	2.97
CTD-3193O13.9	320.8	497.0	679.29	223.41	417.77	154.42	208.38	612.11	249.73	497.0	733.19	934.76	2.71	0.0	0.31	81.14	116.78	87.03	111.99	81.14	104.42	53.19	381.68	62.12	26.67	113.56	32.59	164.42	228.13	14.45	35.25	14.14	16.15	24.28	100.13	25.54
CTXN1	476.71	854.13	616.37	251.48	1844.76	209.84	164.42	842.36	202.66	981.29	825.0	587.13	256.78	0.0	0.03	733.19	190.34	497.0	251.48	273.37	444.72	175.07	547.75	131.51	148.09	107.38	232.94	285.03	171.45	87.03	103.69	74.58	82.87	20.41	93.35	78.89
CTXN2	18.16	2.07	37.05	13.22	2.97	1.33	1.08	13.42	8.99	37.59	11.73	9.41	0.36	0.0	0.01	3.38	0.0	10.24	0.0	0.0	3.47	0.0	4.03	0.0	0.0	0.0	7.4	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DACH1	283.05	791.35	791.35	2796.65	323.03	854.13	476.71	884.29	176.29	551.56	271.48	532.74	14.56	0.0	0.15	271.48	13.83	229.72	26.67	503.95	44.25	123.5	97.36	133.36	58.71	202.66	92.7	384.34	145.02	75.11	181.28	281.09	97.36	72.01	100.83	138.1
DAXX	1225.22	1685.71	1088.92	1757.34	1159.07	902.89	836.53	1923.14	974.5	1540.37	1781.89	1447.15	1066.48	909.17	6792.79	981.29	915.51	1378.57	665.29	1023.0	1143.1	473.41	842.36	587.13	1250.98	587.13	497.0	1135.2	703.28	583.07	775.05	866.07	1437.15	483.38	1044.52	738.29
DDHD2	7857.29	3443.31	4607.24	802.41	1175.27	854.13	981.29	8479.89	748.61	5183.54	6471.02	5112.16	536.45	743.43	115.16	476.71	285.03	647.07	595.34	1331.57	1617.0	281.09	187.71	555.41	98.73	738.29	454.09	679.29	967.76	563.18	547.75	490.14	332.14	633.73	406.31	624.99
DISP2	583.07	156.59	514.56	723.08	748.61	53.95	281.09	529.06	25.54	848.22	244.57	1008.9	10.96	0.0	0.0	13.52	29.7	6.36	11.64	229.72	36.53	2.78	35.76	2.66	7.4	22.1	33.78	21.01	14.03	15.34	70.51	0.97	3.82	1.66	29.27	6.78
DNAJA4	1073.91	1923.14	4575.41	1844.76	961.07	1857.6	902.89	3419.52	571.05	3467.27	612.11	2133.97	187.71	0.0	0.11	753.83	329.84	813.63	669.92	802.41	748.61	624.99	1199.98	387.02	866.07	249.73	540.19	379.04	363.56	366.09	379.04	543.96	759.08	224.97	248.0	518.15
DNAL4	414.87	1059.11	1674.06	514.56	854.13	466.88	251.48	836.53	599.49	934.76	1030.12	785.88	529.06	0.0	0.0	802.41	339.14	791.35	647.07	624.99	961.07	273.37	366.09	346.29	166.73	283.05	204.07	348.71	457.25	275.28	293.07	285.03	128.79	339.14	269.6	185.11
DNASE1L2	25.35	35.76	24.46	42.41	14.67	22.43	17.51	71.0	24.28	36.79	7.63	34.51	17.77	0.0	0.39	1.16	5.28	13.72	6.11	15.34	21.16	0.0	4.74	3.29	2.29	4.86	2.03	1.81	1.53	0.43	0.0	3.17	1.77	1.35	0.43	2.76
