	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZQG8.0726.SM.5P9H9	TCGA.CM.5861.01A.01R.1653.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CJ.4644.01A.02R.1325.07	TCGA.BP.4763.01A.01R.1289.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.44.6148.01A.11R.1755.07	GTEX.X5EB.0426.SM.46MVY	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.D7.8570.01A.11R.2343.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.D7.8574.01A.13R.2343.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6453.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13U4I.2526.SM.5SI8Z	GTEX.13NZ9.1126.SM.5MR37
BZRAP1	38.67	42.41	149.12	59.97	50.27	49.91	40.36	166.73	57.08	75.11	112.77	137.14	126.12	86.43	197.09	143.01	46.18	19.25	77.25	29.91	116.78	825.0	660.68	633.73	41.52	76.17	18.29	1059.11	967.76	409.15	490.14	125.24	312.0	351.14	55.1	97.36	255.0	124.37	199.85	162.14	156.59	269.6	152.28	320.8	176.29	612.11	171.45	157.68	81.14	320.8	166.73	94.67	72.52	144.01	279.14	518.15	1268.46
CAPN10	22.43	142.01	130.6	144.01	67.12	82.87	157.68	153.34	155.5	130.6	212.78	145.02	228.13	130.6	194.36	117.6	129.69	106.63	124.37	127.0	450.94	575.03	507.46	728.11	180.02	110.43	36.53	379.04	713.11	521.76	540.19	525.39	684.02	417.77	457.25	358.54	555.41	547.75	334.46	511.0	336.79	555.41	500.46	551.56	463.65	483.38	403.5	457.25	351.14	463.65	271.48	423.61	224.97	154.42	395.18	599.49	595.34
CARKD	457.25	438.59	444.72	429.54	438.59	450.94	486.75	503.95	426.57	540.19	490.14	521.76	507.46	583.07	591.22	540.19	299.25	303.44	406.31	267.73	684.02	1277.29	915.51	1008.9	532.74	514.56	412.0	802.41	981.29	947.83	624.99	521.76	733.19	642.59	743.43	620.67	753.83	769.69	909.17	848.22	521.76	791.35	890.44	791.35	718.08	1037.29	1037.29	571.05	775.05	759.08	693.58	633.73	612.11	599.49	748.61	1088.92	967.76
CCDC130	133.36	289.02	309.83	314.17	206.94	258.57	341.51	397.93	318.57	279.14	392.44	353.59	409.15	301.33	379.04	334.46	209.84	234.57	323.03	194.36	500.46	1322.37	1313.23	1594.73	208.38	237.86	176.29	753.83	1639.59	603.67	1216.75	665.29	624.99	1127.35	775.05	723.08	902.89	733.19	629.35	723.08	587.13	563.18	1073.91	1088.92	665.29	1001.93	503.95	620.67	412.0	1104.13	624.99	708.18	376.41	483.38	884.29	947.83	1350.18
CENPT	199.85	366.09	387.02	334.46	241.19	327.56	341.51	444.72	466.88	392.44	470.14	376.41	480.04	406.31	470.14	376.41	242.88	226.54	316.37	190.34	400.71	1447.15	1295.13	1551.09	275.28	267.73	135.24	543.96	1044.52	1183.45	878.17	518.15	603.67	785.88	540.19	764.36	708.18	693.58	503.95	583.07	616.37	921.88	647.07	651.58	660.68	1037.29	480.04	514.56	409.15	981.29	567.1	616.37	381.68	559.28	1015.93	1081.39	1721.16
CHKB	336.79	738.29	791.35	896.64	708.18	947.83	890.44	733.19	967.76	703.28	842.36	854.13	902.89	842.36	1037.29	575.03	543.96	624.99	540.19	490.14	825.0	1745.2	1757.34	2090.03	444.72	483.38	348.71	1015.93	2400.97	915.51	2758.13	591.22	1561.89	1870.53	575.03	961.07	1304.15	928.3	941.27	1066.48	884.29	842.36	1111.82	1477.58	836.53	1151.06	902.89	1044.52	620.67	2367.9	854.13	1540.37	1159.07	872.1	1551.09	2018.8	4836.35
CLASRP	162.14	381.68	490.14	579.04	232.94	289.02	476.71	638.15	540.19	507.46	497.0	426.57	642.59	406.31	669.92	497.0	285.03	242.88	463.65	190.34	728.11	2240.11	1857.6	2004.85	162.14	279.14	307.69	902.89	1963.57	1388.16	1963.57	961.07	1594.73	1447.15	587.13	1388.16	1199.98	928.3	1066.48	1073.91	921.88	1721.16	1594.73	1844.76	934.76	1477.58	738.29	896.64	525.39	1407.55	723.08	860.08	563.18	503.95	1037.29	1183.45	2335.28
CNN2	1044.52	1407.55	2178.83	2335.28	1923.14	1233.75	1909.85	2271.4	1651.0	1427.22	1745.2	2104.58	1583.71	2061.24	1733.13	1832.01	665.29	1794.29	1268.46	1208.34	2915.45	2367.9	2502.97	3372.43	559.28	1143.1	406.31	2956.17	5076.84	547.75	4239.45	2875.3	2485.67	2701.35	2915.45	5183.54	2075.59	2956.17	2319.15	3235.01	3768.09	2451.44	3716.2	5403.7	2224.63	2451.44	1923.14	1963.57	1583.71	3491.39	2720.15	3235.01	866.07	2061.24	4239.45	1721.16	4239.45
CRTC2	521.76	571.05	642.59	698.41	497.0	579.04	480.04	660.68	595.34	624.99	703.28	567.1	796.86	599.49	624.99	587.13	289.02	351.14	571.05	316.37	1096.5	1167.14	947.83	1104.13	486.75	420.68	406.31	947.83	1175.27	624.99	1540.37	1447.15	791.35	1008.9	1167.14	902.89	733.19	896.64	995.0	1104.13	890.44	1350.18	1175.27	1508.65	830.75	967.76	703.28	743.43	642.59	1111.82	718.08	698.41	511.0	819.3	967.76	1073.91	1561.89
CUL9	50.27	281.09	334.46	301.33	164.42	209.84	325.29	341.51	299.25	356.05	392.44	381.68	348.71	366.09	395.18	332.14	161.02	205.5	287.01	189.02	412.0	633.73	796.86	1159.07	226.54	212.78	129.69	909.17	1044.52	429.54	1030.12	848.22	420.68	764.36	358.54	567.1	540.19	346.29	514.56	473.41	358.54	435.55	713.11	854.13	438.59	497.0	389.72	260.38	244.57	624.99	414.87	262.2	117.6	248.0	320.8	902.89	1286.18
DCAF15	215.77	323.03	285.03	258.57	194.36	167.9	239.52	332.14	314.17	299.25	371.22	246.28	271.48	301.33	361.04	291.04	155.5	183.82	228.13	175.07	429.54	444.72	728.11	928.3	275.28	221.86	93.35	674.59	1417.35	435.55	954.43	688.78	579.04	536.45	579.04	525.39	791.35	624.99	363.56	551.56	432.53	638.15	607.87	713.11	543.96	567.1	483.38	480.04	373.81	808.0	551.56	603.67	271.48	384.34	698.41	813.63	764.36
DPH7	82.29	273.37	232.94	221.86	152.28	195.72	226.54	287.01	269.6	218.79	301.33	293.07	241.19	269.6	363.56	262.2	208.38	141.02	197.09	146.03	305.55	708.18	688.78	819.3	159.9	140.04	111.99	521.76	759.08	775.05	759.08	371.22	563.18	521.76	309.83	633.73	473.41	466.88	497.0	559.28	647.07	551.56	518.15	591.22	414.87	575.03	351.14	366.09	351.14	775.05	343.89	483.38	323.03	305.55	567.1	718.08	954.43
EME2	36.79	24.11	39.22	39.5	17.9	15.8	36.53	57.89	23.76	30.34	42.71	33.78	68.07	28.45	48.52	32.82	20.71	36.53	37.59	21.63	51.35	169.07	511.0	693.58	21.32	15.91	16.88	82.29	297.17	902.89	303.44	231.32	190.34	215.77	74.06	273.37	228.13	151.22	116.78	136.19	116.78	198.47	212.78	178.77	148.09	212.78	128.79	84.04	55.1	166.73	79.45	127.89	32.59	70.51	86.43	172.65	307.69
ENTHD2	94.01	147.06	153.34	141.02	120.94	177.53	143.01	205.5	145.02	158.79	232.94	163.28	262.2	165.57	221.86	189.02	186.4	173.85	251.48	142.01	218.79	872.1	842.36	1304.15	108.14	83.45	83.45	466.88	1191.69	341.51	1081.39	476.71	500.46	780.44	406.31	555.41	559.28	414.87	426.57	514.56	403.5	633.73	896.64	1104.13	559.28	703.28	389.72	435.55	214.27	890.44	387.02	466.88	232.94	208.38	540.19	583.07	961.07
GGA1	381.68	518.15	500.46	514.56	341.51	343.89	470.14	583.07	674.59	529.06	607.87	540.19	647.07	555.41	571.05	497.0	387.02	403.5	583.07	412.0	748.61	872.1	1457.23	1721.16	450.94	327.56	212.78	1304.15	2609.3	1127.35	1295.13	860.08	1015.93	954.43	1143.1	1001.93	1081.39	1151.06	825.0	896.64	941.27	791.35	1104.13	1073.91	954.43	1250.98	1066.48	753.83	679.29	1088.92	878.17	854.13	325.29	624.99	825.0	1322.37	2075.59
HIATL2	49.56	93.35	110.43	91.41	105.89	94.01	45.53	135.24	86.43	69.03	82.29	114.36	111.21	92.7	107.38	114.36	76.71	110.43	50.27	51.35	34.75	130.6	191.67	251.48	41.52	44.25	23.25	120.1	157.68	176.29	363.56	190.34	193.01	309.83	159.9	400.71	275.28	190.34	153.34	320.8	113.56	119.26	336.79	638.15	180.02	279.14	169.07	158.79	138.1	204.07	187.71	232.94	131.51	212.78	249.73	175.07	215.77
LIPF	0.0	0.0	5.19	8.06	2.92	0.0	3.86	0.0	0.0	0.97	1.41	2.07	0.0	4.43	1.41	1.45	0.0	2.61	3.59	2.66	701458.36	1171559.48	1432396.03	365622.68	0.0	1.19	0.0	391864.76	0.62	348306.01	277089.94	721179.07	391864.76	282912.21	1229805.58	375901.76	405683.88	912837.43	912837.43	1131651.83	4136558.78	405683.88	275175.93	656.11	561916.97	731246.37	3268052.11	746611.43	1204496.53	1645391.11	1299926.74	453265.5	619179.28	3806410.22	2884719.27	28723.62	0.0
LRCH4	395.18	379.04	281.09	223.41	182.55	246.28	279.14	483.38	406.31	336.79	432.53	256.78	497.0	285.03	403.5	305.55	197.09	241.19	309.83	214.27	764.36	1030.12	1662.49	2384.37	348.71	199.85	189.02	1073.91	3589.58	1233.75	2255.7	2555.58	947.83	1216.75	961.07	1225.22	1781.89	1191.69	674.59	1015.93	633.73	1225.22	1259.69	1936.53	1340.84	1259.69	941.27	1151.06	981.29	1757.34	934.76	872.1	371.22	928.3	1304.15	1757.34	2032.85
MAPK8IP3	111.99	90.14	208.38	164.42	104.42	209.84	191.67	323.03	255.0	253.23	323.03	234.57	373.81	285.03	343.89	249.73	84.63	148.09	194.36	115.16	447.82	1417.35	1583.71	1697.45	48.52	80.57	56.28	620.67	1487.87	1250.98	1561.89	813.63	759.08	1167.14	511.0	738.29	860.08	466.88	674.59	708.18	698.41	647.07	1572.76	1605.83	647.07	860.08	376.41	376.41	241.19	890.44	353.59	255.0	111.99	253.23	457.25	981.29	1417.35
MED15	327.56	629.35	769.69	780.44	684.02	674.59	775.05	954.43	796.86	748.61	1001.93	698.41	988.12	941.27	808.0	738.29	353.59	738.29	698.41	525.39	1167.14	1340.84	1359.57	1651.0	521.76	532.74	173.85	1331.57	1769.57	915.51	1437.15	1950.0	1286.18	1322.37	1313.23	1295.13	1378.57	1277.29	1286.18	1388.16	1143.1	819.3	1936.53	1781.89	1561.89	1388.16	974.5	1037.29	1216.75	884.29	1015.93	1044.52	264.03	941.27	836.53	1806.78	1844.76
MED22	115.16	291.04	214.27	208.38	181.28	217.27	248.0	327.56	258.57	291.04	353.59	295.11	336.79	273.37	309.83	301.33	154.42	215.77	237.86	141.02	299.25	470.14	366.09	432.53	305.55	143.01	57.08	454.09	493.56	387.02	514.56	429.54	373.81	412.0	400.71	497.0	397.93	460.44	387.02	444.72	291.04	291.04	384.34	571.05	444.72	579.04	395.18	353.59	361.04	466.88	476.71	339.14	147.06	368.65	363.56	490.14	651.58
MTA1	183.82	511.0	656.11	674.59	470.14	493.56	651.58	743.43	802.41	674.59	896.64	738.29	775.05	688.78	738.29	555.41	343.89	343.89	521.76	351.14	1191.69	1697.45	1697.45	2303.12	228.13	301.33	241.19	1191.69	1896.65	1909.85	1896.65	1594.73	1561.89	1417.35	947.83	1540.37	1457.23	1051.79	1073.91	1397.83	954.43	2555.58	2075.59	2104.58	1135.2	1551.09	1044.52	954.43	743.43	1233.75	1037.29	1059.11	473.41	759.08	1135.2	2004.85	1628.26
MZF1	101.54	70.01	135.24	88.26	74.06	146.03	94.67	149.12	147.06	111.99	178.77	150.17	220.32	141.02	176.29	157.68	95.34	82.29	114.36	111.99	281.09	718.08	555.41	769.69	67.59	63.45	83.45	563.18	981.29	497.0	728.11	941.27	483.38	651.58	412.0	551.56	493.56	356.05	279.14	343.89	204.07	361.04	669.92	616.37	412.0	567.1	432.53	348.71	289.02	486.75	309.83	325.29	143.01	178.77	358.54	660.68	808.0
PIDD	43.32	49.21	87.03	98.73	44.57	59.55	82.87	102.25	78.89	78.34	126.12	101.54	92.05	111.99	86.43	59.97	76.71	65.26	84.04	83.45	138.1	426.57	353.59	551.56	81.71	28.04	71.5	387.02	476.71	536.45	490.14	363.56	403.5	346.29	209.84	450.94	332.14	316.37	181.28	303.44	170.25	244.57	353.59	384.34	293.07	389.72	255.0	232.94	186.4	470.14	256.78	281.09	180.02	190.34	336.79	400.71	447.82
PLA2G4B	32.13	51.35	74.58	56.68	48.87	59.13	59.55	82.29	48.18	108.14	59.97	69.52	74.06	56.68	77.79	69.52	40.64	18.03	51.35	37.85	53.19	229.72	764.36	995.0	8.78	47.5	21.63	206.94	470.14	253.23	248.0	132.44	127.0	198.47	110.43	186.4	123.5	127.0	157.68	105.89	115.16	100.83	279.14	217.27	109.66	351.14	97.36	151.22	55.89	279.14	107.38	60.82	28.65	53.95	181.28	314.17	547.75
PRPF40B	86.43	104.42	151.22	136.19	76.71	94.67	164.42	152.28	142.01	127.0	176.29	152.28	144.01	128.79	204.07	147.06	143.01	92.7	144.01	67.12	281.09	642.59	400.71	563.18	81.71	108.14	48.52	571.05	412.0	339.14	305.55	518.15	327.56	281.09	217.27	153.34	189.02	187.71	253.23	223.41	215.77	287.01	348.71	381.68	218.79	551.56	212.78	187.71	185.11	256.78	183.82	178.77	73.54	122.64	206.94	327.56	884.29
PRRC2A	2047.0	1208.34	1819.35	1628.26	1127.35	1397.83	1487.87	1605.83	1572.76	1477.58	1757.34	1572.76	1685.71	1277.29	1378.57	1225.22	1896.65	1304.15	1369.04	1639.59	2645.74	2777.33	2434.5	3146.52	1151.06	872.1	642.59	2835.7	3257.52	3039.3	3928.15	3690.52	3742.05	2627.46	2451.44	3235.01	3103.19	2627.46	1923.14	3039.3	1477.58	4181.07	3372.43	4152.18	2468.49	3235.01	2047.0	1950.0	1883.54	2664.15	2758.13	1594.73	819.3	1857.6	2163.77	3257.52	2777.33
RABGGTA	454.09	323.03	403.5	406.31	325.29	289.02	409.15	348.71	293.07	450.94	447.82	381.68	389.72	447.82	400.71	320.8	287.01	269.6	356.05	285.03	603.67	521.76	2004.85	2178.83	287.01	348.71	214.27	738.29	1407.55	759.08	764.36	854.13	559.28	616.37	490.14	629.35	890.44	769.69	543.96	738.29	624.99	909.17	674.59	583.07	688.78	688.78	616.37	703.28	555.41	785.88	854.13	928.3	447.82	454.09	764.36	988.12	1119.56
RHOT2	432.53	493.56	444.72	423.61	277.2	351.14	551.56	703.28	583.07	620.67	848.22	514.56	703.28	651.58	656.11	500.46	343.89	435.55	460.44	336.79	1467.37	2417.67	2451.44	3467.27	748.61	348.71	341.51	1331.57	2664.15	3060.45	1819.35	1277.29	1769.57	1583.71	1259.69	1331.57	2537.92	1745.2	1359.57	1540.37	890.44	1721.16	1540.37	1697.45	1322.37	1697.45	1268.46	1286.18	1159.07	1950.0	1304.15	1427.22	583.07	1030.12	1388.16	2032.85	2997.45
RNF31	713.11	780.44	791.35	718.08	567.1	743.43	571.05	665.29	718.08	723.08	775.05	733.19	738.29	679.29	921.88	660.68	780.44	718.08	878.17	708.18	819.3	1037.29	1277.29	1639.59	543.96	450.94	450.94	1023.0	2303.12	1242.34	1487.87	1096.5	1119.56	1295.13	808.0	1208.34	1286.18	1008.9	1119.56	1023.0	1378.57	1277.29	1135.2	1628.26	1242.34	947.83	759.08	1167.14	656.11	1487.87	1304.15	947.83	595.34	1216.75	1268.46	1322.37	1225.22
SDR39U1	651.58	825.0	1015.93	1030.12	748.61	902.89	1135.2	848.22	830.75	981.29	1175.27	1088.92	921.88	1159.07	1088.92	808.0	808.0	718.08	842.36	579.04	1037.29	2303.12	1806.78	2047.0	518.15	466.88	529.06	1540.37	1870.53	2018.8	1487.87	1437.15	915.51	1397.83	915.51	1159.07	1359.57	1417.35	1322.37	1159.07	728.11	1233.75	909.17	1617.0	1191.69	1427.22	1051.79	1322.37	1015.93	2224.63	2133.97	1322.37	896.64	1167.14	1697.45	1437.15	2335.28
SGSH	285.03	353.59	490.14	366.09	397.93	450.94	336.79	551.56	540.19	435.55	493.56	603.67	674.59	447.82	521.76	532.74	224.97	343.89	466.88	281.09	753.83	1051.79	1037.29	988.12	514.56	181.28	165.57	1001.93	1870.53	802.41	698.41	559.28	684.02	728.11	723.08	981.29	603.67	679.29	599.49	457.25	620.67	679.29	1167.14	802.41	665.29	830.75	902.89	759.08	543.96	559.28	728.11	575.03	277.2	460.44	503.95	1268.46	988.12
TAZ	185.11	334.46	395.18	379.04	279.14	346.29	392.44	397.93	353.59	368.65	395.18	368.65	426.57	417.77	521.76	366.09	329.84	232.94	242.88	231.32	483.38	713.11	878.17	941.27	325.29	171.45	155.5	476.71	1096.5	915.51	1001.93	921.88	656.11	743.43	629.35	616.37	642.59	579.04	688.78	575.03	353.59	660.68	651.58	1059.11	423.61	591.22	423.61	514.56	397.93	759.08	587.13	547.75	316.37	376.41	638.15	688.78	1233.75
TMEM259	896.64	1081.39	1407.55	1208.34	1388.16	1388.16	1498.22	1397.83	1081.39	1277.29	1896.65	1674.06	1467.37	1662.49	1561.89	988.12	1167.14	1119.56	1081.39	941.27	2956.17	4210.15	4298.64	5479.15	1457.23	1037.29	1081.39	2400.97	4358.66	3443.31	3349.13	2335.28	2417.67	2520.38	3955.48	3589.58	3665.02	3874.05	1844.76	2255.7	2400.97	1963.57	3168.41	2701.35	3081.75	3665.02	2976.74	2682.69	2591.27	3742.05	2720.15	3847.29	1457.23	2485.67	2682.69	3467.27	4095.0
UCKL1	392.44	366.09	493.56	429.54	273.37	376.41	483.38	463.65	363.56	356.05	466.88	466.88	525.39	406.31	450.94	371.22	260.38	397.93	343.89	348.71	836.53	1111.82	1066.48	1199.98	336.79	220.32	299.25	780.44	764.36	1175.27	1044.52	1388.16	1819.35	981.29	583.07	1295.13	1350.18	854.13	813.63	813.63	595.34	1001.93	1111.82	1208.34	743.43	988.12	497.0	902.89	713.11	854.13	684.02	954.43	460.44	532.74	872.1	1407.55	1286.18
USP20	63.89	231.32	239.52	275.28	206.94	169.07	249.73	303.44	283.05	244.57	343.89	262.2	293.07	281.09	309.83	260.38	191.67	136.19	291.04	123.5	346.29	759.08	414.87	579.04	232.94	139.07	167.9	514.56	764.36	743.43	723.08	426.57	358.54	563.18	299.25	547.75	346.29	318.57	303.44	403.5	409.15	341.51	395.18	612.11	420.68	587.13	384.34	228.13	283.05	620.67	327.56	265.87	144.01	299.25	429.54	775.05	1639.59
