	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07
ERBB2IP	258.57	397.93	329.84	1233.75	1250.98	860.08	974.5	1340.84	532.74	1388.16	1015.93	624.99	733.19	299.25	738.29	1225.22	1059.11	514.56	444.72	579.04	775.05	153.34	902.89	1073.91	684.02	633.73	389.72	316.37	423.61	251.48	525.39	78.34	170.25	158.79	500.46	583.07
FAM126B	51.35	75.11	55.1	158.79	171.45	59.97	132.44	190.34	72.52	175.07	55.1	53.57	103.69	39.79	182.55	163.28	201.25	64.8	52.45	72.52	173.85	31.0	103.69	177.53	62.56	44.57	79.45	69.52	45.53	34.51	68.07	13.93	30.34	22.26	102.25	115.97
FBXL4	99.43	109.66	90.14	176.29	234.57	221.86	265.87	281.09	141.02	202.66	175.07	131.51	201.25	135.24	289.02	366.09	208.38	151.22	134.3	113.56	198.47	46.18	159.9	329.84	117.6	166.73	92.7	91.41	217.27	148.09	204.07	108.14	97.36	63.45	147.06	172.65
FCF1	346.29	551.56	603.67	1208.34	1304.15	708.18	915.51	1487.87	1015.93	1023.0	575.03	567.1	974.5	454.09	988.12	1259.69	1340.84	884.29	728.11	961.07	954.43	307.69	836.53	1350.18	890.44	902.89	633.73	301.33	764.36	679.29	1143.1	285.03	346.29	212.78	728.11	947.83
G2E3	80.01	101.54	100.83	532.74	323.03	169.07	291.04	429.54	426.57	291.04	305.55	171.45	198.47	77.79	414.87	336.79	305.55	163.28	221.86	182.55	211.31	22.43	189.02	267.73	293.07	121.79	85.82	102.97	74.06	125.24	197.09	9.48	13.72	22.43	145.02	212.78
GNB4	114.36	209.84	126.12	432.53	493.56	275.28	674.59	483.38	432.53	271.48	220.32	297.17	470.14	116.78	587.13	651.58	612.11	327.56	239.52	339.14	603.67	60.39	258.57	356.05	133.36	170.25	277.2	73.03	486.75	112.77	314.17	55.1	59.55	4.9	289.02	353.59
GPATCH11	46.5	67.59	74.06	137.14	199.85	157.68	236.21	170.25	173.85	191.67	138.1	112.77	123.5	108.14	153.34	182.55	212.78	134.3	115.97	107.38	242.88	37.05	152.28	208.38	249.73	113.56	62.56	65.26	102.25	69.52	117.6	11.82	21.78	34.75	129.69	109.66
HACE1	67.59	76.17	84.63	172.65	165.57	143.01	212.78	136.19	129.69	117.6	141.02	120.94	104.42	109.66	348.71	204.07	167.9	115.97	82.87	98.04	151.22	33.3	144.01	223.41	134.3	90.77	70.51	59.55	85.82	96.68	86.43	37.32	34.51	17.38	84.63	88.26
HARBI1	31.0	59.97	85.82	138.1	112.77	94.67	85.22	113.56	98.04	114.36	90.14	63.89	106.63	61.25	75.11	164.42	176.29	86.43	83.45	86.43	105.89	39.5	102.97	137.14	91.41	48.52	83.45	55.1	108.14	46.18	150.17	50.27	41.81	34.02	90.14	73.54
HBS1L	429.54	476.71	525.39	1639.59	1104.13	915.51	1259.69	1457.23	1096.5	860.08	921.88	599.49	896.64	587.13	1639.59	961.07	1183.45	591.22	708.18	884.29	1008.9	273.37	780.44	1674.06	974.5	748.61	1044.52	403.5	802.41	486.75	988.12	172.65	176.29	265.87	674.59	802.41
HINT3	187.71	195.72	215.77	616.37	412.0	314.17	723.08	633.73	376.41	400.71	490.14	295.11	400.71	135.24	607.87	684.02	656.11	202.66	529.06	518.15	460.44	189.02	334.46	743.43	358.54	525.39	417.77	127.89	232.94	153.34	217.27	241.19	186.4	122.64	301.33	253.23
IPO7	583.07	878.17	629.35	1508.65	1331.57	872.1	884.29	1498.22	1023.0	1073.91	1037.29	854.13	1259.69	603.67	1457.23	2119.22	1857.6	866.07	624.99	718.08	1191.69	248.0	866.07	961.07	1175.27	603.67	738.29	575.03	403.5	674.59	825.0	204.07	289.02	236.21	1023.0	1001.93
KIAA0586	96.01	178.77	152.28	226.54	242.88	226.54	260.38	429.54	223.41	293.07	157.68	201.25	190.34	209.84	149.12	271.48	441.64	130.6	221.86	214.27	209.84	77.79	190.34	366.09	211.31	150.17	115.97	149.12	89.51	148.09	224.97	17.0	57.08	132.44	125.24	205.5
KIAA1715	102.97	217.27	143.01	571.05	480.04	363.56	309.83	599.49	376.41	656.11	305.55	260.38	392.44	123.5	1044.52	587.13	536.45	221.86	269.6	339.14	447.82	87.65	351.14	376.41	336.79	348.71	255.0	119.26	514.56	267.73	291.04	53.95	59.13	70.51	339.14	397.93
KPNA1	376.41	511.0	583.07	1167.14	1457.23	813.63	1143.1	1208.34	785.88	1208.34	961.07	571.05	1151.06	305.55	1059.11	1378.57	1322.37	633.73	915.51	947.83	1023.0	228.13	842.36	1066.48	830.75	395.18	974.5	329.84	583.07	403.5	819.3	497.0	248.0	295.11	603.67	860.08
LANCL1	167.9	376.41	376.41	836.53	808.0	532.74	890.44	1628.26	521.76	1023.0	743.43	708.18	713.11	178.77	1023.0	1051.79	1073.91	384.34	358.54	587.13	769.69	358.54	559.28	1388.16	947.83	743.43	432.53	301.33	180.02	215.77	358.54	224.97	275.28	136.19	323.03	571.05
LATS1	75.64	137.14	102.97	444.72	363.56	234.57	432.53	379.04	231.32	255.0	226.54	176.29	267.73	100.13	316.37	258.57	387.02	186.4	173.85	221.86	271.48	57.08	271.48	406.31	223.41	190.34	149.12	102.25	159.9	132.44	258.57	36.53	72.52	27.64	191.67	242.88
LIN54	33.78	69.03	60.82	125.24	172.65	118.43	172.65	180.02	97.36	150.17	110.43	81.71	115.97	45.21	130.6	183.82	212.78	90.14	91.41	72.01	129.69	30.12	133.36	150.17	58.3	75.64	60.39	60.39	82.29	55.89	72.52	17.64	21.47	37.32	111.99	122.64
LRRC40	104.42	120.1	166.73	262.2	305.55	175.07	237.86	432.53	182.55	198.47	234.57	164.42	193.01	175.07	307.69	256.78	287.01	159.9	167.9	177.53	221.86	37.59	224.97	246.28	176.29	177.53	117.6	83.45	141.02	171.45	198.47	28.24	39.22	68.55	211.31	158.79
LTN1	56.28	90.77	96.01	231.32	356.05	150.17	336.79	256.78	155.5	273.37	146.03	170.25	186.4	62.12	205.5	283.05	309.83	138.1	118.43	132.44	211.31	37.85	167.9	490.14	204.07	171.45	118.43	96.68	155.5	86.43	141.02	21.94	22.75	41.22	183.82	186.4
LYRM2	264.03	265.87	500.46	723.08	1183.45	651.58	1037.29	1044.52	579.04	819.3	620.67	426.57	616.37	376.41	878.17	1175.27	1191.69	470.14	688.78	493.56	620.67	189.02	669.92	967.76	688.78	575.03	368.65	341.51	409.15	316.37	591.22	109.66	145.02	99.43	381.68	346.29
MANEA	35.25	78.89	69.03	291.04	165.57	178.77	239.52	329.84	147.06	206.94	139.07	105.15	175.07	65.26	356.05	341.51	224.97	123.5	121.79	121.79	176.29	19.97	221.86	175.07	199.85	154.42	47.5	62.56	181.28	63.45	167.9	20.11	23.59	29.7	138.1	134.3
MBD5	115.16	251.48	221.86	303.44	325.29	242.88	363.56	363.56	325.29	397.93	220.32	264.03	334.46	111.99	339.14	429.54	551.56	253.23	169.07	239.52	353.59	150.17	262.2	497.0	217.27	244.57	253.23	108.9	255.0	141.02	271.48	132.44	159.9	59.13	260.38	336.79
MED23	108.14	167.9	161.02	665.29	529.06	358.54	429.54	563.18	309.83	400.71	277.2	234.57	447.82	217.27	353.59	540.19	473.41	236.21	249.73	389.72	441.64	110.43	343.89	620.67	493.56	253.23	228.13	164.42	208.38	198.47	287.01	92.05	153.34	62.56	246.28	343.89
MTO1	205.5	234.57	202.66	450.94	441.64	376.41	486.75	406.31	351.14	299.25	251.48	258.57	291.04	264.03	358.54	486.75	334.46	285.03	334.46	237.86	358.54	152.28	412.0	518.15	211.31	334.46	183.82	262.2	208.38	205.5	305.55	143.01	156.59	125.24	327.56	228.13
NAA15	255.0	199.85	217.27	555.41	684.02	246.28	450.94	559.28	218.79	341.51	283.05	269.6	293.07	161.02	718.08	507.46	791.35	262.2	246.28	281.09	312.0	85.22	264.03	279.14	205.5	195.72	214.27	131.51	258.57	147.06	205.5	24.28	56.68	89.51	339.14	303.44
NUFIP2	264.03	299.25	256.78	1135.2	785.88	473.41	559.28	587.13	312.0	703.28	379.04	514.56	397.93	116.78	521.76	540.19	860.08	438.59	309.83	368.65	536.45	99.43	395.18	532.74	312.0	228.13	336.79	178.77	373.81	242.88	291.04	90.14	181.28	152.28	480.04	473.41
NUP43	139.07	183.82	187.71	775.05	397.93	395.18	500.46	563.18	373.81	536.45	255.0	218.79	420.68	255.0	583.07	483.38	616.37	249.73	373.81	466.88	423.61	110.43	341.51	743.43	435.55	149.12	175.07	178.77	215.77	167.9	358.54	151.22	153.34	66.18	202.66	334.46
NUPL1	281.09	199.85	229.72	698.41	551.56	224.97	412.0	647.07	260.38	708.18	368.65	353.59	371.22	187.71	764.36	514.56	426.57	384.34	285.03	379.04	414.87	93.35	387.02	414.87	403.5	256.78	209.84	183.82	201.25	209.84	314.17	173.85	146.03	96.68	417.77	373.81
OCRL	158.79	277.2	260.38	693.58	358.54	361.04	511.0	392.44	417.77	371.22	395.18	273.37	703.28	165.57	693.58	860.08	540.19	281.09	348.71	269.6	435.55	186.4	299.25	387.02	397.93	329.84	229.72	187.71	166.73	366.09	277.2	231.32	241.19	154.42	299.25	435.55
PDS5A	346.29	463.65	371.22	1096.5	1001.93	679.29	836.53	1457.23	480.04	728.11	559.28	511.0	728.11	287.01	698.41	915.51	1183.45	490.14	521.76	450.94	718.08	241.19	647.07	947.83	463.65	336.79	295.11	327.56	429.54	329.84	500.46	123.5	226.54	194.36	633.73	665.29
PHF3	153.34	265.87	194.36	587.13	796.86	547.75	785.88	575.03	480.04	529.06	480.04	389.72	540.19	217.27	647.07	785.88	607.87	368.65	400.71	392.44	599.49	120.94	547.75	947.83	318.57	363.56	265.87	171.45	241.19	229.72	397.93	29.91	50.63	84.63	397.93	503.95
PHIP	61.68	117.6	78.89	463.65	460.44	214.27	460.44	460.44	202.66	303.44	239.52	155.5	201.25	67.59	246.28	444.72	356.05	135.24	173.85	165.57	320.8	38.95	218.79	529.06	173.85	195.72	80.01	159.9	134.3	64.34	163.28	12.55	41.52	23.42	173.85	178.77
PIAS2	133.36	169.07	136.19	329.84	379.04	163.28	314.17	373.81	260.38	229.72	138.1	244.57	208.38	126.12	277.2	239.52	293.07	164.42	172.65	194.36	249.73	75.11	228.13	283.05	220.32	208.38	195.72	123.5	228.13	106.63	149.12	87.03	101.54	92.05	175.07	172.65
PRMT3	99.43	116.78	194.36	297.17	346.29	202.66	297.17	339.14	159.9	249.73	229.72	198.47	143.01	190.34	244.57	450.94	295.11	157.68	139.07	148.09	178.77	47.84	172.65	217.27	264.03	293.07	112.77	129.69	45.85	135.24	141.02	59.55	76.71	60.82	217.27	178.77
PUM2	395.18	753.83	759.08	1639.59	1685.71	775.05	1519.15	1605.83	947.83	1583.71	902.89	842.36	1159.07	414.87	1119.56	1583.71	1757.34	728.11	753.83	713.11	1008.9	376.41	1044.52	1745.2	890.44	848.22	679.29	616.37	583.07	480.04	896.64	275.28	397.93	293.07	860.08	1023.0
PURB	187.71	190.34	241.19	547.75	417.77	277.2	460.44	514.56	299.25	303.44	195.72	285.03	307.69	249.73	368.65	500.46	454.09	275.28	220.32	283.05	332.14	156.59	262.2	507.46	348.71	236.21	248.0	223.41	327.56	176.29	423.61	46.5	107.38	103.69	244.57	316.37
RAB3GAP2	127.0	181.28	165.57	728.11	366.09	336.79	389.72	651.58	241.19	507.46	454.09	307.69	384.34	171.45	525.39	529.06	463.65	220.32	343.89	275.28	503.95	53.19	265.87	412.0	384.34	166.73	183.82	138.1	218.79	154.42	239.52	36.01	46.84	101.54	327.56	283.05
RALGAPB	178.77	307.69	314.17	718.08	909.17	373.81	603.67	748.61	392.44	759.08	483.38	325.29	525.39	169.07	532.74	808.0	796.86	312.0	363.56	343.89	463.65	178.77	358.54	684.02	406.31	199.85	246.28	212.78	231.32	209.84	305.55	90.77	144.01	79.45	429.54	466.88
RAPGEF6	35.25	41.52	37.85	186.4	253.23	127.0	194.36	220.32	71.0	392.44	170.25	112.77	140.04	36.79	116.78	241.19	212.78	72.01	57.08	110.43	137.14	32.36	107.38	232.94	78.89	69.52	50.63	44.25	25.54	31.67	64.8	11.04	24.81	18.7	81.14	105.15
RAPH1	144.01	98.73	72.01	432.53	438.59	223.41	320.8	480.04	273.37	612.11	368.65	217.27	346.29	63.0	529.06	414.87	281.09	96.68	163.28	303.44	320.8	78.89	234.57	511.0	299.25	135.24	186.4	143.01	194.36	102.97	167.9	40.64	51.71	130.6	260.38	255.0
RIF1	81.14	136.19	92.7	332.14	432.53	185.11	414.87	371.22	173.85	329.84	208.38	176.29	206.94	85.82	325.29	289.02	450.94	151.22	126.12	173.85	281.09	47.17	189.02	361.04	182.55	115.16	113.56	82.87	103.69	100.83	175.07	8.51	34.75	37.85	177.53	255.0
RLIM	190.34	154.42	165.57	507.46	438.59	242.88	463.65	438.59	323.03	591.22	234.57	260.38	307.69	112.77	387.02	454.09	473.41	218.79	253.23	307.69	384.34	84.04	293.07	309.83	236.21	220.32	171.45	131.51	381.68	265.87	279.14	59.97	113.56	67.59	244.57	403.5
SBNO1	97.36	153.34	114.36	454.09	341.51	237.86	376.41	414.87	220.32	476.71	186.4	157.68	267.73	98.04	289.02	301.33	441.64	154.42	164.42	206.94	234.57	73.54	244.57	511.0	244.57	100.83	154.42	136.19	163.28	101.54	262.2	38.67	96.68	64.8	258.57	246.28
SCRN3	105.89	279.14	202.66	358.54	642.59	688.78	490.14	543.96	309.83	532.74	356.05	277.2	429.54	149.12	579.04	595.34	470.14	215.77	307.69	540.19	366.09	149.12	429.54	848.22	540.19	336.79	193.01	543.96	241.19	181.28	177.53	69.03	79.45	150.17	265.87	299.25
SENP6	733.19	599.49	651.58	1242.34	1617.0	830.75	1397.83	1417.35	909.17	866.07	915.51	642.59	842.36	684.02	981.29	1457.23	1159.07	866.07	780.44	848.22	1008.9	253.23	1081.39	1617.0	1313.23	921.88	470.14	470.14	567.1	612.11	775.05	53.19	108.9	187.71	738.29	748.61
SLC25A51	166.73	205.5	185.11	395.18	299.25	297.17	279.14	536.45	206.94	279.14	142.01	239.52	248.0	154.42	287.01	363.56	409.15	193.01	236.21	175.07	314.17	158.79	287.01	281.09	353.59	153.34	215.77	108.14	122.64	185.11	318.57	186.4	156.59	90.14	277.2	267.73
SMAD4	353.59	733.19	409.15	1605.83	1832.01	848.22	1594.73	1407.55	1135.2	1277.29	514.56	1030.12	1447.15	316.37	1378.57	1037.29	1388.16	961.07	651.58	884.29	1175.27	237.86	830.75	1427.22	718.08	1096.5	830.75	299.25	1233.75	493.56	1023.0	115.97	236.21	218.79	890.44	1167.14
SMEK1	638.15	693.58	872.1	1023.0	1594.73	872.1	1151.06	2209.26	1175.27	1216.75	796.86	679.29	1059.11	656.11	1111.82	1216.75	1044.52	1008.9	961.07	1529.73	1044.52	603.67	1268.46	1331.57	1096.5	967.76	808.0	1030.12	698.41	688.78	842.36	169.07	392.44	733.19	941.27	1437.15
SMEK2	334.46	540.19	518.15	1417.35	1277.29	825.0	1015.93	1721.16	723.08	974.5	698.41	587.13	866.07	336.79	1088.92	1059.11	1304.15	511.0	967.76	819.3	848.22	217.27	836.53	1191.69	780.44	775.05	435.55	341.51	684.02	351.14	579.04	82.87	202.66	279.14	679.29	688.78
SOCS4	125.24	100.83	97.36	204.07	208.38	156.59	185.11	236.21	133.36	289.02	88.26	152.28	164.42	66.65	241.19	194.36	246.28	180.02	154.42	189.02	191.67	31.0	147.06	172.65	202.66	104.42	125.24	81.14	140.04	75.11	224.97	22.1	35.5	53.95	163.28	167.9
SP3	334.46	616.37	579.04	2104.58	1896.65	909.17	1397.83	1781.89	878.17	1498.22	1096.5	1001.93	1051.79	341.51	1551.09	1369.04	1529.73	780.44	769.69	1167.14	1088.92	256.78	1242.34	1594.73	718.08	2193.99	591.22	353.59	813.63	547.75	813.63	135.24	297.17	176.29	743.43	884.29
SP4	13.62	32.82	43.32	83.45	98.73	51.35	117.6	103.69	52.82	48.87	36.01	55.49	41.81	28.86	77.79	131.51	113.56	47.17	47.84	51.35	68.07	10.31	74.58	159.9	32.59	69.03	53.19	26.86	23.42	18.03	45.21	5.45	13.22	7.46	65.26	66.18
