	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
B3GAT2	1.46	0.82	2.34	0.0	0.41	1.27	3.59	4.86	3.99	3.38	7.22	6.94	2.29	6.46	6.21	7.17	5.59	4.28	4.94	1.81	13.83	14.67	7.57	15.91	4.39	7.46	11.64	8.06	16.27	10.55	10.24	6.52	22.92	10.47	12.27	6.62	14.03	12.45	8.13	15.91	11.47	9.48	10.88	11.38	6.84	8.99	7.34	7.88	11.21	11.64	11.3	5.32	10.24	9.48	5.54	8.85	6.73	6.21	8.25	10.79	14.56	5.59	16.88	13.12	19.11	8.71	5.92	9.48	9.85	6.67	13.83	4.7	16.15	7.4	17.9	5.82	20.41	8.25	6.57	11.64	14.24	10.08	8.99	11.73	4.7	10.24	9.56	6.78	9.63	17.13	4.31	3.56	9.27	6.78	8.58
BBIP1	406.31	351.14	368.65	193.01	318.57	441.64	669.92	693.58	432.53	587.13	642.59	688.78	497.0	525.39	660.68	591.22	368.65	684.02	595.34	624.99	718.08	866.07	713.11	961.07	728.11	669.92	775.05	759.08	825.0	802.41	703.28	764.36	1242.34	934.76	941.27	988.12	902.89	872.1	872.1	860.08	884.29	830.75	733.19	708.18	607.87	708.18	884.29	748.61	1127.35	995.0	753.83	665.29	819.3	1044.52	713.11	624.99	836.53	346.29	616.37	981.29	915.51	708.18	1199.98	902.89	1119.56	612.11	733.19	769.69	693.58	612.11	780.44	743.43	1127.35	791.35	872.1	769.69	1104.13	775.05	679.29	1216.75	764.36	842.36	620.67	860.08	529.06	1096.5	759.08	819.3	915.51	854.13	633.73	878.17	854.13	753.83	764.36
BTAF1	45.53	50.27	66.18	34.51	35.5	34.75	71.0	122.64	108.14	65.26	121.79	119.26	90.14	81.71	69.03	202.66	52.45	170.25	147.06	54.33	575.03	460.44	173.85	591.22	248.0	301.33	293.07	341.51	406.31	371.22	353.59	285.03	403.5	476.71	305.55	318.57	525.39	1081.39	397.93	460.44	332.14	438.59	403.5	289.02	406.31	320.8	262.2	209.84	332.14	457.25	466.88	256.78	603.67	336.79	412.0	329.84	181.28	320.8	260.38	423.61	599.49	283.05	591.22	400.71	381.68	231.32	239.52	426.57	316.37	178.77	371.22	136.19	329.84	423.61	536.45	497.0	454.09	423.61	234.57	325.29	450.94	426.57	119.26	343.89	176.29	363.56	525.39	363.56	273.37	329.84	223.41	255.0	285.03	339.14	343.89
C10orf137	64.8	62.12	90.14	46.18	114.36	170.25	153.34	180.02	182.55	139.07	253.23	273.37	178.77	256.78	117.6	236.21	208.38	181.28	155.5	134.3	412.0	389.72	208.38	473.41	241.19	234.57	307.69	229.72	358.54	269.6	232.94	242.88	334.46	312.0	275.28	185.11	178.77	529.06	244.57	403.5	267.73	281.09	307.69	258.57	258.57	215.77	255.0	309.83	299.25	389.72	329.84	329.84	444.72	373.81	246.28	229.72	251.48	301.33	242.88	334.46	392.44	237.86	361.04	327.56	426.57	232.94	262.2	234.57	305.55	180.02	373.81	279.14	363.56	237.86	356.05	299.25	450.94	258.57	256.78	234.57	262.2	269.6	232.94	281.09	176.29	327.56	312.0	327.56	336.79	361.04	177.53	182.55	381.68	244.57	281.09
C7orf55-LUC7L2	698.41	417.77	376.41	329.84	571.05	791.35	1199.98	1378.57	1304.15	1208.34	1757.34	1572.76	1322.37	1651.0	1225.22	1617.0	1529.73	1259.69	1242.34	1721.16	2835.7	2555.58	1617.0	2758.13	1745.2	1991.0	2090.03	2163.77	2739.08	2682.69	1709.26	1685.71	2319.15	2133.97	1963.57	2047.0	1896.65	2835.7	2240.11	2485.67	2417.67	2133.97	2520.38	1870.53	1697.45	1605.83	1844.76	1991.0	2193.99	2701.35	2047.0	1769.57	2537.92	2047.0	2047.0	1721.16	1721.16	2075.59	1794.29	2319.15	2468.49	1781.89	1963.57	1794.29	3039.3	1498.22	2047.0	2335.28	1794.29	1417.35	2148.82	1721.16	2163.77	1551.09	2224.63	2193.99	2627.46	2163.77	1781.89	2148.82	2163.77	2133.97	1617.0	2061.24	1594.73	2018.8	2591.27	1721.16	2148.82	2367.9	1709.26	1277.29	2163.77	1806.78	1977.24
C9orf72	88.88	68.55	61.25	55.89	54.72	17.9	111.21	231.32	182.55	99.43	237.86	163.28	124.37	85.22	112.77	255.0	166.73	195.72	121.79	91.41	348.71	480.04	269.6	435.55	181.28	283.05	540.19	303.44	500.46	348.71	379.04	336.79	435.55	366.09	323.03	271.48	1015.93	988.12	447.82	842.36	231.32	325.29	329.84	353.59	403.5	283.05	197.09	332.14	409.15	339.14	334.46	244.57	267.73	412.0	438.59	312.0	208.38	316.37	341.51	500.46	536.45	341.51	563.18	397.93	420.68	228.13	185.11	521.76	341.51	262.2	384.34	291.04	376.41	373.81	406.31	295.11	493.56	403.5	273.37	563.18	295.11	525.39	353.59	279.14	181.28	547.75	525.39	417.77	624.99	289.02	297.17	312.0	246.28	299.25	327.56
CALCOCO1	1277.29	1628.26	1540.37	1857.6	583.07	507.46	1757.34	1977.24	2061.24	1628.26	1561.89	2555.58	2591.27	2739.08	1369.04	2104.58	1540.37	1529.73	1963.57	1769.57	2956.17	2627.46	1950.0	3039.3	1378.57	1733.13	2537.92	1806.78	3146.52	2047.0	2351.53	1857.6	2645.74	3060.45	1857.6	1909.85	2956.17	3874.05	2303.12	3540.14	2032.85	2627.46	3018.3	1870.53	3349.13	1583.71	1769.57	2255.7	2720.15	3349.13	2367.9	2645.74	2573.36	3847.29	2537.92	2303.12	2163.77	1651.0	2061.24	3614.55	2935.74	1844.76	2682.69	1769.57	2004.85	1369.04	1697.45	2367.9	2303.12	1883.54	2895.31	1883.54	2720.15	1572.76	2720.15	2915.45	2777.33	2956.17	1923.14	2537.92	1991.0	1883.54	1447.15	2502.97	2468.49	5292.48	2163.77	2090.03	2627.46	2400.97	1832.01	2997.45	2133.97	1857.6	2303.12
CAPRIN2	64.8	70.01	138.1	59.97	79.45	45.85	283.05	191.67	127.89	137.14	221.86	176.29	141.02	198.47	153.34	186.4	211.31	186.4	136.19	201.25	409.15	406.31	223.41	412.0	289.02	301.33	303.44	218.79	420.68	279.14	267.73	234.57	444.72	267.73	291.04	343.89	242.88	409.15	206.94	403.5	454.09	312.0	293.07	241.19	258.57	208.38	264.03	251.48	339.14	392.44	287.01	389.72	358.54	389.72	361.04	309.83	253.23	186.4	260.38	341.51	384.34	199.85	361.04	389.72	423.61	241.19	327.56	289.02	409.15	145.02	332.14	249.73	368.65	269.6	463.65	258.57	412.0	251.48	189.02	297.17	251.48	336.79	189.02	316.37	159.9	529.06	285.03	226.54	295.11	309.83	305.55	293.07	339.14	281.09	271.48
CARF	22.59	36.01	29.06	15.68	47.17	7.11	53.57	128.79	79.45	77.25	77.79	80.01	61.25	62.12	84.04	131.51	79.45	120.1	120.94	57.08	343.89	255.0	153.34	373.81	173.85	187.71	165.57	161.02	256.78	194.36	140.04	166.73	277.2	269.6	223.41	234.57	117.6	285.03	180.02	228.13	258.57	205.5	343.89	166.73	194.36	152.28	185.11	232.94	186.4	277.2	201.25	153.34	299.25	224.97	186.4	159.9	181.28	154.42	198.47	336.79	206.94	120.94	312.0	231.32	389.72	101.54	205.5	204.07	226.54	89.51	320.8	133.36	242.88	130.6	255.0	189.02	361.04	162.14	123.5	226.54	170.25	191.67	88.88	214.27	105.89	260.38	260.38	197.09	209.84	277.2	103.69	154.42	201.25	220.32	153.34
CCAR1	215.77	77.25	117.6	45.53	406.31	656.11	665.29	567.1	579.04	579.04	708.18	693.58	921.88	934.76	967.76	708.18	981.29	878.17	743.43	540.19	1175.27	1023.0	884.29	1519.15	679.29	934.76	1081.39	728.11	1208.34	941.27	830.75	808.0	1208.34	921.88	1096.5	728.11	1561.89	1519.15	743.43	1388.16	1008.9	1008.9	866.07	1023.0	1059.11	775.05	791.35	866.07	1127.35	1088.92	954.43	780.44	934.76	1104.13	1008.9	703.28	890.44	796.86	981.29	1051.79	1066.48	718.08	1208.34	1096.5	1477.58	915.51	759.08	836.53	866.07	713.11	967.76	842.36	995.0	954.43	1044.52	921.88	1119.56	738.29	703.28	934.76	796.86	974.5	748.61	947.83	642.59	1199.98	764.36	988.12	808.0	1313.23	872.1	780.44	1096.5	866.07	836.53
CCDC180	35.76	17.13	26.47	14.03	24.46	13.03	43.02	55.1	46.84	56.28	106.63	154.42	87.65	66.65	50.63	86.43	73.54	63.45	115.97	162.14	271.48	251.48	115.97	708.18	88.88	105.89	146.03	111.21	178.77	80.01	87.03	108.9	341.51	251.48	112.77	96.01	88.26	346.29	131.51	152.28	165.57	102.97	214.27	77.25	112.77	85.22	158.79	182.55	121.79	299.25	136.19	166.73	202.66	183.82	159.9	133.36	124.37	77.79	162.14	229.72	287.01	119.26	289.02	279.14	201.25	55.1	112.77	175.07	166.73	91.41	114.36	90.14	450.94	112.77	169.07	140.04	312.0	87.03	52.08	244.57	103.69	109.66	117.6	70.01	77.79	406.31	73.03	170.25	190.34	171.45	96.01	176.29	381.68	74.06	104.42
CCDC66	28.24	24.11	42.41	10.96	67.12	58.71	130.6	171.45	153.34	135.24	181.28	237.86	153.34	189.02	161.02	262.2	241.19	153.34	199.85	129.69	429.54	361.04	185.11	429.54	246.28	265.87	291.04	178.77	336.79	273.37	224.97	305.55	307.69	285.03	358.54	301.33	228.13	532.74	237.86	483.38	490.14	285.03	281.09	212.78	187.71	183.82	332.14	291.04	334.46	470.14	258.57	155.5	387.02	303.44	255.0	275.28	258.57	199.85	214.27	466.88	301.33	199.85	470.14	303.44	555.41	206.94	214.27	283.05	392.44	190.34	366.09	183.82	457.25	237.86	463.65	309.83	395.18	217.27	130.6	339.14	260.38	312.0	180.02	327.56	169.07	417.77	223.41	248.0	289.02	299.25	253.23	239.52	348.71	316.37	329.84
CCDC82	117.6	81.71	93.35	27.64	91.41	129.69	228.13	271.48	162.14	201.25	417.77	316.37	287.01	281.09	253.23	400.71	307.69	320.8	265.87	137.14	884.29	728.11	409.15	1313.23	432.53	836.53	802.41	511.0	884.29	607.87	620.67	591.22	684.02	612.11	620.67	633.73	387.02	1001.93	521.76	1477.58	684.02	698.41	547.75	603.67	470.14	679.29	921.88	567.1	629.35	872.1	599.49	738.29	503.95	497.0	497.0	503.95	381.68	507.46	460.44	674.59	802.41	460.44	791.35	775.05	785.88	423.61	848.22	567.1	1015.93	341.51	703.28	511.0	764.36	447.82	842.36	571.05	733.19	444.72	532.74	665.29	559.28	674.59	483.38	583.07	366.09	579.04	518.15	713.11	819.3	620.67	543.96	371.22	921.88	723.08	567.1
CCNT2	58.3	52.45	66.18	19.97	45.21	62.12	152.28	155.5	194.36	127.0	220.32	178.77	145.02	197.09	217.27	265.87	169.07	195.72	236.21	97.36	420.68	447.82	271.48	583.07	149.12	269.6	318.57	307.69	447.82	400.71	334.46	246.28	511.0	384.34	384.34	205.5	412.0	466.88	356.05	420.68	299.25	346.29	343.89	392.44	285.03	283.05	239.52	289.02	417.77	486.75	368.65	220.32	366.09	438.59	229.72	279.14	273.37	336.79	221.86	432.53	438.59	305.55	444.72	353.59	476.71	307.69	199.85	323.03	253.23	265.87	486.75	260.38	493.56	361.04	470.14	329.84	563.18	343.89	253.23	490.14	412.0	409.15	231.32	371.22	198.47	341.51	420.68	371.22	406.31	457.25	209.84	186.4	275.28	201.25	343.89
