	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11EM3.0926.SM.5A5KK	GTEX.13O21.0726.SM.5L3EG	GTEX.V955.1226.SM.4JBI9	GTEX.12WSK.1326.SM.5CVNM	GTEX.RU72.0726.SM.46MUW	GTEX.13FHO.1726.SM.5IFGM	GTEX.12696.1326.SM.5FQTJ	GTEX.YFC4.1226.SM.5LU9R	GTEX.RTLS.1126.SM.46MUQ	GTEX.13FLV.1126.SM.5J2NO	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	GTEX.Y3IK.1226.SM.4WWEK	GTEX.ZXES.1226.SM.5NQ8G	GTEX.OXRK.1426.SM.3NB19	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MTMR12	267.73	358.54	346.29	836.53	693.58	688.78	902.89	289.02	376.41	426.57	220.32	389.72	395.18	463.65	358.54	547.75	738.29	748.61	172.65	102.97	167.9	228.13	105.89
NCAM2	12.45	0.85	6.78	93.35	115.16	39.22	54.33	7.34	13.62	5.68	4.21	36.53	13.62	23.42	19.97	80.01	66.18	74.06	3.99	17.51	0.24	2.05	0.0
NUDT16	231.32	162.14	128.79	1183.45	693.58	830.75	665.29	208.38	248.0	316.37	167.9	269.6	178.77	312.0	224.97	466.88	785.88	624.99	120.94	65.26	78.89	115.97	94.67
OBSL1	543.96	403.5	483.38	2915.45	2451.44	1883.54	2004.85	358.54	934.76	511.0	218.79	915.51	493.56	738.29	703.28	2367.9	1936.53	1498.22	109.66	147.06	177.53	206.94	129.69
OSBPL9	532.74	579.04	450.94	1286.18	1023.0	1159.07	1583.71	521.76	967.76	738.29	507.46	928.3	738.29	819.3	796.86	902.89	1745.2	1183.45	406.31	226.54	412.0	423.61	395.18
PCDHB16	31.45	9.85	10.71	96.01	60.39	36.79	42.41	9.48	24.81	16.51	7.34	22.26	10.0	27.84	12.74	54.33	61.25	33.78	4.5	3.79	2.56	4.9	9.41
PDGFA	256.78	74.58	64.8	974.5	511.0	718.08	713.11	189.02	351.14	211.31	197.09	412.0	258.57	351.14	293.07	915.51	1191.69	1216.75	31.0	56.68	80.01	53.19	46.84
PKD2	215.77	157.68	119.26	1286.18	1119.56	890.44	1191.69	246.28	295.11	231.32	137.14	397.93	260.38	307.69	229.72	603.67	1199.98	713.11	87.03	96.01	67.12	59.55	53.19
REEP3	241.19	255.0	201.25	848.22	620.67	417.77	684.02	229.72	341.51	234.57	244.57	348.71	220.32	320.8	287.01	414.87	808.0	435.55	376.41	163.28	135.24	249.73	149.12
RPGR	136.19	115.16	64.8	417.77	327.56	343.89	567.1	112.77	244.57	189.02	105.15	299.25	221.86	312.0	193.01	293.07	454.09	381.68	60.82	107.38	45.53	82.87	97.36
RSPO3	371.22	44.25	73.54	1467.37	872.1	242.88	514.56	35.5	185.11	123.5	19.25	170.25	144.01	176.29	77.25	299.25	842.36	674.59	163.28	16.03	22.92	6.06	16.75
SCN7A	47.17	17.51	50.27	684.02	457.25	529.06	713.11	33.78	142.01	92.05	21.01	228.13	68.55	154.42	98.73	466.88	532.74	457.25	3.23	4.03	1.06	2.46	3.2
SCRN1	473.41	283.05	299.25	1561.89	1350.18	698.41	1250.98	229.72	379.04	234.57	187.71	363.56	316.37	353.59	260.38	988.12	1191.69	1015.93	285.03	107.38	172.65	236.21	127.89
SEC62	603.67	497.0	361.04	2758.13	2609.3	1963.57	2758.13	848.22	1467.37	981.29	660.68	1023.0	1135.2	988.12	1015.93	2555.58	2520.38	2645.74	988.12	647.07	563.18	603.67	679.29
SERINC4	8.13	2.16	3.0	25.72	25.72	33.78	26.1	4.94	21.78	2.61	4.9	11.47	9.48	18.97	10.63	17.64	28.04	55.89	1.41	2.41	1.68	1.14	1.77
SGCE	190.34	78.89	63.45	995.0	1030.12	769.69	1151.06	96.01	351.14	181.28	75.64	412.0	231.32	329.84	194.36	1295.13	1066.48	1001.93	140.04	9.85	32.36	36.01	5.63
SMAD9	43.94	10.63	25.91	497.0	136.19	214.27	312.0	38.12	113.56	58.71	17.77	98.73	47.84	82.87	68.07	368.65	454.09	400.71	6.73	3.32	5.54	11.13	5.68
STAT5B	603.67	341.51	435.55	1081.39	1183.45	1175.27	1143.1	460.44	698.41	540.19	289.02	738.29	543.96	616.37	616.37	1037.29	1059.11	1051.79	105.15	231.32	167.9	178.77	108.9
SYT2	1.89	1.06	2.53	12.18	7.4	10.16	6.78	0.93	2.86	3.35	0.0	2.68	1.07	4.13	2.05	10.39	8.78	10.96	0.0	1.41	0.01	0.0	0.0
TGOLN2	947.83	547.75	559.28	1936.53	1662.49	1639.59	1685.71	698.41	1175.27	728.11	409.15	1159.07	896.64	921.88	808.0	1594.73	2018.8	1781.89	403.5	318.57	450.94	642.59	283.05
TLK1	299.25	279.14	358.54	723.08	669.92	392.44	713.11	269.6	373.81	273.37	260.38	373.81	236.21	329.84	379.04	423.61	607.87	463.65	251.48	149.12	182.55	218.79	198.47
TM6SF1	56.28	63.0	53.57	119.26	159.9	176.29	206.94	56.68	56.28	61.68	34.51	112.77	73.54	115.97	69.52	117.6	258.57	175.07	140.04	52.45	37.32	41.81	52.82
TMEM8B	127.0	108.9	146.03	1111.82	796.86	743.43	753.83	130.6	334.46	166.73	87.03	295.11	293.07	346.29	176.29	915.51	780.44	612.11	17.38	22.1	65.72	46.5	13.62
TRPC1	44.25	36.79	26.28	420.68	211.31	171.45	265.87	45.21	84.04	58.71	31.45	136.19	55.1	93.35	63.0	269.6	273.37	171.45	4.7	11.82	1.89	7.06	2.63
ZFP92	2.68	0.39	2.46	19.53	7.88	24.28	8.0	1.01	4.98	4.39	0.0	8.19	2.29	7.75	2.2	13.72	10.24	18.29	1.22	0.62	0.0	0.46	0.0
ZNF333	156.59	98.04	137.14	463.65	332.14	327.56	426.57	154.42	246.28	166.73	100.83	189.02	161.02	208.38	171.45	314.17	366.09	220.32	20.71	39.5	31.9	28.45	16.63
ZNF704	77.25	24.63	45.21	214.27	211.31	221.86	334.46	52.08	167.9	57.49	17.64	127.89	90.14	111.99	81.14	169.07	406.31	167.9	10.08	15.34	13.32	16.63	2.16
