	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.E2.A3DX.01A.21R.A213.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A1AM.01A.41R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.6175.01A.11R.1820.07
CAMSAP3	3.96	142.01	575.03	629.35	320.8	343.89	1066.48	249.73	69.03	358.54	226.54	241.19	423.61	12.27	258.57	169.07	733.19	285.03	305.55	366.09	129.69	220.32	162.14	26.47	232.94	281.09	0.73	12.27	127.0	89.51	102.97	0.0	0.03	63.45	10.08	105.89
CASP9	217.27	275.28	346.29	320.8	318.57	273.37	329.84	271.48	218.79	281.09	146.03	185.11	323.03	171.45	277.2	232.94	327.56	232.94	231.32	208.38	241.19	376.41	185.11	403.5	117.6	140.04	211.31	215.77	197.09	197.09	161.02	0.0	0.4	214.27	100.13	221.86
CASZ1	18.56	90.14	563.18	656.11	264.03	698.41	629.35	457.25	325.29	483.38	368.65	175.07	693.58	40.93	457.25	182.55	1135.2	170.25	511.0	381.68	318.57	466.88	316.37	56.68	241.19	295.11	19.39	34.75	228.13	336.79	351.14	0.0	0.58	94.01	38.95	251.48
CCDC30	12.45	43.94	105.15	136.19	73.03	121.79	125.24	81.14	29.48	105.15	26.67	53.19	115.97	37.05	131.51	65.26	148.09	55.1	46.84	87.03	76.17	217.27	52.82	65.72	4.94	10.31	27.44	15.91	18.84	15.8	6.31	0.0	0.1	11.91	1.1	31.45
CCDC74A	267.73	346.29	1508.65	915.51	1733.13	5076.84	1628.26	444.72	191.67	718.08	836.53	420.68	2018.8	214.27	603.67	688.78	4704.07	301.33	197.09	1044.52	579.04	1540.37	830.75	454.09	24.63	29.7	251.48	351.14	94.01	104.42	61.68	0.0	0.0	113.56	12.55	131.51
CDK5RAP2	493.56	460.44	708.18	753.83	616.37	656.11	1233.75	656.11	651.58	759.08	457.25	753.83	759.08	435.55	947.83	848.22	842.36	599.49	612.11	819.3	785.88	981.29	674.59	444.72	253.23	353.59	454.09	426.57	454.09	389.72	384.34	0.0	0.97	312.0	624.99	460.44
CHD2	232.94	353.59	480.04	860.08	336.79	708.18	511.0	825.0	301.33	587.13	329.84	392.44	733.19	353.59	463.65	251.48	759.08	358.54	612.11	587.13	441.64	896.64	497.0	366.09	171.45	438.59	171.45	209.84	297.17	361.04	406.31	0.0	0.43	150.17	115.16	579.04
COL1A2	223512.12	258533.99	90773.53	105727.15	215898.44	73730.83	97965.44	159145.95	318292.9	118127.7	200048.85	280957.98	69753.56	189257.69	117311.73	267651.2	31215.04	189257.69	187950.38	174152.51	182810.84	102836.01	296977.71	506427.83	42054.3	61146.25	214407.12	434801.29	234624.45	103551.29	132900.7	7749.1	2915.45	56657.31	2224.63	170568.48
CSAD	463.65	320.8	1304.15	688.78	358.54	540.19	947.83	612.11	186.4	1242.34	176.29	221.86	1259.69	236.21	825.0	307.69	2047.0	454.09	583.07	808.0	363.56	1242.34	1111.82	616.37	47.84	36.01	146.03	258.57	72.52	104.42	70.51	0.0	1.55	58.3	43.02	429.54
DENND1C	98.04	68.55	275.28	441.64	186.4	480.04	825.0	334.46	73.54	361.04	205.5	260.38	480.04	122.64	312.0	159.9	620.67	305.55	397.93	289.02	341.51	289.02	157.68	190.34	128.79	176.29	32.59	50.63	48.87	232.94	163.28	0.0	0.67	115.16	28.65	327.56
EPHA10	0.0	0.0	78.89	52.08	13.93	94.67	45.53	33.3	5.19	31.67	14.78	20.86	76.71	1.55	39.22	4.98	103.69	36.53	33.06	16.75	19.82	49.21	24.81	72.52	1.43	1.07	1.03	0.62	1.07	1.81	0.62	0.0	0.26	13.62	0.0	10.47
FAHD2B	323.03	202.66	651.58	738.29	450.94	470.14	480.04	629.35	356.05	476.71	669.92	303.44	583.07	173.85	521.76	563.18	1322.37	271.48	447.82	713.11	316.37	974.5	612.11	518.15	90.14	60.39	157.68	273.37	195.72	151.22	113.56	0.0	0.44	371.22	49.91	193.01
FAM53A	39.5	54.33	73.03	56.28	37.59	60.82	84.63	35.0	33.06	76.71	25.72	44.89	79.45	37.32	78.34	26.28	68.07	26.1	56.68	84.63	24.63	82.87	90.77	36.01	2.2	7.63	99.43	30.56	17.9	15.0	29.06	0.0	0.2	25.35	2.63	45.85
FARS2	273.37	320.8	348.71	454.09	389.72	387.02	353.59	339.14	309.83	312.0	262.2	318.57	395.18	279.14	379.04	267.73	532.74	234.57	336.79	351.14	373.81	397.93	460.44	473.41	353.59	220.32	198.47	223.41	273.37	281.09	305.55	0.0	0.16	264.03	291.04	291.04
FRAT1	70.51	59.13	123.5	122.64	88.88	177.53	106.63	57.89	31.45	109.66	56.68	84.04	181.28	50.63	105.89	30.12	111.99	43.94	119.26	62.56	67.12	133.36	81.14	147.06	22.92	45.85	26.67	27.84	37.32	51.35	38.67	0.0	0.09	1.91	8.92	31.0
GTF2IRD2B	297.17	454.09	656.11	708.18	384.34	688.78	743.43	607.87	420.68	583.07	318.57	381.68	902.89	356.05	555.41	361.04	718.08	435.55	563.18	463.65	463.65	1159.07	624.99	819.3	142.01	65.26	376.41	229.72	248.0	242.88	65.72	215.77	211.31	312.0	265.87	414.87
HKR1	267.73	507.46	890.44	825.0	753.83	728.11	1037.29	896.64	642.59	860.08	521.76	518.15	902.89	555.41	902.89	587.13	1242.34	532.74	764.36	988.12	665.29	1295.13	872.1	466.88	112.77	115.97	403.5	305.55	368.65	217.27	193.01	0.0	0.88	346.29	66.65	406.31
HMGXB3	316.37	387.02	759.08	507.46	429.54	543.96	679.29	587.13	454.09	684.02	366.09	312.0	629.35	567.1	432.53	305.55	785.88	412.0	567.1	954.43	476.71	642.59	872.1	423.61	287.01	429.54	429.54	400.71	493.56	420.68	438.59	0.0	0.75	301.33	94.01	860.08
KIAA0141	961.07	708.18	1397.83	1721.16	1437.15	1498.22	1487.87	1313.23	1088.92	1594.73	665.29	703.28	1551.09	1208.34	1487.87	1286.18	1216.75	1467.37	1437.15	1313.23	1143.1	1135.2	1909.85	1225.22	483.38	698.41	511.0	808.0	723.08	902.89	802.41	0.0	1.07	507.46	336.79	1051.79
KIAA1407	33.54	73.54	143.01	189.02	92.7	134.3	166.73	133.36	32.36	183.82	58.3	90.14	181.28	55.49	175.07	57.08	171.45	108.9	59.97	150.17	91.41	325.29	90.77	107.38	13.03	20.11	37.05	59.97	29.7	16.15	34.02	0.0	0.29	27.05	13.42	58.3
KIAA1522	93.35	860.08	1896.65	2417.67	836.53	2133.97	1832.01	1628.26	791.35	1135.2	703.28	2090.03	1662.49	450.94	1457.23	470.14	2537.92	909.17	1896.65	1037.29	775.05	1457.23	1268.46	231.32	693.58	819.3	255.0	563.18	954.43	842.36	769.69	0.0	0.25	967.76	224.97	802.41
KLHL26	102.97	99.43	204.07	221.86	119.26	185.11	387.02	132.44	122.64	190.34	204.07	156.59	186.4	100.83	150.17	119.26	260.38	137.14	206.94	157.68	103.69	145.02	72.01	221.86	18.29	73.03	81.14	55.49	124.37	130.6	81.71	0.0	0.15	43.94	5.59	164.42
L3MBTL1	25.91	81.14	142.01	124.37	40.93	113.56	145.02	107.38	35.0	209.84	20.41	32.13	148.09	72.01	86.43	29.48	189.02	95.34	74.58	143.01	49.21	236.21	120.94	72.52	20.11	14.14	23.76	53.19	25.17	16.51	11.64	0.0	0.92	18.7	8.51	105.15
LRRC37A3	85.22	99.43	169.07	147.06	414.87	172.65	180.02	137.14	72.01	201.25	135.24	153.34	224.97	77.79	358.54	165.57	283.05	633.73	170.25	140.04	151.22	435.55	134.3	127.89	6.31	16.88	68.55	107.38	50.63	29.7	27.25	0.0	0.57	81.14	2.76	78.34
LRRC56	19.39	41.52	118.43	262.2	54.33	127.0	138.1	44.57	23.59	135.24	57.08	40.93	204.07	18.84	102.25	35.5	271.48	55.49	51.35	59.13	37.59	176.29	71.5	57.08	7.82	4.58	3.5	8.99	13.03	7.28	14.89	0.0	0.11	4.54	1.45	19.25
MAU2	208.38	493.56	785.88	759.08	518.15	748.61	1340.84	633.73	412.0	769.69	323.03	414.87	764.36	518.15	575.03	339.14	791.35	583.07	743.43	860.08	466.88	764.36	420.68	483.38	251.48	283.05	563.18	283.05	444.72	420.68	483.38	329.84	102.25	172.65	95.34	713.11
MVB12B	72.52	119.26	187.71	190.34	103.69	223.41	166.73	217.27	99.43	164.42	153.34	143.01	161.02	114.36	102.25	71.0	157.68	60.39	180.02	246.28	96.01	303.44	187.71	275.28	10.88	27.84	73.03	82.87	70.51	74.06	34.02	0.0	0.16	31.22	6.11	100.13
MZF1	134.3	229.72	490.14	387.02	164.42	497.0	493.56	283.05	64.34	563.18	100.13	151.22	555.41	197.09	283.05	94.01	493.56	201.25	256.78	356.05	150.17	373.81	332.14	444.72	24.99	63.89	131.51	138.1	122.64	84.04	107.38	0.0	1.01	81.14	20.41	169.07
NBPF12	46.5	142.01	127.89	248.0	107.38	195.72	165.57	201.25	73.03	229.72	24.99	131.51	194.36	109.66	138.1	55.1	190.34	105.89	89.51	154.42	104.42	351.14	237.86	77.25	3.35	17.77	22.92	76.17	41.52	17.38	24.81	0.0	0.47	11.13	1.73	90.14
NEIL1	166.73	255.0	738.29	503.95	507.46	647.07	373.81	273.37	113.56	974.5	163.28	117.6	1088.92	99.43	669.92	154.42	915.51	334.46	307.69	529.06	211.31	802.41	620.67	559.28	6.16	13.83	18.16	44.57	41.52	42.41	17.13	0.0	1.1	20.26	31.45	167.9
NICN1	183.82	157.68	312.0	371.22	176.29	215.77	361.04	204.07	133.36	379.04	144.01	144.01	358.54	158.79	255.0	119.26	368.65	146.03	187.71	297.17	212.78	743.43	348.71	166.73	51.71	53.19	67.12	132.44	106.63	92.05	71.0	0.0	0.52	89.51	29.91	191.67
NOXA1	24.99	21.16	223.41	267.73	55.89	224.97	414.87	68.07	9.78	221.86	82.87	93.35	454.09	40.64	135.24	57.49	409.15	157.68	64.8	201.25	54.33	126.12	145.02	98.04	22.59	8.71	3.41	18.03	7.75	22.59	12.45	0.0	0.58	29.91	9.56	32.59
NUDT6	63.89	73.03	127.0	195.72	150.17	112.77	161.02	96.01	59.13	175.07	120.94	110.43	215.77	106.63	251.48	175.07	285.03	105.89	136.19	108.9	173.85	285.03	234.57	119.26	33.06	24.63	84.63	95.34	40.36	100.83	43.32	0.0	0.07	92.05	59.13	84.63
PGPEP1	279.14	409.15	476.71	486.75	309.83	583.07	902.89	334.46	265.87	567.1	381.68	220.32	587.13	293.07	409.15	236.21	483.38	217.27	432.53	748.61	237.86	525.39	271.48	236.21	33.78	82.29	144.01	106.63	48.52	107.38	70.01	172.65	59.97	117.6	53.57	312.0
PHF12	223.41	547.75	679.29	743.43	563.18	967.76	660.68	603.67	381.68	703.28	371.22	518.15	825.0	444.72	684.02	299.25	688.78	417.77	563.18	1037.29	616.37	713.11	532.74	447.82	87.65	260.38	563.18	295.11	379.04	323.03	351.14	0.0	0.87	215.77	60.39	571.05
POMT1	412.0	379.04	536.45	521.76	441.64	483.38	703.28	406.31	356.05	679.29	301.33	403.5	616.37	417.77	493.56	389.72	567.1	265.87	490.14	525.39	395.18	860.08	466.88	447.82	133.36	116.78	224.97	392.44	265.87	221.86	186.4	0.0	0.58	186.4	164.42	429.54
PPP1R26	69.52	154.42	417.77	438.59	133.36	392.44	463.65	234.57	87.65	309.83	92.05	265.87	318.57	228.13	314.17	120.94	511.0	175.07	223.41	307.69	161.02	460.44	309.83	181.28	33.3	67.12	41.81	103.69	115.16	45.53	74.06	0.0	0.59	56.68	8.25	198.47
PRRT1	83.45	169.07	285.03	204.07	142.01	147.06	181.28	139.07	116.78	208.38	209.84	48.87	228.13	72.01	167.9	67.12	265.87	75.11	107.38	199.85	109.66	450.94	186.4	336.79	25.35	31.0	231.32	84.63	49.56	33.54	23.76	0.0	0.53	69.03	46.18	43.94
PTPN18	642.59	902.89	1295.13	1781.89	1350.18	1498.22	1037.29	909.17	759.08	1417.35	808.0	921.88	1909.85	753.83	1277.29	1159.07	1457.23	1044.52	954.43	1242.34	1447.15	1295.13	1295.13	1617.0	149.12	273.37	748.61	612.11	518.15	536.45	460.44	0.0	0.44	438.59	143.01	909.17
PYROXD2	146.03	139.07	120.1	329.84	153.34	190.34	122.64	150.17	37.32	312.0	117.6	115.97	255.0	87.65	166.73	45.21	260.38	167.9	98.04	229.72	65.72	713.11	486.75	642.59	42.71	15.56	38.95	334.46	139.07	45.21	81.14	0.0	0.57	30.78	64.8	122.64
RABL2A	147.06	211.31	447.82	339.14	291.04	444.72	361.04	273.37	147.06	497.0	186.4	193.01	620.67	167.9	279.14	279.14	480.04	314.17	218.79	293.07	256.78	603.67	323.03	312.0	42.11	34.02	135.24	117.6	63.45	83.45	102.25	0.0	0.13	190.34	35.76	232.94
SECISBP2	336.79	327.56	656.11	830.75	473.41	791.35	825.0	785.88	336.79	775.05	314.17	412.0	842.36	409.15	665.29	567.1	860.08	503.95	555.41	575.03	567.1	1001.93	748.61	473.41	329.84	244.57	265.87	301.33	297.17	237.86	251.48	0.0	0.88	211.31	112.77	447.82
SEPN1	1015.93	1529.73	1572.76	1991.0	2133.97	1870.53	1498.22	1936.53	1651.0	2032.85	1208.34	1378.57	1685.71	1583.71	1674.06	995.0	1674.06	1457.23	1870.53	2537.92	1685.71	1268.46	2178.83	1733.13	281.09	1225.22	1277.29	1457.23	1651.0	1159.07	967.76	0.0	0.74	1331.57	125.24	1457.23
SIRT3	384.34	397.93	718.08	780.44	441.64	551.56	674.59	447.82	281.09	915.51	480.04	429.54	947.83	348.71	738.29	265.87	1304.15	293.07	563.18	688.78	483.38	1295.13	1023.0	423.61	171.45	162.14	299.25	518.15	236.21	194.36	309.83	0.0	0.35	187.71	176.29	368.65
SLC27A1	371.22	409.15	780.44	432.53	420.68	444.72	1088.92	466.88	332.14	1233.75	409.15	435.55	693.58	387.02	450.94	267.73	819.3	273.37	438.59	688.78	255.0	995.0	713.11	511.0	120.94	149.12	351.14	447.82	211.31	180.02	170.25	223.41	665.29	70.01	55.89	423.61
SLC35E2B	175.07	417.77	1467.37	1135.2	529.06	1322.37	595.34	947.83	376.41	1008.9	332.14	543.96	1081.39	285.03	836.53	307.69	1059.11	409.15	693.58	638.15	417.77	1674.06	579.04	514.56	119.26	82.29	395.18	197.09	426.57	303.44	138.1	0.0	0.68	111.99	43.02	595.34
SSH3	289.02	1508.65	1277.29	1350.18	620.67	1277.29	1135.2	551.56	476.71	995.0	698.41	1008.9	1378.57	417.77	1191.69	878.17	1397.83	915.51	713.11	743.43	802.41	1030.12	466.88	620.67	414.87	642.59	146.03	559.28	825.0	723.08	669.92	0.0	0.85	312.0	540.19	567.1
TBC1D13	224.97	323.03	638.15	656.11	351.14	514.56	483.38	579.04	356.05	525.39	154.42	521.76	547.75	406.31	409.15	353.59	791.35	242.88	435.55	441.64	351.14	813.63	723.08	287.01	139.07	182.55	409.15	289.02	463.65	224.97	236.21	130.6	102.25	164.42	81.14	343.89
TBC1D9B	1066.48	1322.37	1923.14	1870.53	1844.76	2032.85	1745.2	1685.71	1388.16	2163.77	1651.0	1617.0	1870.53	1457.23	1519.15	1467.37	2163.77	1350.18	1674.06	1991.0	1407.55	1870.53	2537.92	1617.0	669.92	1104.13	1135.2	1066.48	915.51	1044.52	1359.57	620.67	555.41	698.41	218.79	1388.16
TRMT10B	85.22	117.6	211.31	249.73	134.3	212.78	265.87	183.82	94.01	255.0	57.89	149.12	269.6	102.97	205.5	108.9	205.5	123.5	148.09	158.79	182.55	305.55	158.79	171.45	45.53	50.63	30.78	102.25	62.12	57.89	73.03	0.0	0.48	57.89	64.34	113.56
TSHZ1	125.24	234.57	387.02	312.0	269.6	403.5	283.05	432.53	329.84	332.14	151.22	329.84	376.41	191.67	223.41	176.29	242.88	162.14	339.14	262.2	265.87	674.59	267.73	1685.71	41.52	79.45	156.59	69.52	202.66	118.43	182.55	104.42	78.34	56.28	19.53	191.67
TSSK6	8.99	22.26	48.87	31.45	12.55	36.53	99.43	22.75	10.96	36.79	17.38	26.67	61.68	18.29	50.63	8.92	86.43	31.0	31.9	36.27	12.64	33.54	13.03	16.51	1.01	4.21	8.51	15.34	25.17	8.99	10.0	0.0	0.0	3.47	3.08	21.32
UNKL	68.55	202.66	423.61	295.11	144.01	323.03	361.04	320.8	97.36	540.19	119.26	226.54	563.18	166.73	480.04	208.38	435.55	521.76	246.28	281.09	126.12	591.22	241.19	260.38	73.54	96.01	105.15	105.89	140.04	113.56	85.82	0.0	0.73	87.65	94.01	201.25
USP19	269.6	555.41	909.17	872.1	441.64	780.44	934.76	703.28	389.72	825.0	429.54	507.46	915.51	551.56	708.18	353.59	1008.9	480.04	808.0	651.58	591.22	1268.46	775.05	791.35	195.72	256.78	279.14	299.25	525.39	454.09	348.71	0.0	0.17	295.11	104.42	665.29
VMAC	46.84	84.04	136.19	123.5	84.04	154.42	241.19	85.22	59.55	156.59	101.54	104.42	151.22	67.12	102.97	67.59	175.07	167.9	127.0	84.04	95.34	123.5	138.1	108.14	11.13	21.78	59.55	59.13	49.21	40.64	34.75	51.71	197.09	19.68	30.34	52.08
XPC	343.89	463.65	785.88	775.05	450.94	665.29	688.78	684.02	336.79	808.0	444.72	511.0	848.22	633.73	669.92	417.77	785.88	339.14	651.58	591.22	571.05	954.43	397.93	620.67	108.9	189.02	239.52	251.48	356.05	301.33	244.57	0.0	0.65	181.28	60.82	511.0
ZADH2	220.32	341.51	532.74	665.29	348.71	642.59	500.46	599.49	371.22	423.61	463.65	511.0	612.11	258.57	417.77	234.57	543.96	318.57	521.76	412.0	384.34	1030.12	500.46	698.41	103.69	142.01	167.9	71.0	303.44	191.67	279.14	223.41	129.69	164.42	151.22	297.17
ZBTB22	301.33	457.25	473.41	438.59	244.57	567.1	599.49	420.68	339.14	429.54	206.94	387.02	567.1	406.31	392.44	215.77	525.39	251.48	389.72	432.53	403.5	669.92	486.75	684.02	236.21	193.01	473.41	395.18	454.09	234.57	361.04	0.0	0.25	191.67	112.77	318.57
ZNF266	147.06	269.6	547.75	387.02	244.57	595.34	848.22	420.68	229.72	587.13	78.34	336.79	647.07	438.59	341.51	190.34	493.56	450.94	283.05	460.44	356.05	785.88	518.15	195.72	132.44	129.69	269.6	164.42	251.48	246.28	212.78	0.0	0.6	140.04	141.02	323.03
ZNF431	74.58	151.22	224.97	253.23	161.02	241.19	563.18	246.28	177.53	253.23	78.89	172.65	215.77	187.71	236.21	145.02	256.78	232.94	205.5	251.48	223.41	447.82	234.57	167.9	122.64	182.55	72.01	141.02	128.79	85.22	143.01	0.0	0.78	49.21	12.83	262.2
ZNF446	139.07	239.52	403.5	376.41	275.28	303.44	432.53	264.03	187.71	305.55	285.03	231.32	371.22	202.66	376.41	189.02	470.14	265.87	256.78	400.71	208.38	291.04	244.57	312.0	36.79	72.01	224.97	198.47	195.72	111.99	105.15	0.0	0.41	108.9	47.84	177.53
ZNF497	2.78	21.47	108.9	141.02	31.0	88.26	131.51	55.89	22.92	90.14	29.27	61.68	92.05	23.25	90.77	24.99	180.02	41.81	60.82	80.57	30.78	78.34	54.72	78.89	3.03	3.69	84.63	16.88	15.34	16.63	9.41	0.0	0.13	11.21	5.15	23.76
ZNF516	149.12	176.29	255.0	253.23	102.25	283.05	199.85	287.01	85.22	234.57	137.14	132.44	255.0	175.07	182.55	84.04	281.09	80.01	164.42	269.6	156.59	185.11	157.68	1359.57	54.72	105.15	61.68	78.89	84.63	90.14	75.64	0.0	0.54	76.71	32.36	161.02
ZNF76	305.55	339.14	764.36	775.05	366.09	684.02	647.07	511.0	327.56	688.78	220.32	312.0	878.17	341.51	532.74	277.2	791.35	351.14	470.14	466.88	444.72	728.11	567.1	490.14	139.07	123.5	318.57	387.02	323.03	182.55	165.57	0.0	0.78	295.11	239.52	376.41
ZNF835	6.94	40.93	65.72	69.52	22.92	45.21	111.99	39.22	15.0	34.51	5.59	21.16	39.5	32.36	69.03	18.84	46.5	22.26	40.07	13.12	26.86	97.36	38.67	138.1	2.68	1.99	1.89	7.88	14.67	8.25	3.82	0.0	0.0	0.96	0.56	11.82
ZNF862	51.35	139.07	291.04	287.01	113.56	343.89	241.19	267.73	85.22	373.81	76.17	197.09	351.14	161.02	269.6	105.15	336.79	150.17	206.94	320.8	146.03	547.75	175.07	176.29	14.56	45.85	63.89	127.0	64.34	50.98	43.32	0.0	0.61	82.29	16.51	163.28
ZSCAN18	928.3	1127.35	1617.0	1605.83	1127.35	1378.57	1407.55	1119.56	532.74	1498.22	571.05	854.13	1286.18	599.49	1242.34	1340.84	2367.9	612.11	934.76	1605.83	928.3	2133.97	941.27	3564.78	59.55	129.69	921.88	497.0	813.63	258.57	167.9	0.0	0.92	409.15	13.22	397.93
