	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.D6.6826.01A.11R.1915.07	TCGA.KU.A66T.01A.11R.A30B.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.05.4434.01A.01R.1206.07	TCGA.22.1016.01A.01R.0692.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.22.4596.01A.01R.1201.07	TCGA.60.2715.01A.01R.0851.07	TCGA.60.2725.01A.01R.1201.07
PYDC1	7.11	1.35	82.87	14.35	0.0	0.0	0.0	0.0	0.0	0.0	27.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	1.08	2.16	4.46	559.28
RAB21	1119.56	3212.66	3124.78	1143.1	387.02	287.01	591.22	457.25	1023.0	563.18	397.93	802.41	435.55	656.11	363.56	633.73	532.74	429.54	860.08	1216.75	1233.75	753.83	902.89	1594.73
RAB6A	1617.0	2367.9	6471.02	2468.49	848.22	363.56	1447.15	1059.11	1111.82	1286.18	902.89	1216.75	1143.1	1242.34	1066.48	974.5	1119.56	1081.39	1583.71	1909.85	1709.26	1697.45	1909.85	1268.46
RAD51AP1	1073.91	237.86	684.02	194.36	5.06	6.78	27.05	36.27	10.88	58.71	10.63	34.02	9.78	5.68	12.0	0.57	7.82	13.22	361.04	514.56	318.57	147.06	171.45	518.15
RAP1GDS1	423.61	1242.34	500.46	551.56	232.94	194.36	346.29	314.17	218.79	336.79	336.79	417.77	224.97	412.0	289.02	241.19	376.41	500.46	444.72	432.53	417.77	738.29	511.0	669.92
RDH10	351.14	1191.69	4450.27	642.59	511.0	476.71	441.64	603.67	293.07	902.89	500.46	536.45	426.57	466.88	514.56	674.59	567.1	514.56	708.18	579.04	1295.13	1183.45	638.15	674.59
RGS20	118.43	260.38	1832.01	75.64	0.0	0.0	0.0	0.79	0.0	0.0	1.83	0.0	0.0	1.5	4.74	0.88	0.0	0.67	201.25	9.63	285.03	98.04	17.64	32.82
RPL36	20881.4	18431.96	81244.48	21768.19	16157.44	15499.21	11827.67	18689.27	11664.82	12244.81	16045.82	13033.07	9945.68	18950.18	21172.91	13399.51	17197.56	10368.08	20310.37	19618.49	16269.83	30151.71	23330.64	21468.49
RWDD4	708.18	507.46	454.09	476.71	228.13	180.02	381.68	237.86	457.25	323.03	229.72	320.8	231.32	381.68	262.2	156.59	186.4	307.69	343.89	466.88	607.87	503.95	450.94	616.37
SCLT1	220.32	187.71	165.57	134.3	15.22	9.63	28.86	29.7	29.7	40.64	20.26	42.11	42.11	23.93	16.27	32.13	22.92	28.04	92.7	144.01	131.51	115.16	111.99	205.5
SMARCAD1	262.2	379.04	182.55	376.41	94.01	34.26	80.01	92.05	64.8	110.43	105.15	112.77	90.77	195.72	138.1	18.43	105.15	77.25	239.52	281.09	172.65	271.48	289.02	521.76
SP8	7.51	0.37	54.33	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	11.13	3.63	43.63	3.06	21.47
SREK1	1066.48	848.22	1359.57	878.17	214.27	66.65	264.03	356.05	583.07	358.54	307.69	279.14	297.17	389.72	409.15	83.45	379.04	236.21	647.07	769.69	728.11	540.19	607.87	507.46
SRGAP1	113.56	177.53	327.56	59.97	1.99	8.0	4.43	10.96	6.84	13.93	22.26	10.0	19.25	8.58	2.2	5.02	27.25	4.78	81.14	104.42	194.36	40.07	91.41	87.03
SRP72	902.89	3103.19	1572.76	1745.2	555.41	450.94	1477.58	890.44	1594.73	902.89	1037.29	1037.29	733.19	1540.37	1073.91	599.49	842.36	616.37	1583.71	1769.57	1369.04	2240.11	2537.92	1709.26
TAF1A	271.48	228.13	175.07	144.01	17.38	15.68	64.8	21.78	63.89	35.5	50.27	35.0	15.8	56.28	42.71	11.91	35.25	38.12	132.44	275.28	146.03	156.59	135.24	181.28
TBCE	703.28	444.72	1417.35	457.25	279.14	205.5	255.0	316.37	256.78	239.52	149.12	325.29	309.83	162.14	381.68	131.51	267.73	237.86	426.57	595.34	417.77	450.94	397.93	583.07
TBK1	684.02	426.57	1437.15	363.56	206.94	65.72	256.78	248.0	361.04	226.54	175.07	346.29	229.72	220.32	132.44	153.34	255.0	293.07	454.09	366.09	361.04	384.34	348.71	473.41
TMA16	909.17	708.18	460.44	476.71	140.04	140.04	279.14	256.78	248.0	234.57	201.25	343.89	208.38	264.03	239.52	94.01	255.0	193.01	454.09	358.54	1096.5	490.14	633.73	698.41
TMEM5	334.46	514.56	1806.78	293.07	204.07	163.28	392.44	204.07	346.29	221.86	273.37	221.86	178.77	400.71	273.37	149.12	234.57	256.78	361.04	444.72	532.74	420.68	366.09	384.34
TMEM52B	36.01	29.06	368.65	3.63	0.0	0.0	0.0	0.0	0.89	62.12	0.0	0.84	0.0	0.0	0.82	0.0	3.69	0.0	34.02	52.82	6.16	29.48	20.86	148.09
TNFRSF8	21.32	17.38	120.94	40.07	0.88	1.71	14.14	5.23	2.43	5.11	7.94	7.34	0.87	1.64	3.03	2.68	4.17	3.89	107.38	37.59	32.59	44.25	53.19	35.0
TOP2A	3303.0	1322.37	2335.28	1427.22	29.48	2.07	66.18	38.95	18.29	71.0	18.56	10.55	10.39	0.0	2.89	11.21	17.9	38.95	1183.45	981.29	1340.84	490.14	1044.52	1427.22
TRAPPC11	551.56	420.68	301.33	384.34	239.52	146.03	218.79	217.27	148.09	221.86	236.21	231.32	157.68	248.0	209.84	142.01	231.32	283.05	295.11	457.25	447.82	403.5	366.09	414.87
TRAPPC13	281.09	249.73	748.61	314.17	115.16	84.63	209.84	244.57	215.77	226.54	244.57	305.55	197.09	234.57	144.01	111.99	231.32	206.94	314.17	305.55	314.17	371.22	279.14	409.15
TREM1	353.59	988.12	5791.62	612.11	21.78	31.0	22.92	16.15	6.57	15.11	0.0	69.03	41.81	16.51	33.06	100.83	16.63	7.46	836.53	808.0	1001.93	2047.0	1322.37	1313.23
TRIM23	164.42	148.09	199.85	140.04	70.01	35.76	64.34	95.34	50.63	100.13	106.63	92.7	82.87	87.03	86.43	59.97	129.69	92.7	87.03	111.21	115.16	146.03	105.15	78.34
USP15	1225.22	1199.98	3443.31	974.5	647.07	177.53	497.0	708.18	486.75	480.04	647.07	543.96	802.41	536.45	603.67	738.29	656.11	532.74	1088.92	967.76	842.36	921.88	723.08	988.12
VAPA	4671.57	4450.27	5594.3	4010.71	1950.0	1844.76	2855.44	2434.5	3491.39	2591.27	2555.58	2997.45	2468.49	2997.45	2018.8	2163.77	2835.7	2520.38	3982.99	4181.07	3901.01	4181.07	3742.05	4639.29
WHSC1L1	941.27	819.3	4836.35	514.56	156.59	86.43	131.51	134.3	140.04	189.02	147.06	156.59	221.86	180.02	150.17	114.36	228.13	138.1	620.67	656.11	915.51	693.58	688.78	1111.82
XPOT	1350.18	1583.71	4639.29	954.43	195.72	166.73	447.82	295.11	423.61	728.11	346.29	389.72	241.19	500.46	363.56	148.09	202.66	327.56	947.83	1044.52	1883.54	909.17	988.12	1572.76
ZBTB24	121.79	99.43	107.38	110.43	24.28	17.77	37.32	59.13	36.01	32.13	35.76	53.95	23.76	72.52	31.9	11.3	35.0	25.72	65.72	76.17	103.69	87.03	96.68	158.79
ZBTB32	52.08	15.11	785.88	38.4	0.0	0.0	0.39	5.02	1.04	0.0	1.28	0.62	3.99	2.12	0.6	1.58	0.0	1.28	34.75	27.25	20.71	28.65	39.79	35.25
