	TCGA.IZ.8196.01A.11R.2404.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.DZ.6132.11A.01R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.CH.5771.01A.21R.1580.07	GTEX.11TT1.1126.SM.5P9GV
CALCR	46.18	6.01	53.19	43.94	64.34	130.6	76.71	10.16	33.78	21.78	0.0	1.58	1.64	4.21	4.17	1.69	1.68	0.0	1.68	4.46	0.0	1.31	0.0	1.23	0.0
CDC42BPB	2319.15	1427.22	2627.46	2271.4	2224.63	2609.3	1819.35	1437.15	1674.06	1457.23	660.68	397.93	387.02	454.09	607.87	567.1	575.03	460.44	579.04	633.73	444.72	497.0	0.0	1127.35	743.43
CDC42BPG	1001.93	785.88	1015.93	599.49	665.29	603.67	860.08	229.72	575.03	202.66	53.95	24.46	0.87	16.15	33.3	12.09	51.35	2.97	14.78	27.25	8.99	3.82	0.0	220.32	159.9
CDH22	99.43	277.2	251.48	500.46	371.22	348.71	486.75	8.19	199.85	22.26	0.8	0.0	0.0	0.0	6.73	0.89	6.73	0.79	0.0	7.34	0.0	0.0	0.0	89.51	1.22
CTTNBP2NL	665.29	579.04	563.18	656.11	629.35	547.75	476.71	356.05	320.8	371.22	241.19	34.26	56.68	54.72	98.73	53.57	38.95	30.56	64.34	69.52	36.53	39.5	0.0	223.41	166.73
EDIL3	1806.78	1427.22	1088.92	2133.97	1896.65	1208.34	1757.34	607.87	1208.34	397.93	20.86	1.66	29.27	3.0	46.18	2.39	12.18	2.2	14.56	9.7	4.24	3.32	1167.14	112.77	98.73
EFNB2	1819.35	1175.27	1857.6	1199.98	1199.98	1044.52	1295.13	764.36	384.34	579.04	267.73	178.77	55.89	165.57	97.36	77.25	97.36	81.14	94.01	91.41	241.19	63.0	0.0	769.69	271.48
EPN2	1037.29	1044.52	981.29	1104.13	947.83	1037.29	1159.07	660.68	718.08	490.14	379.04	104.42	150.17	148.09	248.0	107.38	287.01	102.25	133.36	253.23	189.02	109.66	0.0	723.08	426.57
EVC	4152.18	1001.93	3928.15	3280.18	3325.99	4358.66	2367.9	1199.98	1044.52	620.67	53.57	24.11	23.59	48.18	206.94	15.68	112.77	44.25	57.08	52.08	4.54	20.86	0.0	215.77	205.5
EVC2	236.21	147.06	211.31	218.79	194.36	295.11	197.09	164.42	144.01	72.52	32.59	0.82	7.63	9.85	30.56	1.89	7.94	5.02	8.78	5.32	0.32	6.62	0.0	63.45	83.45
EXOC7	2591.27	2485.67	3039.3	3039.3	2367.9	3168.41	3039.3	2271.4	3372.43	1628.26	921.88	764.36	575.03	536.45	961.07	656.11	848.22	693.58	769.69	941.27	723.08	802.41	0.0	1844.76	1388.16
FUT11	1051.79	1059.11	1143.1	718.08	796.86	708.18	848.22	633.73	612.11	555.41	208.38	124.37	87.03	98.73	135.24	111.99	170.25	54.72	91.41	134.3	132.44	91.41	0.0	363.56	358.54
GGTLC2	103.69	132.44	124.37	111.99	85.22	6.26	127.0	74.58	76.71	25.35	4.39	5.23	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	6.11
GPATCH8	514.56	392.44	532.74	543.96	511.0	483.38	486.75	429.54	426.57	281.09	178.77	72.01	131.51	78.89	149.12	114.36	191.67	77.25	70.01	102.25	88.26	69.03	0.0	236.21	285.03
GRB2	2664.15	2485.67	2303.12	2502.97	2104.58	2004.85	2032.85	2090.03	1662.49	1662.49	1023.0	1286.18	1151.06	1407.55	1044.52	1044.52	967.76	1081.39	1044.52	836.53	1159.07	1059.11	1225.22	1233.75	1378.57
GTF2IRD1	890.44	947.83	947.83	1015.93	656.11	728.11	854.13	813.63	860.08	629.35	104.42	42.71	49.21	122.64	37.05	132.44	44.25	76.71	72.01	133.36	99.43	87.03	0.0	460.44	651.58
HABP4	511.0	579.04	665.29	483.38	312.0	651.58	660.68	361.04	441.64	607.87	186.4	185.11	145.02	124.37	108.14	88.26	126.12	110.43	90.14	71.5	142.01	167.9	0.0	318.57	379.04
HES1	2451.44	5366.37	3901.01	2004.85	2956.17	3168.41	5751.61	1685.71	3564.78	1340.84	2627.46	1111.82	769.69	974.5	444.72	476.71	403.5	642.59	218.79	532.74	1135.2	435.55	507.46	1936.53	2520.38
HOXB2	190.34	450.94	842.36	486.75	1143.1	642.59	780.44	551.56	769.69	417.77	87.03	13.03	12.18	17.25	68.07	32.82	40.36	15.34	12.18	52.82	47.5	105.89	0.0	80.57	45.53
JAG1	2255.7	791.35	1233.75	1199.98	1111.82	1594.73	1119.56	698.41	540.19	728.11	769.69	98.73	91.41	61.25	323.03	40.64	87.03	43.94	68.55	122.64	47.17	52.45	0.0	679.29	397.93
JUP	4358.66	5954.47	7032.37	7749.1	8598.28	8078.22	7485.11	4802.93	5112.16	6516.03	2816.11	1896.65	813.63	1769.57	2240.11	2537.92	3235.01	1794.29	2777.33	2701.35	2209.26	1583.71	0.0	4066.71	1991.0
KBTBD2	791.35	620.67	728.11	642.59	563.18	607.87	743.43	748.61	684.02	423.61	409.15	285.03	325.29	371.22	283.05	264.03	237.86	251.48	169.07	260.38	303.44	190.34	0.0	417.77	480.04
KL	1322.37	1167.14	1268.46	599.49	346.29	995.0	743.43	651.58	500.46	633.73	13.42	5.82	13.83	5.15	4.13	7.28	10.63	1.35	6.11	7.63	16.75	71.5	0.0	45.85	20.41
KLF6	4512.4	10659.59	6121.9	5672.41	6792.79	4152.18	10154.69	2417.67	3124.78	1832.01	2047.0	967.76	1250.98	2816.11	785.88	660.68	1191.69	1757.34	1259.69	1001.93	1467.37	633.73	1447.15	1467.37	1551.09
LCMT2	389.72	185.11	232.94	358.54	351.14	346.29	260.38	237.86	376.41	221.86	110.43	154.42	122.64	139.07	105.89	91.41	130.6	98.73	105.15	105.15	95.34	110.43	0.0	197.09	214.27
LMTK3	73.03	150.17	156.59	119.26	111.21	127.0	229.72	71.0	244.57	31.67	14.03	0.75	1.5	0.89	2.41	0.89	5.63	0.74	0.27	1.0	1.85	2.18	46.84	68.07	31.45
MAPK7	400.71	403.5	473.41	567.1	466.88	547.75	490.14	463.65	463.65	395.18	140.04	142.01	66.65	77.25	91.41	86.43	114.36	80.57	85.22	92.05	105.15	78.89	0.0	351.14	325.29
MED9	529.06	567.1	571.05	525.39	595.34	563.18	514.56	620.67	511.0	426.57	215.77	198.47	135.24	236.21	212.78	186.4	258.57	178.77	197.09	171.45	244.57	258.57	0.0	429.54	518.15
MIDN	3124.78	4095.0	3060.45	2976.74	3467.27	4543.8	4152.18	1519.15	5041.77	1437.15	848.22	674.59	171.45	1561.89	332.14	316.37	457.25	406.31	426.57	409.15	420.68	289.02	909.17	1674.06	1844.76
N4BP3	135.24	65.26	146.03	85.82	61.25	153.34	75.11	45.21	70.01	65.26	8.85	1.57	1.64	1.71	3.53	1.71	4.58	0.82	0.89	0.97	0.13	1.25	0.0	40.93	37.05
NDEL1	813.63	1023.0	1059.11	921.88	830.75	902.89	928.3	698.41	921.88	514.56	642.59	457.25	429.54	414.87	555.41	397.93	595.34	384.34	392.44	599.49	444.72	435.55	0.0	688.78	514.56
NFE2L1	7382.04	6207.38	7749.1	8022.41	8134.41	7331.05	6250.56	5594.3	5255.91	4639.29	2682.69	1295.13	1572.76	2537.92	3081.75	3419.52	2835.7	2915.45	3395.89	3325.99	2367.9	2104.58	0.0	2855.44	3190.46
NHS	248.0	167.9	214.27	169.07	205.5	134.3	181.28	114.36	151.22	125.24	7.34	1.51	2.18	2.29	9.78	0.56	3.66	0.47	2.94	3.96	2.41	1.13	0.0	32.82	119.26
NUDCD3	3235.01	1991.0	2502.97	2855.44	2400.97	1870.53	1685.71	2351.53	2004.85	1519.15	909.17	406.31	693.58	500.46	1268.46	603.67	842.36	1066.48	902.89	748.61	571.05	708.18	0.0	1977.24	1175.27
ODC1	12502.12	8305.36	9088.59	7911.95	7803.01	9474.59	13033.07	6294.04	5831.91	2209.26	679.29	1023.0	981.29	1721.16	457.25	532.74	713.11	813.63	679.29	476.71	417.77	379.04	0.0	3081.75	2502.97
PACS2	981.29	1051.79	1037.29	1008.9	1127.35	1286.18	1250.98	1233.75	1322.37	995.0	358.54	159.9	87.65	169.07	258.57	194.36	202.66	234.57	181.28	262.2	301.33	171.45	0.0	928.3	759.08
PCDHA10	10.79	303.44	7.57	297.17	208.38	9.56	353.59	5.5	100.13	42.11	7.22	0.0	0.0	18.43	0.0	2.73	0.0	0.0	0.0	0.0	2.41	0.0	0.0	4.9	75.64
PCDHA6	15.22	7.11	119.26	81.14	70.51	27.64	4.43	52.08	4.24	40.64	2.81	0.0	0.0	0.0	0.0	0.0	0.0	2.81	1.25	0.0	0.0	0.0	0.0	6.26	8.99
PCDHB3	24.99	234.57	85.82	325.29	291.04	159.9	49.56	4.28	13.83	49.56	28.24	2.61	1.55	5.68	2.76	0.0	2.78	3.82	4.1	7.75	4.74	6.78	0.0	30.12	23.59
PDGFA	4607.24	2090.03	3540.14	2335.28	1651.0	7032.37	3955.48	2895.31	4419.52	718.08	143.01	45.21	42.41	75.11	102.25	50.98	42.71	31.22	50.27	37.59	29.91	20.11	232.94	947.83	318.57
PDGFD	915.51	872.1	1081.39	759.08	559.28	1407.55	1242.34	555.41	412.0	193.01	182.55	17.25	98.04	41.22	90.77	22.26	48.52	12.27	49.91	62.56	34.02	20.86	0.0	143.01	124.37
PKP4	3928.15	2609.3	3395.89	1991.0	2451.44	2701.35	3443.31	2148.82	1963.57	1651.0	536.45	236.21	287.01	291.04	638.15	373.81	351.14	620.67	376.41	674.59	381.68	389.72	325.29	703.28	884.29
PLXNA3	559.28	435.55	480.04	384.34	521.76	603.67	571.05	373.81	389.72	214.27	124.37	57.08	31.9	28.65	120.1	14.67	89.51	16.88	32.59	59.13	53.57	8.0	0.0	466.88	265.87
PPP1R9B	1059.11	1023.0	1208.34	1096.5	1242.34	1127.35	1183.45	921.88	1242.34	890.44	651.58	211.31	96.01	248.0	285.03	358.54	182.55	171.45	373.81	358.54	244.57	246.28	0.0	595.34	733.19
PRICKLE1	1030.12	775.05	1674.06	1268.46	748.61	674.59	780.44	444.72	277.2	351.14	305.55	22.92	52.45	12.09	57.89	48.18	108.9	7.57	37.59	57.08	29.7	17.77	0.0	100.83	90.77
PROB1	64.8	50.63	60.82	78.34	74.58	74.06	61.25	25.72	42.11	59.55	13.03	21.94	3.86	5.5	5.96	9.27	12.64	1.97	4.94	19.25	10.88	7.11	0.0	48.18	40.64
RAI2	896.64	1250.98	1583.71	1073.91	1183.45	1268.46	1359.57	775.05	954.43	708.18	295.11	16.03	63.89	110.43	109.66	77.79	101.54	24.28	48.52	69.03	66.65	31.9	0.0	540.19	279.14
RASA3	420.68	212.78	497.0	591.22	466.88	400.71	336.79	295.11	351.14	295.11	351.14	66.18	17.9	115.97	82.87	94.67	50.98	81.71	49.21	116.78	86.43	31.9	0.0	236.21	318.57
RFX2	191.67	305.55	301.33	305.55	208.38	264.03	241.19	180.02	271.48	94.67	65.72	47.5	24.11	81.71	60.82	25.72	18.43	21.47	26.86	38.12	44.25	27.64	0.0	127.89	121.79
RHOXF1	1.39	34.26	30.78	7.94	19.82	49.56	49.56	83.45	41.81	16.15	0.16	0.88	0.47	0.2	3.17	0.0	2.51	1.01	0.0	2.34	2.66	2.86	0.0	7.69	7.4
RP1-66C13.4	22.26	9.93	7.57	10.31	6.84	7.46	12.36	6.46	7.46	4.03	83.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.0
RP11-210M15.2	159.9	55.49	99.43	115.97	80.01	81.71	68.55	61.25	35.76	61.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.91	39.5
RP11-849F2.7	14.03	10.55	10.0	15.0	15.56	17.9	10.16	10.96	9.41	9.78	0.78	2.53	2.16	1.3	0.82	0.0	2.2	0.0	3.59	5.23	0.0	0.0	0.0	3.69	1.75
SCIN	5594.3	5954.47	3665.02	4152.18	4358.66	6207.38	5183.54	4543.8	5751.61	1662.49	4.13	3.08	4.24	0.0	12.36	2.29	13.93	0.48	18.7	2.41	0.0	1.75	0.0	89.51	77.79
SMAD7	825.0	651.58	1437.15	629.35	583.07	1023.0	1417.35	503.95	429.54	483.38	551.56	107.38	193.01	84.04	180.02	177.53	143.01	115.97	86.43	297.17	262.2	111.21	169.07	559.28	450.94
SPHK1	866.07	764.36	1639.59	454.09	447.82	607.87	688.78	400.71	759.08	323.03	381.68	24.11	6.62	80.57	65.26	21.47	39.22	10.71	18.56	49.91	23.76	3.29	0.0	183.82	339.14
SPOCK2	2119.22	1721.16	3303.0	3235.01	2485.67	2609.3	5041.77	463.65	1378.57	1896.65	373.81	61.25	47.5	83.45	100.83	57.08	73.03	42.71	66.65	45.85	67.59	18.43	0.0	253.23	368.65
STK32B	559.28	371.22	483.38	387.02	181.28	486.75	511.0	470.14	368.65	271.48	5.82	4.5	3.38	11.38	9.41	1.3	4.82	4.46	2.32	0.0	1.07	0.95	0.0	11.82	33.3
SUN1	6079.61	3491.39	4450.27	4298.64	2976.74	4388.98	3768.09	4543.8	4869.99	1359.57	775.05	490.14	395.18	423.61	633.73	532.74	457.25	466.88	463.65	684.02	497.0	397.93	1359.57	1096.5	1572.76
THSD7A	189.02	119.26	178.77	204.07	214.27	221.86	138.1	120.1	220.32	139.07	13.72	8.58	19.53	4.06	17.38	5.87	16.51	20.41	7.11	7.69	1.93	5.15	6.11	28.45	117.6
TMSB15B	111.99	131.51	156.59	239.52	113.56	152.28	161.02	87.03	87.03	72.52	22.59	0.0	12.18	1.66	15.91	11.3	16.63	0.0	4.62	16.15	3.44	1.17	0.0	77.79	25.17
TNRC18	2032.85	1151.06	2047.0	1447.15	2075.59	1551.09	1794.29	928.3	1605.83	928.3	723.08	438.59	136.19	334.46	332.14	599.49	536.45	299.25	642.59	591.22	161.02	327.56	543.96	1437.15	1167.14
TOB1	4010.71	6294.04	6840.04	3443.31	3665.02	3325.99	4512.4	2956.17	7966.99	1457.23	2645.74	1001.93	2004.85	647.07	2758.13	2627.46	3060.45	1350.18	1457.23	1651.0	2367.9	2627.46	384.34	2004.85	1572.76
TRIM65	444.72	473.41	629.35	529.06	444.72	575.03	429.54	457.25	470.14	307.69	121.79	102.25	60.82	34.51	90.14	89.51	89.51	59.55	86.43	66.65	173.85	64.8	0.0	327.56	312.0
TTC5	320.8	297.17	507.46	314.17	323.03	246.28	291.04	260.38	199.85	234.57	162.14	82.87	96.01	17.9	80.57	77.25	71.5	92.05	96.68	59.55	66.18	49.91	0.0	258.57	267.73
UBE2Q1	1561.89	1870.53	2018.8	1605.83	1447.15	1832.01	1936.53	1733.13	1950.0	1143.1	1143.1	1417.35	830.75	934.76	1051.79	1066.48	1023.0	1066.48	1023.0	890.44	684.02	1023.0	0.0	1175.27	1340.84
USP42	299.25	133.36	208.38	229.72	232.94	251.48	220.32	215.77	239.52	133.36	66.65	76.17	72.52	60.39	51.35	41.81	69.03	59.55	37.59	59.13	44.57	45.53	69.52	146.03	128.79
VGLL4	3257.52	2104.58	3146.52	2303.12	2287.2	2335.28	2701.35	1963.57	2502.97	1397.83	480.04	137.14	157.68	139.07	269.6	229.72	217.27	122.64	211.31	165.57	153.34	180.02	0.0	941.27	1286.18
WIPF2	669.92	406.31	575.03	599.49	642.59	518.15	395.18	514.56	341.51	429.54	176.29	113.56	110.43	115.97	159.9	126.12	265.87	92.7	180.02	87.65	115.97	195.72	204.07	343.89	293.07
YPEL1	93.35	84.63	132.44	127.0	95.34	157.68	155.5	106.63	87.65	44.25	81.14	40.07	13.52	30.56	50.98	62.12	35.76	73.54	39.5	59.55	37.85	29.7	0.0	104.42	38.12
ZMIZ1	1857.6	1104.13	2075.59	1870.53	1651.0	1467.37	1457.23	872.1	872.1	1151.06	493.56	366.09	224.97	323.03	178.77	165.57	185.11	198.47	182.55	183.82	177.53	82.87	224.97	921.88	1457.23
ZNF624	98.04	37.32	65.26	111.21	99.43	88.88	51.71	70.51	43.94	66.65	30.12	21.78	23.25	4.78	14.67	21.63	4.74	6.78	21.47	24.46	9.06	6.62	0.0	29.91	52.08
