	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.DD.AAE2.01A.11R.A41C.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.A4NI.01A.11R.A27V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	GTEX.13NZ9.1126.SM.5MR37
PSKH1	368.65	323.03	389.72	269.6	642.59	909.17	387.02	318.57	376.41	299.25	567.1	366.09	343.89	248.0	723.08	486.75	249.73	36.79	138.1	68.55	87.65	104.42	76.71	305.55	206.94	260.38	138.1	88.88	91.41	102.25	201.25	130.6	95.34	64.8	74.06	96.68	142.01	217.27	371.22	269.6	575.03
PSPN	11.64	15.0	27.05	20.26	26.67	26.86	32.36	13.83	22.26	41.81	42.11	29.91	12.09	25.17	29.27	20.71	27.64	10.08	13.52	10.47	8.38	5.11	16.03	32.82	10.16	19.97	18.7	14.67	8.65	8.65	18.16	5.59	7.94	6.89	10.96	7.69	12.74	23.93	45.21	48.18	64.34
RNF31	1030.12	1030.12	1119.56	1059.11	1216.75	693.58	909.17	669.92	1963.57	780.44	1051.79	1417.35	1015.93	954.43	1628.26	629.35	1088.92	329.84	674.59	813.63	450.94	417.77	454.09	518.15	497.0	500.46	466.88	559.28	460.44	723.08	406.31	603.67	791.35	507.46	656.11	400.71	616.37	277.2	1388.16	1437.15	1225.22
SAFB	915.51	1183.45	1369.04	1175.27	1540.37	1540.37	1605.83	974.5	1313.23	1313.23	1340.84	1697.45	1023.0	1216.75	1651.0	1081.39	941.27	921.88	780.44	1295.13	759.08	638.15	713.11	647.07	660.68	1167.14	780.44	884.29	1159.07	1066.48	660.68	947.83	775.05	934.76	1151.06	420.68	633.73	738.29	1832.01	2119.22	2119.22
SAFB2	733.19	1001.93	884.29	1015.93	1233.75	1259.69	1674.06	769.69	1216.75	1519.15	1199.98	1127.35	909.17	995.0	1498.22	934.76	860.08	476.71	656.11	1191.69	536.45	356.05	612.11	571.05	503.95	909.17	693.58	995.0	909.17	733.19	507.46	540.19	514.56	764.36	860.08	267.73	507.46	591.22	1551.09	2193.99	2061.24
SCN4B	33.3	53.95	34.51	47.17	56.68	17.38	40.93	27.64	14.89	26.67	40.64	27.84	10.31	12.55	37.85	26.86	19.53	10.47	17.25	19.25	14.24	0.85	17.64	7.46	8.78	33.54	3.03	5.82	3.35	8.51	15.91	15.8	4.82	7.63	9.13	2.36	2.68	10.55	400.71	134.3	262.2
SETDB1	599.49	684.02	381.68	733.19	532.74	854.13	1340.84	429.54	902.89	1111.82	612.11	1199.98	314.17	483.38	660.68	723.08	379.04	301.33	262.2	587.13	293.07	307.69	182.55	183.82	269.6	493.56	356.05	309.83	363.56	323.03	277.2	406.31	131.51	291.04	283.05	72.01	205.5	180.02	591.22	915.51	743.43
STK25	1819.35	2209.26	1844.76	3982.99	2835.7	2520.38	3419.52	1685.71	2451.44	3419.52	2520.38	2400.97	1870.53	2032.85	3372.43	2090.03	1757.34	1295.13	1359.57	2032.85	703.28	791.35	1225.22	1104.13	1059.11	1540.37	1104.13	1594.73	1286.18	1286.18	1073.91	1540.37	1037.29	1508.65	1208.34	866.07	884.29	1127.35	2720.15	2777.33	4298.64
STRN4	521.76	1127.35	733.19	1051.79	1059.11	1044.52	2303.12	642.59	961.07	974.5	713.11	1277.29	759.08	708.18	1674.06	679.29	599.49	343.89	423.61	476.71	197.09	325.29	329.84	269.6	301.33	432.53	373.81	540.19	376.41	348.71	299.25	444.72	429.54	460.44	466.88	199.85	450.94	236.21	1250.98	1427.22	1417.35
SUGP1	656.11	713.11	651.58	819.3	825.0	848.22	909.17	567.1	974.5	974.5	813.63	1159.07	579.04	759.08	764.36	759.08	575.03	483.38	423.61	665.29	293.07	277.2	454.09	470.14	476.71	703.28	595.34	514.56	567.1	454.09	387.02	470.14	454.09	507.46	463.65	318.57	293.07	423.61	934.76	1183.45	961.07
TMEM79	127.89	157.68	171.45	153.34	137.14	132.44	165.57	120.94	171.45	134.3	176.29	202.66	100.13	153.34	204.07	139.07	77.25	49.91	61.25	66.18	23.93	28.45	50.98	61.25	65.72	100.13	61.25	65.72	44.25	73.54	53.95	67.59	50.63	53.19	52.08	25.91	18.29	63.0	500.46	656.11	297.17
TRMT1	476.71	830.75	429.54	718.08	679.29	1127.35	1447.15	476.71	1001.93	1008.9	579.04	981.29	607.87	684.02	1191.69	616.37	395.18	262.2	366.09	555.41	155.5	176.29	248.0	341.51	169.07	400.71	264.03	348.71	285.03	323.03	231.32	312.0	409.15	363.56	356.05	117.6	500.46	289.02	878.17	995.0	860.08
