	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.Y3IK.0526.SM.4WWE3	GTEX.147GR.0726.SM.5S2PL	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.TKQ1.0126.SM.33HB3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
ARHGEF2	0.0	0.84	1498.22	1250.98	1151.06	1628.26	878.17	848.22	620.67	1175.27	723.08	1023.0	1674.06	1191.69	1477.58	866.07	1447.15	1088.92	748.61	896.64	688.78	1037.29	1529.73	1447.15	2163.77	1467.37	1143.1	1508.65	1175.27	1135.2	802.41	466.88	1709.26	1467.37	1605.83	1605.83	674.59	748.61	890.44	1709.26	1081.39	791.35	808.0	813.63	460.44	896.64	1794.29	1096.5	896.64	1001.93	432.53	684.02	1081.39	1572.76	1277.29	753.83	1388.16	490.14
ARMCX6	0.0	0.69	1417.35	1529.73	1781.89	1572.76	1628.26	1322.37	1159.07	1111.82	1111.82	1322.37	1819.35	1487.87	612.11	1350.18	1651.0	1857.6	1030.12	1304.15	848.22	1322.37	1487.87	1437.15	1617.0	1447.15	2240.11	1551.09	1151.06	2104.58	896.64	974.5	1304.15	1651.0	1304.15	2240.11	1073.91	896.64	1540.37	1909.85	1059.11	902.89	974.5	1081.39	1286.18	1233.75	1225.22	769.69	1216.75	1081.39	909.17	1023.0	1397.83	1350.18	1662.49	848.22	1498.22	1073.91
AZI1	0.0	0.66	438.59	258.57	194.36	356.05	104.42	190.34	198.47	157.68	113.56	228.13	285.03	199.85	173.85	154.42	205.5	165.57	100.83	178.77	81.71	281.09	228.13	223.41	269.6	283.05	256.78	228.13	186.4	197.09	167.9	170.25	226.54	234.57	297.17	249.73	137.14	171.45	206.94	297.17	209.84	143.01	88.88	162.14	217.27	169.07	409.15	95.34	201.25	102.25	127.89	158.79	226.54	156.59	267.73	164.42	231.32	120.94
BAIAP3	0.0	0.39	46.18	72.01	26.86	91.41	14.14	28.45	8.85	35.5	18.43	17.25	46.84	13.42	36.53	5.02	78.34	10.88	12.93	20.11	7.11	39.79	23.25	144.01	21.94	64.34	24.11	50.63	38.4	32.13	14.78	17.77	36.53	69.52	56.28	67.12	26.67	22.43	10.31	64.34	21.47	9.78	9.48	5.5	9.7	9.93	45.85	5.59	19.68	5.54	5.73	6.21	103.69	45.85	42.71	38.12	46.18	2.68
BTN2A1	0.0	0.6	457.25	450.94	420.68	638.15	327.56	356.05	341.51	381.68	325.29	348.71	525.39	312.0	291.04	291.04	493.56	307.69	341.51	320.8	289.02	397.93	463.65	480.04	493.56	723.08	332.14	476.71	387.02	297.17	318.57	258.57	400.71	392.44	447.82	444.72	327.56	305.55	293.07	435.55	303.44	346.29	309.83	215.77	183.82	260.38	629.35	358.54	339.14	325.29	334.46	325.29	412.0	356.05	397.93	329.84	441.64	231.32
BZRAP1	0.0	0.82	1745.2	1457.23	890.44	2004.85	358.54	536.45	559.28	1073.91	363.56	909.17	1498.22	529.06	1008.9	395.18	1081.39	866.07	389.72	518.15	323.03	1388.16	1096.5	1745.2	1883.54	1498.22	1467.37	1175.27	947.83	1508.65	669.92	450.94	941.27	1208.34	1540.37	1277.29	633.73	753.83	353.59	1487.87	896.64	518.15	371.22	612.11	463.65	435.55	1605.83	638.15	878.17	514.56	373.81	591.22	1066.48	819.3	1304.15	480.04	1143.1	389.72
C12orf76	0.0	0.44	551.56	551.56	432.53	559.28	289.02	339.14	309.83	444.72	221.86	373.81	473.41	320.8	281.09	202.66	447.82	363.56	303.44	309.83	264.03	486.75	420.68	476.71	532.74	476.71	400.71	470.14	400.71	432.53	307.69	279.14	353.59	376.41	521.76	500.46	287.01	305.55	314.17	497.0	309.83	361.04	242.88	264.03	297.17	368.65	473.41	271.48	287.01	244.57	297.17	264.03	368.65	486.75	490.14	289.02	480.04	277.2
C17orf72	0.0	0.25	299.25	232.94	217.27	808.0	117.6	114.36	96.01	159.9	78.34	237.86	262.2	120.1	92.7	99.43	285.03	151.22	76.17	59.55	57.89	224.97	249.73	198.47	285.03	325.29	215.77	521.76	185.11	417.77	61.25	78.34	612.11	423.61	277.2	153.34	77.25	105.89	159.9	289.02	134.3	57.08	159.9	44.25	39.5	97.36	253.23	115.16	62.12	121.79	80.01	90.77	334.46	111.21	305.55	56.28	262.2	54.72
C9orf142	0.0	0.67	3349.13	2537.92	1242.34	3395.89	1073.91	1350.18	1159.07	1467.37	759.08	1721.16	2682.69	1697.45	1721.16	1331.57	1745.2	1561.89	1259.69	1119.56	902.89	1733.13	2163.77	1685.71	1605.83	3018.3	1896.65	1721.16	1457.23	1304.15	1143.1	1487.87	2400.97	1844.76	2915.45	2032.85	1119.56	981.29	1268.46	2090.03	1378.57	848.22	679.29	1167.14	2090.03	1167.14	2434.5	547.75	1529.73	848.22	902.89	1015.93	1857.6	2133.97	2591.27	1378.57	2384.37	1322.37
C9orf172	0.0	0.39	11.73	11.55	7.0	10.16	3.59	5.73	6.67	5.32	5.96	7.94	6.26	6.73	8.65	3.2	7.22	9.27	2.89	7.28	2.58	13.12	10.55	11.04	5.41	9.56	8.78	7.06	6.36	0.91	5.32	5.11	11.3	18.03	10.96	5.54	3.66	0.88	4.17	9.13	3.17	4.7	2.71	1.97	2.18	5.41	12.64	6.16	5.54	1.5	3.44	1.89	6.62	2.81	3.29	6.84	6.67	3.79
CCDC102A	0.0	0.19	511.0	414.87	287.01	414.87	141.02	212.78	236.21	285.03	149.12	224.97	297.17	202.66	232.94	159.9	316.37	251.48	175.07	234.57	170.25	343.89	384.34	392.44	262.2	309.83	231.32	387.02	265.87	241.19	154.42	248.0	237.86	237.86	289.02	366.09	190.34	166.73	173.85	273.37	229.72	212.78	150.17	212.78	224.97	206.94	299.25	49.56	204.07	143.01	101.54	211.31	246.28	209.84	299.25	190.34	341.51	137.14
CCDC24	0.0	0.16	1519.15	1088.92	791.35	1104.13	575.03	669.92	583.07	759.08	361.04	928.3	988.12	688.78	713.11	532.74	733.19	713.11	406.31	591.22	358.54	915.51	769.69	1001.93	1183.45	995.0	1111.82	836.53	665.29	1119.56	473.41	497.0	1208.34	954.43	1127.35	988.12	511.0	551.56	624.99	1066.48	674.59	438.59	417.77	669.92	587.13	483.38	1015.93	551.56	764.36	438.59	320.8	555.41	1030.12	791.35	1191.69	507.46	1008.9	493.56
CCDC61	0.0	0.27	579.04	353.59	241.19	463.65	246.28	275.28	253.23	314.17	189.02	316.37	460.44	256.78	423.61	285.03	260.38	339.14	224.97	303.44	232.94	392.44	356.05	511.0	441.64	392.44	358.54	363.56	389.72	323.03	262.2	279.14	397.93	403.5	500.46	351.14	224.97	206.94	281.09	368.65	343.89	229.72	239.52	239.52	231.32	279.14	441.64	98.73	289.02	226.54	211.31	242.88	351.14	309.83	389.72	341.51	417.77	239.52
CCDC74A	0.0	0.0	536.45	297.17	178.77	325.29	165.57	95.34	78.34	178.77	106.63	271.48	397.93	104.42	209.84	123.5	346.29	236.21	79.45	101.54	66.18	371.22	381.68	260.38	260.38	175.07	320.8	332.14	195.72	305.55	119.26	122.64	209.84	486.75	540.19	189.02	164.42	86.43	88.88	332.14	234.57	144.01	64.34	258.57	74.58	132.44	341.51	54.72	172.65	82.29	138.1	96.68	214.27	141.02	251.48	94.01	220.32	102.97
CCS	0.0	0.53	1857.6	1561.89	1073.91	2104.58	988.12	1225.22	1119.56	1051.79	941.27	1242.34	1697.45	1340.84	1447.15	1037.29	1340.84	1216.75	909.17	1259.69	928.3	1529.73	1407.55	1709.26	1909.85	1896.65	1583.71	1397.83	1487.87	1331.57	1088.92	1088.92	1870.53	1745.2	1870.53	1397.83	1001.93	981.29	1286.18	1697.45	1304.15	954.43	860.08	1225.22	1225.22	1151.06	2271.4	688.78	1359.57	896.64	769.69	1030.12	1617.0	1487.87	1745.2	1104.13	1437.15	1030.12
CDPF1	0.0	0.15	547.75	497.0	371.22	490.14	246.28	277.2	299.25	297.17	283.05	323.03	450.94	327.56	305.55	275.28	420.68	376.41	215.77	334.46	212.78	316.37	348.71	305.55	392.44	376.41	301.33	277.2	312.0	389.72	293.07	283.05	389.72	341.51	463.65	332.14	275.28	275.28	395.18	435.55	336.79	314.17	199.85	320.8	346.29	289.02	379.04	148.09	363.56	314.17	214.27	316.37	228.13	361.04	447.82	204.07	400.71	249.73
COPS7B	0.0	0.57	1135.2	941.27	679.29	1073.91	583.07	775.05	688.78	656.11	511.0	703.28	1081.39	723.08	780.44	743.43	733.19	728.11	559.28	813.63	521.76	896.64	769.69	909.17	947.83	967.76	713.11	796.86	836.53	738.29	688.78	563.18	961.07	947.83	974.5	759.08	616.37	612.11	679.29	1151.06	674.59	595.34	486.75	743.43	543.96	713.11	974.5	674.59	708.18	599.49	579.04	647.07	878.17	791.35	961.07	624.99	836.53	438.59
CYHR1	1066.48	559.28	2796.65	1844.76	1216.75	2104.58	1304.15	1388.16	1015.93	1487.87	1044.52	1250.98	1896.65	1143.1	1674.06	1135.2	1540.37	1378.57	1096.5	1208.34	1037.29	1651.0	1909.85	1883.54	1572.76	1721.16	1397.83	1605.83	1369.04	1447.15	1088.92	1191.69	1397.83	1819.35	2163.77	1794.29	1259.69	1111.82	1233.75	1397.83	1340.84	1096.5	974.5	1151.06	1242.34	1286.18	1561.89	759.08	1259.69	909.17	909.17	1151.06	1437.15	1844.76	1883.54	1340.84	1819.35	921.88
DALRD3	0.0	0.15	2075.59	1662.49	1044.52	1651.0	1008.9	1037.29	934.76	1119.56	947.83	1216.75	1561.89	1037.29	1259.69	1015.93	1191.69	1259.69	995.0	1066.48	866.07	1417.35	1417.35	1605.83	1844.76	1457.23	1697.45	1216.75	1242.34	1250.98	1167.14	961.07	1378.57	1457.23	1617.0	1447.15	1111.82	1008.9	1051.79	1457.23	1304.15	954.43	860.08	1023.0	1277.29	1037.29	1662.49	921.88	1159.07	825.0	915.51	961.07	1286.18	1286.18	1769.57	1088.92	1457.23	961.07
DEGS2	0.0	0.0	295.11	275.28	209.84	291.04	49.56	38.4	44.25	82.87	59.13	226.54	242.88	147.06	134.3	34.75	220.32	165.57	45.53	50.98	63.45	146.03	234.57	211.31	353.59	249.73	82.87	187.71	109.66	287.01	64.34	76.71	165.57	264.03	152.28	145.02	65.26	86.43	32.59	197.09	101.54	53.19	81.71	64.34	108.9	70.01	119.26	52.82	74.06	129.69	66.18	48.87	112.77	119.26	138.1	58.71	132.44	92.7
DFFB	0.0	0.2	215.77	127.0	102.97	197.09	48.87	75.64	67.12	76.17	46.5	96.68	154.42	97.36	124.37	61.68	108.9	84.04	44.25	81.14	73.54	150.17	110.43	150.17	142.01	137.14	88.88	121.79	118.43	108.14	65.26	110.43	137.14	118.43	173.85	110.43	69.52	95.34	100.13	155.5	82.87	48.87	59.55	84.63	90.14	79.45	149.12	36.27	83.45	65.26	60.39	54.72	93.35	95.34	138.1	76.17	127.0	70.01
DNAJC4	0.0	0.77	2796.65	3614.55	1963.57	2796.65	1697.45	1806.78	1617.0	2032.85	1437.15	1857.6	3212.66	2075.59	2075.59	2417.67	2417.67	2224.63	1191.69	1950.0	1242.34	1806.78	2609.3	3124.78	2591.27	3018.3	2758.13	2555.58	2287.2	2303.12	1447.15	1662.49	2796.65	1870.53	2701.35	2682.69	1617.0	1350.18	2287.2	2178.83	1216.75	1487.87	1277.29	1605.83	2271.4	1909.85	2645.74	1477.58	1561.89	1529.73	1183.45	1936.53	1977.24	2485.67	2835.7	1519.15	3235.01	1487.87
DNASE1L2	0.0	0.39	206.94	73.54	24.28	90.14	37.59	43.94	38.95	26.28	18.97	55.89	65.72	37.05	75.64	21.32	29.48	45.21	15.8	43.32	38.4	175.07	59.13	92.7	201.25	85.82	52.82	32.82	114.36	31.9	32.13	10.63	71.5	124.37	190.34	41.22	26.86	14.89	31.0	84.63	27.44	19.39	12.0	58.3	22.43	33.78	78.89	16.75	27.44	24.63	15.91	33.3	61.25	31.0	57.49	24.46	67.12	19.53
DOC2A	0.0	0.52	24.63	11.3	6.11	23.59	1.97	3.14	1.25	7.4	3.26	4.21	8.32	2.56	5.19	1.13	5.77	6.16	1.04	3.44	5.06	13.42	10.96	13.22	7.17	9.27	10.08	10.55	7.51	8.13	4.46	3.0	8.25	38.95	16.39	9.34	2.32	2.94	0.47	4.5	2.36	3.5	1.91	2.29	1.46	2.12	19.68	3.0	3.63	1.41	1.0	5.36	14.67	8.25	8.85	5.45	4.54	1.36
DOK4	0.0	0.47	447.82	400.71	258.57	341.51	215.77	190.34	279.14	208.38	157.68	231.32	299.25	237.86	303.44	267.73	423.61	223.41	190.34	244.57	214.27	356.05	361.04	368.65	363.56	368.65	159.9	309.83	381.68	327.56	258.57	195.72	209.84	332.14	400.71	312.0	228.13	218.79	209.84	295.11	214.27	199.85	212.78	264.03	136.19	151.22	301.33	76.71	253.23	223.41	127.89	175.07	202.66	287.01	332.14	246.28	373.81	181.28
DPH7	0.0	0.93	941.27	769.69	476.71	967.76	397.93	454.09	420.68	595.34	358.54	480.04	890.44	575.03	688.78	400.71	587.13	511.0	426.57	486.75	368.65	688.78	638.15	825.0	878.17	947.83	769.69	660.68	555.41	563.18	551.56	400.71	872.1	728.11	878.17	660.68	460.44	507.46	392.44	928.3	473.41	406.31	351.14	497.0	358.54	441.64	1059.11	414.87	454.09	336.79	397.93	423.61	698.41	599.49	836.53	466.88	743.43	341.51
EEPD1	0.0	0.52	104.42	108.9	79.45	132.44	33.54	51.35	75.11	81.71	63.89	57.08	164.42	43.63	43.63	32.59	95.34	76.71	30.12	49.21	50.63	79.45	130.6	73.03	53.57	134.3	82.29	145.02	91.41	111.21	42.11	53.95	106.63	154.42	146.03	136.19	52.08	40.93	71.0	175.07	34.51	62.56	60.82	30.12	31.22	42.41	212.78	24.81	27.25	86.43	66.18	34.51	75.11	65.72	82.29	47.84	114.36	55.49
EFS	0.0	0.95	521.76	579.04	420.68	679.29	81.71	229.72	293.07	500.46	155.5	323.03	674.59	209.84	389.72	303.44	480.04	283.05	153.34	244.57	58.3	693.58	575.03	878.17	647.07	525.39	426.57	764.36	303.44	579.04	132.44	242.88	642.59	620.67	1286.18	563.18	198.47	108.9	232.94	669.92	295.11	178.77	175.07	199.85	147.06	89.51	480.04	60.39	189.02	163.28	75.11	239.52	435.55	429.54	669.92	262.2	620.67	165.57
FAM109A	0.0	0.43	264.03	327.56	146.03	220.32	94.67	111.21	146.03	92.7	96.68	171.45	158.79	164.42	215.77	140.04	185.11	244.57	84.63	130.6	73.54	277.2	152.28	226.54	115.16	137.14	80.57	171.45	135.24	143.01	105.89	116.78	158.79	198.47	190.34	167.9	147.06	86.43	172.65	191.67	145.02	145.02	127.89	145.02	108.14	89.51	193.01	87.65	111.21	141.02	47.84	107.38	121.79	138.1	197.09	73.54	204.07	110.43
FAM181B	0.0	0.29	163.28	186.4	130.6	104.42	36.01	31.45	113.56	68.07	25.17	52.08	78.89	28.86	55.89	74.06	44.57	109.66	30.12	14.14	38.12	208.38	158.79	112.77	195.72	63.45	76.71	27.64	65.72	72.52	40.93	38.67	59.55	305.55	127.89	143.01	48.18	15.91	44.89	97.36	81.71	59.13	14.56	55.1	40.07	34.75	108.14	62.56	166.73	17.9	58.71	34.75	50.63	54.33	55.1	22.59	85.82	63.0
FBP1	0.0	0.37	1167.14	1477.58	1617.0	2367.9	358.54	356.05	780.44	723.08	493.56	890.44	1295.13	890.44	733.19	301.33	1540.37	941.27	293.07	454.09	669.92	1819.35	1111.82	1233.75	1286.18	1111.82	1417.35	1250.98	708.18	1936.53	503.95	633.73	921.88	1008.9	595.34	1936.53	490.14	400.71	848.22	1277.29	591.22	267.73	866.07	387.02	616.37	543.96	769.69	587.13	1015.93	674.59	295.11	438.59	1844.76	1540.37	941.27	256.78	866.07	497.0
FGF1	0.0	0.0	167.9	115.16	88.26	148.09	20.41	23.59	49.56	80.57	56.28	54.33	132.44	27.05	27.84	21.78	209.84	84.63	19.68	28.86	24.99	60.82	154.42	102.97	66.65	102.25	51.71	135.24	80.01	112.77	16.75	18.97	98.04	127.89	105.89	84.04	35.76	31.0	37.05	105.15	38.12	28.04	84.04	53.57	7.82	21.01	132.44	45.53	25.72	22.59	19.68	18.97	161.02	29.06	63.45	33.06	108.14	20.41
FUZ	287.01	275.28	1359.57	1044.52	633.73	995.0	473.41	518.15	529.06	693.58	454.09	638.15	791.35	543.96	902.89	518.15	866.07	688.78	450.94	529.06	447.82	981.29	759.08	967.76	819.3	785.88	791.35	928.3	718.08	738.29	603.67	575.03	656.11	848.22	808.0	780.44	587.13	521.76	435.55	748.61	642.59	591.22	316.37	536.45	480.04	543.96	941.27	392.44	620.67	417.77	432.53	483.38	723.08	571.05	872.1	518.15	808.0	460.44
GALT	0.0	0.45	2875.3	1437.15	1096.5	1909.85	1051.79	1268.46	1037.29	830.75	796.86	1183.45	1963.57	1313.23	1487.87	1051.79	1216.75	1277.29	909.17	1208.34	728.11	1819.35	1639.59	1745.2	2303.12	2255.7	1685.71	1529.73	1651.0	1467.37	1015.93	1073.91	1923.14	1950.0	2119.22	1437.15	1111.82	854.13	1167.14	2193.99	1304.15	813.63	753.83	1143.1	1199.98	1008.9	2240.11	575.03	1225.22	819.3	866.07	1104.13	1685.71	1233.75	2032.85	1208.34	1540.37	902.89
GAMT	0.0	0.49	2240.11	1437.15	1151.06	1340.84	454.09	595.34	802.41	1044.52	483.38	759.08	1081.39	486.75	708.18	450.94	1199.98	981.29	318.57	688.78	511.0	1073.91	1397.83	1617.0	1242.34	1104.13	1135.2	1369.04	819.3	1304.15	351.14	723.08	866.07	1073.91	1143.1	1167.14	579.04	307.69	540.19	934.76	603.67	353.59	366.09	470.14	941.27	575.03	1359.57	647.07	633.73	371.22	346.29	551.56	1096.5	934.76	1119.56	493.56	1268.46	540.19
