	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.ZF.A9RE.01A.11R.A38B.07	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.CU.A3QU.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.VS.A8EK.01A.12R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13113.1026.SM.5LZWM	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.S341.0226.SM.5S2VG	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.Q2AI.0326.SM.2I3EK	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.YF7O.0726.SM.4W213	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.T8EM.0226.SM.3DB7C	GTEX.Z9EW.0226.SM.5CVM7
ADAMTS2	9.06	54.33	26.28	7.06	11.04	20.11	23.59	20.86	35.0	28.86	25.17	1477.58	273.37	323.03	346.29	314.17	4.21	0.0	1.22	273.37	483.38	698.41	2319.15	336.79	343.89	236.21	171.45	54.33	29.27	85.82	48.18	75.11	104.42	86.43	129.69	123.5	223.41	116.78	80.57	125.24	35.25	161.02	67.12	70.01	18.97	68.55	20.11	20.71	63.0	135.24	51.35	71.0
ADARB1	58.3	114.36	42.11	50.63	146.03	31.67	74.58	20.41	141.02	44.89	50.98	1594.73	136.19	1015.93	1088.92	1359.57	14.24	0.0	0.58	297.17	802.41	836.53	289.02	454.09	1159.07	633.73	825.0	167.9	101.54	149.12	148.09	124.37	120.94	68.07	323.03	151.22	164.42	87.65	101.54	164.42	102.25	117.6	223.41	94.67	93.35	85.22	65.26	60.82	87.65	115.97	134.3	106.63
AKNAD1	0.59	0.0	0.0	2.01	0.0	0.68	0.0	0.42	0.0	3.53	1.38	86.43	30.12	205.5	49.91	27.05	8.45	0.0	0.03	6.84	43.63	13.72	12.36	16.88	22.43	19.82	21.94	6.46	9.56	4.1	0.59	4.7	3.72	2.39	6.46	9.56	0.0	2.32	0.0	2.14	4.13	8.51	2.89	4.21	3.11	1.07	2.1	4.24	1.53	3.26	6.21	8.45
AL021920.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	1.38	1.81	0.0	5.77	6.89	10.47	0.0	0.0	0.0	0.68	9.06	0.73	3.14	7.63	6.16	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL592284.1	92.05	47.84	57.49	13.32	63.45	48.52	38.12	167.9	83.45	49.56	55.49	1119.56	166.73	124.37	95.34	53.57	37.85	0.0	0.21	63.45	151.22	171.45	159.9	114.36	122.64	96.01	144.01	96.01	264.03	115.16	87.65	154.42	99.43	126.12	120.1	138.1	163.28	163.28	142.01	241.19	303.44	90.77	67.59	63.45	94.67	135.24	195.72	164.42	97.36	170.25	40.64	114.36
ANKRD30A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.77	3.14	0.0	0.0	0.0	0.0	0.0	0.37	0.75	0.39	0.65	1.58	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD34C	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.44	6.89	0.72	2.66	0.0	0.0	0.0	2.76	3.26	0.68	0.0	3.89	2.29	1.79	4.5	1.2	0.2	0.0	0.2	2.36	1.01	0.19	0.43	1.64	1.01	0.39	0.39	0.59	0.0	0.39	0.2	0.19	0.0	0.0	0.18	0.0	0.19	0.2	0.18	0.21
ANTXR2	571.05	55.1	153.34	825.0	111.99	105.89	74.06	62.56	223.41	36.79	44.25	1923.14	514.56	109.66	1909.85	2627.46	38.12	2148.82	57.08	2400.97	5076.84	5255.91	866.07	4066.71	7911.95	7803.01	5672.41	555.41	291.04	173.85	281.09	420.68	221.86	228.13	500.46	503.95	441.64	226.54	148.09	277.2	291.04	323.03	460.44	258.57	256.78	111.21	104.42	181.28	90.77	356.05	136.19	414.87
ATP10A	1.75	5.5	2.61	2.05	3.82	0.8	12.36	9.7	8.0	3.53	12.36	395.18	63.45	56.68	178.77	126.12	4.06	0.0	0.38	94.67	195.72	262.2	142.01	226.54	205.5	106.63	136.19	74.58	31.45	33.06	35.25	38.4	35.76	25.72	131.51	63.45	36.53	50.27	58.3	33.54	48.52	46.5	28.45	39.79	11.73	19.25	14.45	16.39	24.81	21.47	47.5	66.65
ATP1A2	6.26	0.0	0.67	2.58	4.06	0.0	1.45	0.0	1.36	0.72	1.1	77.79	92.05	99.43	2104.58	1617.0	8.13	0.0	0.29	373.81	241.19	842.36	20.86	571.05	1359.57	1183.45	1561.89	32.59	41.81	41.52	31.9	84.04	73.54	24.46	94.01	76.17	45.53	26.28	7.06	8.32	13.72	34.51	45.21	15.68	6.46	8.65	15.34	20.41	15.68	29.06	27.25	68.07
BEND6	3.47	2.78	8.71	0.61	22.59	21.32	4.43	3.76	8.25	4.5	9.78	117.6	30.34	49.21	47.17	13.12	4.58	0.0	0.22	34.75	72.52	53.19	55.89	52.45	49.91	29.48	75.11	11.13	6.31	15.0	66.65	16.75	5.87	59.55	4.58	9.93	73.54	16.51	9.27	13.42	15.22	11.3	19.82	6.41	10.31	8.19	23.59	23.93	37.59	12.18	3.69	9.63
C12orf50	0.0	0.31	0.65	0.85	0.54	0.0	0.59	0.28	0.27	0.0	0.58	6.41	6.16	15.91	1.08	0.99	0.0	0.0	0.0	2.2	5.11	0.53	3.92	3.59	4.24	0.0	1.68	0.0	0.37	0.37	0.0	1.41	2.61	0.36	0.0	1.5	2.63	2.23	1.36	1.58	0.65	0.0	0.65	2.07	0.6	2.56	1.08	0.0	0.89	0.89	0.59	0.37
C14orf23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.97	103.69	208.38	10.0	6.57	6.94	0.0	0.0	3.66	7.88	0.38	3.89	1.22	5.87	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	1.11	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0
C1orf95	0.0	0.32	0.34	0.0	0.0	0.65	1.45	0.0	0.67	0.0	0.68	19.68	26.1	6.26	473.41	89.51	0.71	0.0	0.24	39.5	30.34	112.77	14.78	85.82	110.43	132.44	150.17	5.23	7.22	5.11	4.31	14.14	5.36	3.99	20.11	8.45	10.96	3.44	6.01	7.11	5.19	4.39	11.91	8.51	1.69	0.91	1.83	2.73	5.59	7.28	4.78	5.63
C22orf26	2.58	3.32	4.46	3.99	0.56	1.87	1.75	5.59	1.95	1.57	4.24	12.83	7.63	11.82	4.43	5.32	2.25	0.0	0.0	9.34	11.3	16.51	5.41	7.94	8.71	9.78	9.34	10.79	6.11	9.13	10.88	8.85	8.0	10.96	7.69	8.78	6.46	8.51	7.28	6.06	8.92	7.75	6.73	5.32	5.41	5.96	4.5	6.94	6.57	9.06	4.7	4.9
C2orf53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	3.72	34.51	1.95	3.53	0.0	0.0	0.0	4.43	0.93	3.08	2.94	10.63	6.78	11.04	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0
CACNA1H	16.15	4.06	20.11	12.74	10.16	8.71	10.39	4.9	8.45	8.38	12.27	500.46	231.32	85.22	3901.01	3540.14	1.71	0.0	0.95	1313.23	1199.98	2555.58	358.54	2451.44	3280.18	3280.18	4543.8	267.73	358.54	201.25	172.65	127.89	242.88	88.88	497.0	201.25	242.88	172.65	241.19	169.07	181.28	289.02	529.06	172.65	273.37	363.56	131.51	88.88	503.95	175.07	170.25	141.02
CACNB2	8.92	1.85	4.54	4.03	2.18	10.79	5.87	2.71	6.21	3.69	7.46	260.38	193.01	217.27	642.59	909.17	2.18	0.0	0.65	182.55	273.37	536.45	73.54	264.03	629.35	1143.1	872.1	22.92	28.65	30.34	40.93	19.68	27.64	63.89	77.25	63.89	38.67	28.24	31.0	13.22	18.03	37.85	25.17	53.95	7.22	32.82	5.45	23.76	74.06	17.77	13.22	15.22
CDK17	139.07	178.77	189.02	135.24	113.56	220.32	323.03	320.8	289.02	161.02	249.73	629.35	366.09	688.78	830.75	450.94	106.63	0.0	0.0	441.64	457.25	884.29	363.56	532.74	587.13	486.75	647.07	323.03	224.97	202.66	316.37	253.23	305.55	209.84	256.78	244.57	198.47	193.01	189.02	229.72	244.57	248.0	241.19	293.07	211.31	201.25	159.9	193.01	193.01	187.71	275.28	201.25
CEACAM8	0.0	0.3	0.32	0.28	0.0	0.0	0.39	0.39	0.0	0.0	0.0	3.23	5.73	15.0	7.51	0.82	0.0	0.0	0.04	6.01	3.56	0.8	4.94	3.5	1.22	2.86	0.42	2.53	0.0	0.21	0.66	0.67	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.22	0.0	0.0	0.0	0.0
CHRM5	0.29	1.22	0.96	0.0	0.27	1.3	0.0	1.45	0.0	1.0	1.08	7.34	12.93	22.26	3.23	4.21	0.52	0.0	0.0	6.57	7.46	5.73	28.65	3.38	3.32	9.56	5.32	0.47	1.36	3.86	1.99	1.79	1.14	1.1	4.31	2.84	0.71	0.84	1.28	2.1	1.58	1.87	0.92	3.38	0.21	0.45	0.21	1.87	1.33	0.01	0.4	2.46
CMTM5	0.29	0.0	0.0	0.0	0.0	0.0	0.74	0.0	1.89	4.5	1.03	23.42	6.62	9.2	201.25	50.27	0.0	0.0	0.21	6.46	25.72	84.04	2.25	28.04	144.01	201.25	232.94	0.97	6.67	5.41	8.19	5.63	8.78	1.89	3.79	9.78	5.5	0.31	3.99	0.32	2.81	2.58	3.59	10.0	2.39	1.13	11.47	5.02	8.51	8.78	2.68	14.35
CNRIP1	16.15	14.67	14.24	14.14	17.9	13.93	38.4	10.47	17.51	34.02	24.99	353.59	130.6	129.69	813.63	486.75	40.07	0.0	0.62	251.48	693.58	603.67	206.94	441.64	780.44	988.12	708.18	132.44	124.37	101.54	277.2	190.34	133.36	122.64	172.65	214.27	221.86	105.89	130.6	113.56	69.03	214.27	153.34	139.07	127.0	41.22	82.29	63.45	136.19	237.86	123.5	145.02
CNTN2	0.0	0.0	0.32	0.0	0.8	0.0	0.0	0.0	0.4	0.0	0.41	13.12	8.85	63.45	53.57	11.38	0.0	0.0	0.0	16.39	35.5	58.3	7.69	8.58	75.64	90.77	53.57	1.41	1.91	0.15	1.87	3.44	2.16	0.85	6.41	4.86	5.63	2.2	0.83	2.25	0.16	1.28	0.15	4.06	1.75	2.84	0.0	0.16	4.39	3.41	0.33	2.46
COL12A1	53.95	181.28	130.6	53.95	86.43	34.02	93.35	1369.04	620.67	209.84	107.38	10440.2	1008.9	1923.14	2163.77	1340.84	37.32	0.0	0.73	967.76	1359.57	4298.64	6516.03	3372.43	2018.8	1769.57	2796.65	583.07	111.99	226.54	81.14	156.59	316.37	79.45	223.41	131.51	111.21	57.08	69.03	212.78	69.52	98.04	99.43	80.57	94.01	74.06	41.52	28.24	153.34	85.22	67.59	91.41
COL4A6	89.51	102.25	30.78	39.22	5.82	17.9	2.03	86.43	5.23	6.73	4.7	1529.73	197.09	11035.54	3928.15	3874.05	5.23	0.0	0.49	157.68	199.85	480.04	26.67	148.09	981.29	1250.98	620.67	15.91	30.56	22.43	23.42	49.56	27.44	24.99	36.79	29.27	31.9	26.1	8.85	27.84	15.0	26.86	49.21	11.47	4.46	6.62	9.2	16.88	13.62	7.57	9.56	15.91
CRX	0.0	0.6	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	3.89	13.93	0.0	25.72	0.0	0.0	0.0	18.84	3.2	5.11	16.27	0.79	14.03	27.05	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP2U1	30.12	3.41	21.78	35.5	67.59	33.78	39.22	15.22	31.22	38.12	25.91	105.89	105.89	72.52	173.85	223.41	25.72	0.0	0.12	88.88	161.02	191.67	97.36	202.66	211.31	167.9	175.07	100.83	81.14	56.68	92.05	87.03	57.49	38.12	90.77	104.42	97.36	36.01	62.56	53.19	83.45	69.52	67.59	72.01	82.87	45.85	33.06	57.08	48.52	82.87	70.51	102.25
CYSLTR1	5.73	5.15	5.15	21.16	4.58	3.72	18.7	4.74	10.31	7.51	14.78	194.36	79.45	38.12	329.84	228.13	69.52	0.0	0.0	62.56	159.9	126.12	30.12	62.56	60.39	130.6	57.49	43.32	62.12	51.35	64.34	38.12	15.34	22.43	29.91	31.9	41.52	20.56	24.63	32.36	24.81	31.0	34.51	19.97	38.4	13.32	39.5	38.95	28.65	73.03	49.21	52.82
DACT3	8.65	3.72	4.54	9.78	9.78	7.57	8.78	4.28	7.0	5.11	8.92	329.84	100.13	169.07	1167.14	463.65	2.92	0.0	0.32	486.75	1066.48	1059.11	138.1	1350.18	1583.71	1340.84	2271.4	52.08	52.08	38.95	46.5	109.66	50.63	33.06	125.24	65.26	84.63	54.33	33.3	48.18	29.48	33.54	40.93	39.79	46.5	23.93	12.55	21.32	19.11	56.28	22.43	66.65
DDR2	4.66	9.85	18.43	4.1	10.63	5.54	24.11	6.84	11.3	9.2	10.39	595.34	145.02	115.16	974.5	1143.1	27.84	62.56	41.81	555.41	1697.45	1721.16	603.67	1745.2	2400.97	1551.09	1378.57	220.32	202.66	128.79	423.61	441.64	171.45	221.86	511.0	429.54	392.44	147.06	153.34	70.01	132.44	236.21	154.42	206.94	66.18	57.08	84.63	127.89	85.82	323.03	171.45	412.0
DEFB118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	3.76	23.25	0.0	1.53	0.0	0.0	0.0	4.9	2.2	2.51	2.86	3.92	4.86	3.44	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DENND2A	20.11	3.72	17.0	16.88	241.19	9.93	5.68	0.67	4.7	6.94	8.51	115.16	52.45	77.25	921.88	571.05	13.22	0.0	0.32	64.8	103.69	412.0	133.36	90.14	339.14	204.07	403.5	49.91	47.5	36.27	93.35	92.05	60.39	39.5	71.5	133.36	54.72	20.56	48.87	74.06	21.16	80.01	70.51	59.55	26.67	13.52	21.16	24.11	24.11	49.56	24.46	64.8
DHH	0.0	0.32	0.0	1.99	0.55	3.69	3.26	0.3	2.25	1.07	1.46	24.11	10.47	27.44	8.32	8.71	0.46	0.0	0.0	14.24	16.51	33.54	15.45	4.46	25.72	13.03	13.03	5.36	5.06	8.51	6.57	13.03	14.14	8.51	6.41	7.11	5.63	11.91	4.54	4.24	1.23	10.24	6.67	0.91	4.94	2.78	4.13	4.66	11.73	12.93	3.59	5.36
DIXDC1	10.08	12.27	66.18	49.21	16.75	55.89	13.03	27.05	29.06	17.38	20.56	237.86	76.71	130.6	629.35	348.71	35.5	0.0	0.16	595.34	633.73	1594.73	201.25	1605.83	1605.83	1242.34	1844.76	444.72	406.31	255.0	384.34	325.29	246.28	201.25	444.72	285.03	301.33	208.38	251.48	316.37	312.0	237.86	392.44	173.85	248.0	409.15	156.59	212.78	175.07	303.44	241.19	293.07
DOCK11	1.48	9.78	13.22	5.77	36.01	11.04	38.67	7.17	29.27	10.08	28.86	320.8	105.15	389.72	244.57	325.29	16.15	0.0	0.45	211.31	343.89	616.37	153.34	624.99	392.44	248.0	351.14	379.04	314.17	248.0	209.84	277.2	165.57	172.65	234.57	251.48	260.38	92.05	70.01	154.42	414.87	128.79	148.09	186.4	105.89	420.68	271.48	277.2	119.26	138.1	199.85	248.0
DOCK4	10.08	10.39	22.43	9.27	35.0	14.78	46.5	13.22	49.91	25.17	17.51	226.54	111.21	127.89	242.88	176.29	17.51	0.0	0.48	138.1	223.41	373.81	237.86	141.02	314.17	293.07	217.27	130.6	57.89	69.03	98.04	127.89	106.63	68.55	102.97	60.39	110.43	41.52	68.07	89.51	76.71	123.5	81.71	162.14	51.35	77.25	26.47	44.89	77.79	96.01	87.65	59.97
EBF3	4.03	1.25	1.31	3.44	4.62	3.82	37.05	2.81	15.8	10.55	6.21	92.05	18.43	18.29	144.01	104.42	5.41	0.0	0.09	161.02	128.79	124.37	51.71	17.77	165.57	158.79	86.43	61.68	93.35	85.22	148.09	151.22	78.34	81.14	118.43	116.78	96.68	53.95	46.5	68.07	88.26	65.72	175.07	48.18	49.56	35.0	21.47	56.28	22.75	132.44	84.63	116.78
EBLN2	4.62	6.41	20.41	2.05	10.79	12.64	21.01	9.27	15.11	5.11	15.68	98.73	30.12	48.52	48.87	22.75	1.89	0.0	0.65	59.97	37.05	41.22	37.59	66.18	37.05	24.99	40.93	55.1	13.03	21.94	29.06	34.02	32.13	22.92	32.13	26.47	19.39	13.72	21.63	35.76	24.28	25.91	25.91	22.75	5.36	27.44	4.03	16.51	19.97	6.73	29.48	26.47
F13A1	8.78	76.71	16.88	19.97	23.93	14.24	53.19	7.57	49.21	42.71	12.18	1447.15	67.59	63.89	1159.07	1111.82	111.99	0.0	0.44	242.88	848.22	1583.71	253.23	130.6	579.04	435.55	674.59	381.68	283.05	332.14	320.8	255.0	172.65	164.42	629.35	1216.75	587.13	316.37	297.17	234.57	346.29	426.57	414.87	208.38	258.57	60.39	125.24	109.66	101.54	426.57	169.07	283.05
FAM160B1	100.13	125.24	151.22	39.79	87.03	68.55	135.24	105.89	121.79	64.8	81.14	373.81	529.06	291.04	314.17	341.51	69.03	0.0	0.56	208.38	341.51	583.07	232.94	366.09	403.5	400.71	329.84	450.94	283.05	305.55	351.14	325.29	332.14	303.44	395.18	309.83	293.07	271.48	265.87	325.29	297.17	271.48	305.55	384.34	271.48	373.81	281.09	301.33	287.01	190.34	376.41	285.03
FAM71B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	2.86	10.88	0.88	2.63	0.0	0.0	0.0	1.08	0.42	0.42	1.58	2.03	0.0	0.82	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0
FBN1	22.1	50.27	39.22	21.47	48.18	25.72	61.25	19.68	55.49	71.0	24.46	3303.0	420.68	295.11	1487.87	1529.73	100.13	0.0	0.89	629.35	1832.01	2384.37	1721.16	764.36	2209.26	1159.07	1015.93	1111.82	1639.59	1331.57	1417.35	2537.92	563.18	1709.26	2090.03	1977.24	2682.69	995.0	638.15	571.05	2133.97	813.63	503.95	1081.39	579.04	988.12	830.75	954.43	289.02	1159.07	283.05	1529.73
