	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.T8EM.1226.SM.4DM5J
FAM47E	521.76	507.46	318.57	267.73	264.03	348.71	476.71	348.71	409.15	193.01	395.18	332.14	775.05	212.78	540.19	638.15	202.66	24.81	45.85	53.19	21.94	115.97	98.04	60.39	122.64	44.89	82.29	54.33	89.51	96.68	31.45	36.27	84.63	121.79	0.0	0.41	101.54	80.01	60.82	136.19	86.43	112.77	20.41	35.76	57.49	86.43	58.71	26.67	42.41	125.24
FAXC	620.67	251.48	289.02	327.56	332.14	307.69	332.14	241.19	237.86	255.0	256.78	242.88	146.03	293.07	229.72	154.42	236.21	8.65	17.25	50.98	217.27	40.64	9.7	96.68	54.33	172.65	136.19	18.03	62.56	130.6	31.22	139.07	69.52	31.9	0.0	0.39	147.06	46.5	3.29	45.85	13.42	170.25	2.23	4.94	98.73	3.44	43.02	14.35	28.24	204.07
FBXW7	447.82	490.14	753.83	915.51	620.67	872.1	738.29	753.83	638.15	796.86	1066.48	775.05	764.36	679.29	693.58	819.3	884.29	316.37	406.31	316.37	151.22	175.07	229.72	221.86	299.25	142.01	229.72	193.01	363.56	229.72	99.43	258.57	269.6	248.0	154.42	128.79	339.14	186.4	118.43	356.05	231.32	325.29	157.68	183.82	273.37	234.57	283.05	186.4	121.79	208.38
FLNB	4937.99	3690.52	3325.99	3018.3	3874.05	3874.05	2835.7	3372.43	4419.52	5006.93	3639.7	5147.73	1896.65	1605.83	3690.52	4937.99	3212.66	1051.79	1225.22	753.83	1806.78	1407.55	2682.69	3515.68	1044.52	1467.37	1896.65	1477.58	1250.98	2351.53	1250.98	915.51	2224.63	2193.99	0.0	0.53	2701.35	2032.85	988.12	1662.49	1427.22	1794.29	713.11	1359.57	1437.15	1350.18	1277.29	1487.87	1378.57	2004.85
GHR	23.59	457.25	497.0	297.17	470.14	563.18	616.37	563.18	397.93	490.14	457.25	218.79	1963.57	237.86	1427.22	1369.04	417.77	59.97	318.57	76.17	5.45	2.23	3.89	11.3	13.32	4.54	5.06	2.66	8.99	7.94	3.72	3.89	12.0	11.04	0.0	0.44	49.21	181.28	4.94	4.13	166.73	4.58	6.21	3.72	8.78	7.69	11.21	6.26	4.94	87.03
GLI3	205.5	454.09	595.34	463.65	547.75	348.71	397.93	543.96	351.14	387.02	674.59	995.0	429.54	1167.14	612.11	336.79	457.25	26.67	149.12	28.24	19.53	2.92	11.91	43.63	55.1	29.48	46.18	27.05	31.22	47.5	32.36	37.59	56.28	98.04	0.0	0.54	76.17	281.09	16.27	6.11	182.55	7.82	26.67	15.91	41.52	9.85	47.5	17.25	14.03	55.89
GNPDA2	271.48	420.68	480.04	346.29	412.0	361.04	435.55	426.57	379.04	414.87	490.14	518.15	583.07	607.87	454.09	429.54	395.18	76.71	262.2	351.14	93.35	178.77	197.09	209.84	217.27	146.03	143.01	146.03	212.78	157.68	93.35	172.65	132.44	154.42	0.0	0.31	202.66	381.68	73.54	204.07	260.38	189.02	63.0	122.64	226.54	68.07	214.27	178.77	22.75	273.37
GRAMD3	688.78	1208.34	1870.53	1923.14	1697.45	1199.98	1936.53	1378.57	1331.57	2148.82	1936.53	1447.15	1119.56	1250.98	1104.13	1030.12	1397.83	84.04	220.32	842.36	124.37	231.32	166.73	320.8	361.04	325.29	420.68	273.37	379.04	400.71	583.07	183.82	483.38	279.14	493.56	599.49	607.87	514.56	166.73	334.46	438.59	193.01	211.31	271.48	237.86	283.05	104.42	244.57	61.25	244.57
GUCY1A3	1208.34	733.19	1001.93	1295.13	1066.48	1359.57	1359.57	1447.15	981.29	1208.34	909.17	1015.93	1685.71	1331.57	1721.16	1066.48	1806.78	30.34	20.11	92.05	318.57	9.27	22.43	299.25	241.19	48.87	43.94	49.91	44.25	167.9	102.25	27.84	122.64	256.78	0.0	0.39	85.22	151.22	77.79	95.34	173.85	105.89	128.79	44.57	309.83	32.82	83.45	63.89	41.52	260.38
JAM2	86.43	830.75	775.05	728.11	802.41	633.73	529.06	748.61	507.46	651.58	1519.15	1950.0	1378.57	1015.93	785.88	1457.23	1551.09	28.65	41.81	842.36	29.91	8.78	23.42	104.42	217.27	41.52	52.08	36.53	55.89	47.84	27.64	64.8	170.25	171.45	0.0	0.1	66.65	197.09	44.57	28.65	312.0	14.56	30.56	38.95	70.51	23.42	46.5	19.97	29.06	486.75
KDM4D	24.11	29.7	32.82	28.24	24.63	23.25	42.71	27.25	17.9	37.32	47.17	49.91	26.28	26.28	52.08	64.8	36.53	9.56	24.99	22.43	11.55	4.43	10.24	8.58	5.02	12.27	16.39	6.41	4.46	7.69	8.32	9.56	4.54	7.17	0.0	0.0	13.62	24.81	4.9	7.17	7.57	13.72	3.99	14.89	12.74	18.29	13.52	13.32	4.21	10.24
KIT	866.07	1583.71	3690.52	4210.15	3820.7	5112.16	6294.04	5913.33	3372.43	4836.35	5076.84	1199.98	3325.99	4671.57	2090.03	1268.46	3303.0	108.9	148.09	26.67	68.55	28.86	15.45	88.88	37.32	34.26	9.48	4.66	356.05	114.36	4.74	17.51	69.03	48.52	0.0	0.45	381.68	603.67	21.01	22.26	72.01	33.78	13.93	28.24	214.27	36.79	71.0	6.11	137.14	197.09
LCN2	339.14	493.56	674.59	1909.85	808.0	1119.56	688.78	470.14	583.07	532.74	1519.15	921.88	1617.0	1250.98	1628.26	633.73	371.22	565825.41	1179708.33	706337.4	311742.51	316094.29	95286.54	542775.98	223512.12	343510.77	313910.86	204252.32	606436.73	256748.15	654483.73	1238359.56	336441.4	513497.31	0.0	0.43	425853.18	267651.2	1034138.94	565825.41	1472666.19	593956.43	244588.0	431797.89	334117.42	466008.55	383800.28	305326.92	350728.68	197294.7
MAPK10	579.04	265.87	249.73	86.43	148.09	234.57	198.47	253.23	202.66	124.37	206.94	356.05	1001.93	158.79	587.13	808.0	205.5	115.97	723.08	336.79	20.71	19.97	2.68	19.25	55.49	14.35	41.52	9.13	31.9	22.75	20.11	13.32	117.6	46.84	0.0	0.37	85.22	327.56	15.91	10.31	167.9	20.41	13.12	9.56	37.59	16.27	13.83	6.52	9.48	267.73
MTHFSD	616.37	423.61	463.65	392.44	356.05	387.02	381.68	423.61	435.55	417.77	583.07	497.0	435.55	500.46	397.93	470.14	429.54	283.05	361.04	429.54	299.25	224.97	314.17	241.19	297.17	265.87	249.73	323.03	493.56	314.17	236.21	473.41	208.38	218.79	0.0	0.05	283.05	236.21	163.28	189.02	241.19	173.85	218.79	165.57	373.81	346.29	381.68	232.94	255.0	305.55
NALCN	183.82	49.91	94.01	112.77	77.79	120.94	125.24	117.6	51.35	120.1	120.94	63.0	42.71	129.69	61.68	34.75	68.55	0.44	1.81	149.12	0.32	1.07	1.08	2.18	2.29	2.46	0.0	0.0	1.38	1.38	0.36	0.0	0.96	0.61	0.0	0.13	1.51	3.53	2.41	2.05	90.14	49.21	11.55	0.0	3.5	1.95	54.72	2.81	5.36	5.11
NIPSNAP3A	1639.59	743.43	698.41	591.22	591.22	656.11	547.75	660.68	599.49	674.59	684.02	674.59	954.43	607.87	836.53	1183.45	967.76	447.82	909.17	500.46	629.35	392.44	205.5	341.51	480.04	651.58	450.94	373.81	616.37	400.71	356.05	693.58	483.38	490.14	0.0	0.37	463.65	642.59	224.97	339.14	397.93	336.79	363.56	295.11	249.73	231.32	202.66	373.81	351.14	728.11
NMT2	575.03	438.59	426.57	420.68	417.77	473.41	454.09	397.93	460.44	384.34	368.65	429.54	890.44	397.93	753.83	941.27	460.44	63.89	157.68	262.2	40.93	204.07	156.59	148.09	256.78	127.89	206.94	185.11	281.09	211.31	139.07	136.19	120.1	175.07	165.57	136.19	176.29	172.65	159.9	90.77	164.42	128.79	226.54	176.29	205.5	185.11	123.5	603.67	108.14	258.57
NOS1AP	119.26	161.02	376.41	305.55	258.57	346.29	429.54	348.71	155.5	325.29	447.82	688.78	435.55	638.15	403.5	114.36	543.96	8.65	202.66	7.94	28.86	68.55	25.35	30.56	37.59	38.95	31.22	69.52	98.04	33.06	35.25	20.26	18.43	55.89	0.0	0.07	242.88	91.41	102.25	287.01	30.34	107.38	46.5	36.27	47.84	60.39	72.01	78.34	111.99	63.89
NUDT7	426.57	346.29	358.54	400.71	341.51	264.03	299.25	409.15	264.03	332.14	466.88	420.68	836.53	339.14	450.94	521.76	366.09	130.6	231.32	102.25	94.01	236.21	96.01	115.97	164.42	110.43	69.03	91.41	101.54	103.69	115.97	165.57	127.0	73.03	0.0	0.06	134.3	262.2	127.89	63.45	105.15	103.69	166.73	114.36	199.85	36.79	111.99	132.44	15.56	281.09
OR2A1	5.87	15.11	29.91	14.78	16.39	7.17	12.64	10.55	24.46	11.91	31.0	20.56	1.28	6.41	8.58	10.88	22.59	3.5	5.45	4.78	0.61	0.0	0.0	1.11	4.58	0.0	2.71	3.76	30.78	7.22	1.16	2.48	1.83	9.85	0.0	0.19	2.34	3.66	0.95	2.01	8.19	2.39	0.0	0.55	0.97	2.27	0.0	1.3	3.03	4.5
OTUD1	567.1	426.57	339.14	229.72	384.34	258.57	318.57	281.09	232.94	275.28	551.56	363.56	470.14	432.53	301.33	366.09	493.56	114.36	293.07	358.54	64.34	120.1	130.6	130.6	189.02	231.32	113.56	147.06	148.09	156.59	67.59	99.43	131.51	133.36	59.97	107.38	180.02	373.81	242.88	223.41	181.28	201.25	124.37	79.45	218.79	438.59	187.71	177.53	99.43	256.78
PAPSS1	2682.69	1857.6	1991.0	2400.97	1936.53	1870.53	1870.53	2255.7	2075.59	2255.7	2537.92	3190.46	2119.22	2434.5	2319.15	1617.0	2193.99	2303.12	2133.97	2777.33	435.55	336.79	435.55	624.99	493.56	205.5	426.57	187.71	287.01	265.87	295.11	297.17	660.68	373.81	0.0	0.12	947.83	1250.98	1151.06	915.51	642.59	426.57	651.58	493.56	514.56	1388.16	616.37	612.11	567.1	1015.93
PCMTD1	1519.15	1340.84	1819.35	1331.57	1639.59	1561.89	1508.65	1819.35	1313.23	1662.49	3146.52	3039.3	3349.13	2720.15	1769.57	2075.59	2468.49	514.56	486.75	1159.07	599.49	363.56	229.72	450.94	679.29	703.28	460.44	403.5	674.59	825.0	444.72	406.31	540.19	450.94	332.14	309.83	961.07	775.05	435.55	438.59	738.29	447.82	414.87	607.87	493.56	693.58	620.67	242.88	189.02	679.29
PFKFB3	2367.9	2018.8	2502.97	1417.35	1757.34	2701.35	2855.44	1066.48	1991.0	2119.22	1628.26	915.51	3982.99	1397.83	2609.3	4181.07	1583.71	17804.06	2720.15	688.78	277.2	343.89	1259.69	518.15	796.86	166.73	703.28	1151.06	583.07	638.15	684.02	339.14	1259.69	1151.06	0.0	0.34	718.08	1685.71	599.49	432.53	1447.15	703.28	220.32	543.96	2119.22	368.65	511.0	974.5	651.58	638.15
PGBD4	19.25	52.08	44.89	47.5	42.71	42.41	39.5	60.39	29.7	42.11	46.18	51.35	49.21	70.01	41.81	51.35	37.32	19.82	23.08	34.75	27.44	7.51	8.25	6.89	5.59	17.13	13.93	25.35	31.9	10.16	16.75	37.32	12.55	19.39	0.0	0.0	25.72	18.03	21.78	28.86	17.77	35.25	17.51	57.89	39.22	15.68	25.54	20.71	16.51	35.5
PLA2R1	217.27	373.81	435.55	669.92	669.92	988.12	551.56	633.73	426.57	511.0	1119.56	536.45	571.05	780.44	414.87	277.2	450.94	100.13	141.02	211.31	32.36	60.39	49.91	80.01	204.07	110.43	228.13	132.44	239.52	256.78	32.59	98.73	244.57	104.42	0.0	0.42	521.76	147.06	13.22	108.14	187.71	94.67	6.67	33.06	129.69	6.41	96.68	12.0	11.64	76.17
PLCL1	153.34	91.41	129.69	56.28	91.41	111.21	100.83	87.03	120.94	171.45	93.35	119.26	132.44	137.14	115.16	180.02	241.19	14.03	13.22	44.89	5.41	3.76	2.89	16.88	26.47	6.62	77.79	1.22	22.75	22.59	1.08	9.27	10.0	39.22	0.0	0.06	49.21	112.77	9.34	19.97	33.06	9.27	14.45	22.75	46.84	28.24	63.89	5.82	14.35	35.5
PRKAR2B	281.09	1427.22	854.13	343.89	571.05	1167.14	802.41	684.02	514.56	490.14	483.38	514.56	4095.0	507.46	2537.92	2148.82	1242.34	2.56	65.26	246.28	86.43	3.79	17.64	54.33	269.6	71.0	32.82	10.96	47.84	105.89	9.13	32.59	85.82	100.13	0.0	0.47	195.72	157.68	22.1	21.63	211.31	52.82	32.82	17.38	142.01	50.98	31.0	10.71	13.42	309.83
PUS10	163.28	141.02	198.47	103.69	161.02	157.68	125.24	211.31	137.14	215.77	260.38	217.27	152.28	214.27	176.29	258.57	242.88	105.89	125.24	88.88	34.75	38.12	41.52	51.35	84.04	70.01	84.04	87.65	103.69	95.34	62.56	103.69	76.71	66.18	0.0	0.34	148.09	78.34	42.71	93.35	81.71	106.63	93.35	91.41	116.78	114.36	55.1	118.43	45.53	66.18
RAB9A	2468.49	902.89	1059.11	1159.07	733.19	934.76	967.76	934.76	884.29	974.5	1331.57	961.07	1104.13	764.36	1066.48	791.35	1617.0	1059.11	1001.93	819.3	409.15	444.72	281.09	389.72	656.11	559.28	423.61	521.76	483.38	902.89	483.38	356.05	785.88	723.08	0.0	0.69	842.36	665.29	293.07	353.59	769.69	785.88	470.14	507.46	473.41	403.5	540.19	279.14	417.77	819.3
