	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.W5X1.2326.SM.3GIL6	GTEX.TMMY.0726.SM.33HBE	GTEX.146FH.0826.SM.5SI8T	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A2Q9.01A.21R.A18C.07
KATNAL1	156.59	275.28	237.86	275.28	500.46	178.77	397.93	23.25	28.86	30.56	30.12	72.01	17.38	37.05	50.98	51.35	50.98	177.53
KIDINS220	813.63	656.11	1119.56	656.11	1540.37	1044.52	1008.9	76.17	121.79	133.36	249.73	291.04	201.25	246.28	187.71	232.94	599.49	688.78
KIF20B	149.12	66.18	190.34	66.18	162.14	148.09	60.82	2.71	23.08	12.74	20.56	17.0	27.05	22.59	18.29	10.0	38.4	93.35
LSM11	67.12	61.25	110.43	61.25	108.14	104.42	63.89	12.0	13.42	14.56	24.46	15.91	15.91	22.26	19.82	24.99	31.22	54.72
MED23	620.67	318.57	775.05	318.57	813.63	753.83	444.72	74.06	86.43	98.04	102.25	102.25	83.45	112.77	180.02	101.54	327.56	400.71
METAP1	909.17	629.35	1594.73	629.35	1508.65	1030.12	713.11	307.69	244.57	444.72	486.75	271.48	368.65	490.14	397.93	511.0	450.94	830.75
MOB1A	1896.65	1175.27	1806.78	1175.27	2133.97	1832.01	2090.03	228.13	384.34	297.17	759.08	703.28	486.75	473.41	273.37	791.35	825.0	1651.0
MOSPD2	220.32	146.03	265.87	146.03	417.77	438.59	447.82	29.27	43.32	81.14	111.99	72.52	67.12	69.52	40.36	89.51	194.36	228.13
MST4	320.8	119.26	373.81	119.26	198.47	368.65	117.6	24.11	29.91	71.5	92.7	41.52	41.22	23.08	30.12	146.03	74.06	183.82
NCK1	1015.93	796.86	1135.2	796.86	1628.26	688.78	1359.57	180.02	251.48	323.03	371.22	540.19	387.02	500.46	334.46	460.44	457.25	669.92
NDC1	361.04	303.44	490.14	303.44	571.05	532.74	211.31	85.82	75.64	86.43	162.14	108.14	142.01	96.01	84.63	209.84	96.68	202.66
NUP155	320.8	246.28	450.94	246.28	647.07	248.0	392.44	81.14	105.15	50.27	66.65	66.18	55.89	108.14	51.71	38.95	101.54	236.21
NUP160	567.1	361.04	830.75	361.04	1388.16	753.83	525.39	115.16	136.19	139.07	226.54	190.34	147.06	201.25	156.59	178.77	320.8	423.61
NUP54	791.35	728.11	1295.13	728.11	2119.22	1008.9	764.36	99.43	256.78	312.0	314.17	246.28	161.02	232.94	295.11	212.78	525.39	638.15
NXT2	297.17	303.44	511.0	303.44	450.94	412.0	248.0	67.59	105.15	67.12	138.1	87.65	105.89	103.69	76.17	78.89	98.04	209.84
PGGT1B	353.59	366.09	599.49	366.09	780.44	353.59	521.76	129.69	153.34	162.14	215.77	194.36	171.45	201.25	148.09	178.77	120.1	277.2
PITPNB	1208.34	878.17	1397.83	878.17	1540.37	1096.5	909.17	327.56	518.15	454.09	500.46	743.43	525.39	775.05	703.28	518.15	591.22	896.64
PPP3R1	1104.13	1143.1	1427.22	1143.1	1697.45	1467.37	1583.71	529.06	629.35	674.59	733.19	688.78	665.29	603.67	660.68	563.18	529.06	866.07
PRR14L	376.41	277.2	381.68	277.2	397.93	387.02	226.54	65.72	61.68	93.35	120.1	105.15	120.94	82.29	68.07	89.51	166.73	260.38
PTPN1	981.29	2520.38	651.58	2520.38	764.36	638.15	543.96	229.72	229.72	211.31	214.27	318.57	220.32	293.07	205.5	187.71	327.56	878.17
PWWP2A	320.8	183.82	409.15	183.82	518.15	429.54	260.38	28.65	77.25	76.17	111.99	86.43	72.52	83.45	96.01	80.01	178.77	277.2
R3HCC1L	273.37	175.07	287.01	175.07	368.65	264.03	248.0	36.01	88.88	45.53	68.07	95.34	74.58	71.0	74.58	44.57	142.01	224.97
RAB8B	651.58	457.25	547.75	457.25	1159.07	872.1	854.13	40.07	66.65	49.91	128.79	134.3	117.6	124.37	98.04	120.1	137.14	373.81
RAP2A	441.64	323.03	587.13	323.03	555.41	450.94	470.14	40.93	77.25	63.89	193.01	89.51	111.21	125.24	41.22	212.78	314.17	429.54
RARS	1088.92	1073.91	1477.58	1073.91	1519.15	1709.26	1216.75	450.94	599.49	466.88	511.0	525.39	595.34	791.35	493.56	563.18	836.53	1259.69
RECQL	780.44	638.15	595.34	638.15	819.3	651.58	1119.56	34.51	130.6	87.03	228.13	183.82	158.79	142.01	73.03	173.85	267.73	785.88
REV3L	379.04	384.34	450.94	384.34	529.06	551.56	460.44	33.06	72.01	98.04	72.52	76.71	55.49	97.36	134.3	49.91	236.21	271.48
RNF111	480.04	323.03	525.39	323.03	688.78	551.56	426.57	131.51	93.35	211.31	177.53	193.01	176.29	105.89	305.55	99.43	264.03	361.04
RRN3	612.11	802.41	961.07	802.41	1369.04	878.17	703.28	239.52	242.88	299.25	392.44	297.17	303.44	281.09	303.44	318.57	414.87	536.45
SENP1	279.14	223.41	397.93	223.41	412.0	358.54	215.77	22.59	37.85	34.51	38.12	51.35	37.59	62.56	34.02	44.25	117.6	218.79
SKAP2	620.67	738.29	808.0	738.29	1639.59	723.08	1583.71	35.25	63.89	43.63	201.25	237.86	255.0	173.85	51.35	163.28	105.89	327.56
SLC25A51	271.48	547.75	392.44	547.75	305.55	255.0	540.19	76.17	36.79	92.7	74.06	103.69	63.89	77.25	66.18	124.37	151.22	262.2
SLC9A6	189.02	171.45	209.84	171.45	555.41	334.46	275.28	63.45	60.39	64.34	127.0	63.45	84.63	85.22	40.93	106.63	141.02	231.32
SLTM	1594.73	1259.69	1819.35	1259.69	2119.22	2240.11	1359.57	348.71	532.74	872.1	563.18	460.44	466.88	629.35	713.11	497.0	941.27	1268.46
SON	4123.49	2796.65	5076.84	2796.65	7081.29	5219.6	4038.61	665.29	967.76	1037.29	1096.5	1286.18	928.3	1059.11	808.0	872.1	2319.15	3639.7
SRPK1	629.35	314.17	665.29	314.17	543.96	656.11	483.38	119.26	152.28	140.04	251.48	214.27	175.07	135.24	191.67	154.42	199.85	529.06
STK17B	1427.22	511.0	954.43	511.0	890.44	1369.04	591.22	20.41	35.5	25.91	28.04	37.85	41.52	35.5	117.6	10.0	148.09	830.75
STXBP4	98.73	67.12	153.34	67.12	165.57	84.63	148.09	5.19	3.59	10.96	19.39	10.47	7.34	38.67	16.63	44.25	44.89	73.54
TDP1	454.09	212.78	406.31	212.78	384.34	201.25	255.0	75.64	119.26	87.03	108.14	98.73	114.36	164.42	64.8	95.34	85.82	271.48
TF	1159.07	5329.3	708.18	5329.3	397.93	629.35	447.82	301123.38	3406832.48	2825352.59	1.271475112E7	1864037.21	4165330.83	8273118.55	2232145.06	1345768.59	10.88	146.03
TFCP2	612.11	543.96	684.02	543.96	954.43	679.29	759.08	120.94	127.0	136.19	175.07	154.42	305.55	95.34	138.1	153.34	351.14	466.88
UBP1	1397.83	1073.91	1467.37	1073.91	1508.65	1662.49	909.17	255.0	575.03	435.55	642.59	346.29	497.0	633.73	432.53	483.38	743.43	1030.12
UBR5	1651.0	1628.26	1870.53	1628.26	2816.11	3081.75	1487.87	224.97	231.32	273.37	183.82	503.95	190.34	387.02	403.5	246.28	1023.0	1331.57
UBTD2	493.56	507.46	620.67	507.46	1167.14	928.3	587.13	113.56	152.28	185.11	255.0	194.36	209.84	169.07	152.28	237.86	244.57	426.57
UGCG	1268.46	1127.35	995.0	1127.35	1127.35	514.56	974.5	212.78	154.42	152.28	260.38	309.83	170.25	265.87	400.71	183.82	309.83	830.75
UHRF2	836.53	323.03	1208.34	323.03	1081.39	896.64	571.05	82.87	108.9	157.68	133.36	169.07	127.0	277.2	183.82	318.57	450.94	743.43
UPF2	476.71	301.33	624.99	301.33	872.1	624.99	490.14	38.12	164.42	159.9	279.14	166.73	224.97	246.28	175.07	182.55	264.03	318.57
USP16	854.13	830.75	1159.07	830.75	1819.35	1378.57	718.08	81.71	307.69	236.21	305.55	318.57	291.04	255.0	293.07	277.2	457.25	575.03
VPS36	713.11	579.04	1268.46	579.04	1487.87	902.89	674.59	180.02	197.09	343.89	275.28	376.41	228.13	301.33	279.14	223.41	387.02	620.67
YWHAQ	7130.55	6337.83	8598.28	6337.83	13681.08	10368.08	6337.83	1322.37	1963.57	1487.87	2609.3	2367.9	2417.67	2163.77	1286.18	2351.53	3467.27	5594.3
ZBTB11	301.33	165.57	463.65	165.57	454.09	392.44	229.72	23.25	39.5	76.71	74.58	85.22	58.3	78.89	112.77	108.9	151.22	232.94
ZBTB41	209.84	151.22	291.04	151.22	307.69	205.5	177.53	9.56	18.97	37.59	51.71	48.52	32.59	61.68	48.18	41.22	88.26	129.69
ZFP90	444.72	283.05	713.11	283.05	954.43	400.71	473.41	82.29	81.71	100.83	144.01	98.04	133.36	90.77	75.11	117.6	269.6	447.82
ZNF525	249.73	229.72	289.02	229.72	249.73	255.0	147.06	7.0	4.82	27.25	7.11	14.56	16.51	25.91	78.34	15.45	114.36	234.57
