	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5453.11A.01R.1503.07	TCGA.CJ.5672.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CW.6088.11A.01R.1672.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.B8.5549.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.BQ.5887.11A.01R.1965.07
DRAP1	884.29	796.86	723.08	483.38	2417.67	2224.63	2956.17	2119.22	2193.99	2645.74	2537.92	1781.89	1529.73	1529.73	1407.55	1551.09	1674.06	1697.45	921.88	1277.29	1044.52	1806.78	1639.59	1662.49	1350.18	1870.53	1104.13	928.3	1304.15	1417.35	1551.09	1685.71	2417.67	1359.57	2303.12	2148.82	1844.76	2271.4	2133.97
EIF3G	2645.74	2209.26	2777.33	2271.4	4328.55	4066.71	4388.98	3955.48	4123.49	4010.71	4671.57	2956.17	4181.07	2915.45	3847.29	3280.18	3168.41	3280.18	2573.36	2976.74	2664.15	3467.27	3235.01	3443.31	3039.3	3443.31	2645.74	2451.44	2609.3	2997.45	3349.13	3280.18	4123.49	2758.13	5006.93	4268.94	4123.49	4607.24	3901.01
FBXW9	37.59	41.52	53.19	81.71	251.48	211.31	305.55	224.97	256.78	218.79	279.14	262.2	332.14	285.03	226.54	152.28	145.02	170.25	148.09	170.25	172.65	195.72	182.55	183.82	185.11	154.42	152.28	154.42	76.71	157.68	149.12	164.42	197.09	115.97	303.44	262.2	267.73	260.38	206.94
HMG20B	514.56	435.55	607.87	441.64	1794.29	1447.15	1498.22	1628.26	1628.26	1977.24	1662.49	1216.75	2193.99	1437.15	1733.13	1135.2	1167.14	1159.07	884.29	1135.2	860.08	1583.71	1233.75	1304.15	941.27	1183.45	934.76	941.27	616.37	1081.39	1008.9	1286.18	1733.13	961.07	1963.57	1721.16	1561.89	1832.01	1498.22
INO80E	629.35	599.49	679.29	473.41	1151.06	1023.0	1313.23	961.07	1313.23	1447.15	1073.91	884.29	1508.65	995.0	1183.45	713.11	796.86	813.63	665.29	842.36	571.05	896.64	791.35	884.29	669.92	848.22	796.86	738.29	563.18	769.69	693.58	698.41	1015.93	511.0	1662.49	1295.13	954.43	1359.57	921.88
JOSD2	241.19	295.11	351.14	126.12	802.41	961.07	954.43	785.88	813.63	764.36	819.3	651.58	921.88	753.83	693.58	466.88	403.5	579.04	379.04	351.14	176.29	511.0	441.64	532.74	470.14	579.04	271.48	381.68	251.48	480.04	412.0	438.59	890.44	320.8	954.43	791.35	743.43	836.53	759.08
LRRC45	39.79	46.5	73.54	24.28	190.34	114.36	217.27	165.57	211.31	143.01	195.72	137.14	379.04	95.34	182.55	109.66	109.66	108.14	77.79	114.36	77.25	134.3	116.78	132.44	72.52	111.21	90.14	87.03	84.63	108.9	76.71	100.13	201.25	63.45	291.04	198.47	182.55	231.32	142.01
LSM7	400.71	536.45	624.99	638.15	2163.77	2224.63	2047.0	2018.8	1832.01	2240.11	2591.27	1268.46	2271.4	1225.22	1359.57	1001.93	1044.52	1175.27	974.5	1127.35	543.96	1322.37	1208.34	1135.2	1096.5	1457.23	909.17	934.76	825.0	1081.39	866.07	1225.22	1844.76	974.5	2434.5	1950.0	1561.89	1745.2	1529.73
MAN1B1	540.19	503.95	490.14	579.04	1191.69	854.13	1277.29	995.0	1073.91	1051.79	1208.34	902.89	1313.23	1088.92	1183.45	974.5	848.22	928.3	684.02	866.07	759.08	1044.52	1001.93	954.43	854.13	941.27	878.17	607.87	595.34	743.43	785.88	902.89	1242.34	728.11	1388.16	1159.07	1135.2	1199.98	961.07
MRPL23	674.59	738.29	836.53	423.61	2400.97	2335.28	2796.65	2319.15	1963.57	3419.52	3372.43	1870.53	2271.4	1674.06	2287.2	1529.73	1572.76	1605.83	1369.04	1617.0	1135.2	2104.58	1709.26	1605.83	1896.65	2018.8	1407.55	1388.16	629.35	1447.15	1639.59	1529.73	2758.13	1477.58	2777.33	2335.28	2224.63	2835.7	2047.0
MVB12A	579.04	547.75	713.11	466.88	1529.73	1437.15	2018.8	1417.35	1233.75	1583.71	1963.57	1388.16	1923.14	1066.48	1540.37	1250.98	1023.0	1167.14	780.44	1088.92	656.11	995.0	1225.22	1277.29	947.83	1233.75	866.07	854.13	698.41	1001.93	1111.82	1151.06	1378.57	890.44	1674.06	1457.23	1397.83	1721.16	1340.84
NAGK	1081.39	1417.35	1216.75	981.29	1721.16	1923.14	1909.85	1519.15	1745.2	1819.35	2018.8	1819.35	2319.15	1857.6	1651.0	1208.34	1277.29	1350.18	1216.75	1378.57	1096.5	1639.59	1427.22	1508.65	1250.98	1628.26	1175.27	1159.07	1313.23	1388.16	1208.34	1467.37	1757.34	1427.22	2104.58	1819.35	1407.55	2090.03	1709.26
NOSIP	748.61	665.29	708.18	460.44	1651.0	1781.89	1781.89	1540.37	1709.26	2255.7	2319.15	1233.75	1757.34	1427.22	1407.55	1037.29	1104.13	1295.13	995.0	1233.75	775.05	1427.22	1199.98	1322.37	1051.79	1183.45	1066.48	1001.93	688.78	1088.92	1037.29	1127.35	1697.45	854.13	1781.89	1697.45	1540.37	1870.53	1427.22
NTHL1	100.13	92.05	116.78	41.22	476.71	305.55	503.95	379.04	432.53	587.13	638.15	271.48	738.29	389.72	624.99	269.6	234.57	327.56	148.09	256.78	150.17	361.04	316.37	269.6	223.41	277.2	226.54	234.57	118.43	271.48	239.52	260.38	426.57	195.72	529.06	409.15	444.72	521.76	327.56
NUBP2	348.71	309.83	426.57	202.66	1467.37	1066.48	1447.15	1225.22	1268.46	1721.16	2133.97	967.76	1950.0	1322.37	1397.83	872.1	791.35	961.07	583.07	759.08	305.55	1066.48	896.64	854.13	780.44	921.88	718.08	551.56	368.65	723.08	848.22	780.44	1295.13	575.03	1651.0	1427.22	1397.83	1519.15	1127.35
OXLD1	224.97	165.57	267.73	137.14	909.17	848.22	1167.14	896.64	848.22	1096.5	1096.5	518.15	848.22	830.75	703.28	476.71	463.65	503.95	363.56	463.65	299.25	656.11	476.71	470.14	599.49	547.75	368.65	339.14	229.72	444.72	486.75	616.37	981.29	423.61	860.08	819.3	775.05	909.17	651.58
PIH1D1	884.29	848.22	836.53	718.08	1498.22	1508.65	1697.45	1572.76	1757.34	2075.59	1977.24	1208.34	2004.85	1304.15	1709.26	1242.34	1259.69	1359.57	1322.37	1369.04	1183.45	1639.59	1551.09	1487.87	1191.69	1417.35	1143.1	1331.57	909.17	1167.14	1008.9	1407.55	1733.13	954.43	1950.0	1844.76	1745.2	1909.85	1407.55
PIN1	447.82	417.77	497.0	141.02	2193.99	2032.85	2720.15	1844.76	1963.57	2335.28	2133.97	1806.78	1896.65	1583.71	1662.49	1427.22	1277.29	1572.76	748.61	1088.92	638.15	1407.55	1437.15	1322.37	1388.16	1909.85	1051.79	819.3	802.41	1167.14	1340.84	1519.15	1721.16	1127.35	2209.26	1806.78	1721.16	2537.92	1936.53
PMF1	688.78	656.11	620.67	872.1	2209.26	1794.29	2777.33	2018.8	2061.24	2664.15	2758.13	1733.13	2178.83	2104.58	2148.82	1757.34	1617.0	1551.09	1286.18	1605.83	1277.29	1457.23	1844.76	1477.58	1331.57	1806.78	1350.18	1191.69	780.44	1417.35	1561.89	1487.87	1896.65	1250.98	2303.12	2400.97	1991.0	2148.82	1709.26
PPP2R3B	31.0	34.75	38.4	42.71	70.51	48.52	107.38	57.89	63.89	57.89	89.51	24.99	135.24	78.89	86.43	38.67	38.12	44.57	31.0	41.22	33.78	61.25	29.48	51.71	19.97	46.18	46.84	41.52	18.97	43.63	36.79	39.22	54.33	26.28	114.36	80.01	71.5	105.15	71.5
PRMT1	860.08	860.08	1151.06	1242.34	2627.46	2682.69	2627.46	2417.67	2976.74	3564.78	2133.97	2335.28	2335.28	2209.26	1909.85	1977.24	1844.76	2148.82	1617.0	1963.57	1286.18	1950.0	2133.97	2061.24	1883.54	2417.67	1697.45	1709.26	1427.22	1769.57	1605.83	2148.82	2119.22	1540.37	2915.45	2537.92	2193.99	2682.69	2591.27
RAB1B	2739.08	2664.15	2855.44	2193.99	5329.3	4450.27	5147.73	4210.15	4836.35	4903.87	5751.61	5041.77	4937.99	4543.8	3639.7	3901.01	4268.94	4152.18	3491.39	3928.15	3325.99	4095.0	4481.23	4095.0	4038.61	4836.35	3768.09	3349.13	2609.3	3716.2	4152.18	4210.15	4769.75	3257.52	4736.79	4388.98	5076.84	4575.41	4769.75
SIVA1	825.0	651.58	915.51	454.09	2224.63	2502.97	2367.9	2520.38	2287.2	3168.41	3257.52	1540.37	2178.83	1417.35	2018.8	1477.58	1250.98	1628.26	1008.9	1313.23	688.78	1870.53	1250.98	1467.37	1540.37	1819.35	988.12	1233.75	656.11	1295.13	1127.35	1477.58	2018.8	1191.69	2591.27	2148.82	1909.85	2032.85	1977.24
SSNA1	497.0	493.56	583.07	283.05	2061.24	1697.45	2351.53	1857.6	1950.0	2351.53	2468.49	1467.37	2004.85	1359.57	1605.83	1081.39	1242.34	1397.83	1073.91	1225.22	1104.13	1697.45	1322.37	1295.13	1119.56	1268.46	1151.06	947.83	808.0	1088.92	1151.06	1304.15	2209.26	1081.39	2004.85	1769.57	1529.73	2178.83	1437.15
STX10	483.38	387.02	420.68	291.04	1001.93	796.86	995.0	854.13	1001.93	1216.75	1066.48	551.56	1313.23	825.0	1233.75	651.58	599.49	669.92	500.46	651.58	507.46	684.02	733.19	708.18	624.99	693.58	551.56	660.68	381.68	620.67	583.07	718.08	866.07	518.15	1295.13	967.76	808.0	1175.27	764.36
STX4	447.82	571.05	579.04	381.68	934.76	764.36	974.5	860.08	902.89	909.17	583.07	583.07	703.28	651.58	669.92	647.07	688.78	748.61	514.56	624.99	607.87	753.83	780.44	813.63	607.87	718.08	612.11	559.28	480.04	688.78	536.45	693.58	988.12	559.28	1127.35	947.83	808.0	1044.52	775.05
TCEA2	854.13	748.61	759.08	633.73	1806.78	1350.18	1594.73	1605.83	1594.73	1794.29	2335.28	825.0	1991.0	1427.22	1950.0	995.0	1051.79	1143.1	934.76	981.29	884.29	1216.75	1008.9	1216.75	896.64	1023.0	934.76	1001.93	563.18	1037.29	981.29	1159.07	1457.23	769.69	1794.29	1447.15	1498.22	1594.73	1322.37
TFPT	95.34	92.7	91.41	45.53	426.57	473.41	476.71	371.22	454.09	412.0	361.04	329.84	271.48	253.23	299.25	258.57	237.86	301.33	183.82	197.09	143.01	318.57	218.79	279.14	256.78	273.37	194.36	152.28	198.47	264.03	228.13	256.78	435.55	194.36	460.44	429.54	387.02	403.5	320.8
THAP7	279.14	267.73	400.71	387.02	954.43	764.36	1073.91	1015.93	981.29	1081.39	1331.57	583.07	1135.2	579.04	902.89	603.67	567.1	620.67	450.94	511.0	246.28	647.07	470.14	620.67	529.06	511.0	493.56	529.06	262.2	521.76	575.03	555.41	813.63	441.64	1135.2	934.76	866.07	941.27	728.11
TMUB1	285.03	256.78	423.61	314.17	1487.87	1757.34	1819.35	1437.15	1313.23	1651.0	2178.83	854.13	1757.34	1135.2	1111.82	796.86	909.17	1167.14	796.86	733.19	435.55	1216.75	884.29	1051.79	738.29	974.5	703.28	674.59	540.19	791.35	759.08	854.13	1662.49	612.11	2451.44	1594.73	1437.15	1594.73	1350.18
TSR3	579.04	518.15	466.88	258.57	1605.83	1407.55	1651.0	1407.55	1594.73	1685.71	2104.58	1295.13	1662.49	1242.34	1242.34	1216.75	1119.56	1199.98	890.44	1015.93	813.63	1378.57	1208.34	1111.82	1127.35	1233.75	967.76	769.69	525.39	1030.12	1008.9	1073.91	1769.57	848.22	2004.85	1651.0	1583.71	1685.71	1359.57
UBXN1	1183.45	1037.29	1639.59	674.59	3665.02	3060.45	3768.09	3372.43	3716.2	4123.49	3768.09	2720.15	3419.52	2075.59	3280.18	2935.74	2835.7	2976.74	1457.23	2384.37	2645.74	3257.52	2739.08	2855.44	2739.08	2935.74	2255.7	1628.26	1844.76	2835.7	2758.13	2855.44	3589.58	2335.28	3768.09	3928.15	3280.18	3491.39	2816.11
UMOD	0.0	0.0	0.0	2.48	254974.66	602247.76	66912.05	443937.41	299043.36	363097.14	3178687.03	1318073.06	789181.81	1070607.81	1299926.74	152662.96	137587.47	292889.12	585779.24	233003.78	190574.09	136637.07	301123.38	434801.29	431797.89	345900.08	144427.91	327241.36	102.25	218912.29	138544.47	636586.81	502929.67	267651.2	282912.21	239554.43	641014.63	236256.4	391864.76
WBSCR22	967.76	928.3	921.88	1111.82	2417.67	2609.3	2682.69	2163.77	2047.0	2777.33	2777.33	3060.45	1594.73	1844.76	1936.53	1794.29	1923.14	1923.14	1617.0	1794.29	1519.15	2061.24	2148.82	1806.78	1909.85	1909.85	1794.29	1467.37	1369.04	1721.16	2075.59	2061.24	2209.26	1977.24	2319.15	2303.12	2018.8	2777.33	2004.85
