	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.D7.6524.01A.11R.1802.13	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.1192W.0126.SM.5EGGS	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
C1QTNF1	0.67	660.68	1151.06	2758.13	954.43	3325.99	2915.45	2816.11	2018.8	2609.3	1721.16	651.58	3443.31	2193.99	1359.57	698.41	802.41	3124.78	1508.65	2335.28	1674.06	241.19	591.22	217.27	780.44	1519.15	1159.07	497.0	612.11	384.34	343.89	341.51	417.77	2417.67	830.75	629.35	379.04	529.06	616.37	1378.57	599.49	518.15	151.22	759.08	713.11	341.51	547.75	1023.0	423.61	518.15	703.28	438.59	947.83	1001.93	813.63	1037.29	1119.56	371.22	371.22	432.53	435.55
CARM1	329.84	738.29	1487.87	571.05	629.35	713.11	633.73	567.1	759.08	713.11	525.39	624.99	624.99	728.11	595.34	518.15	780.44	819.3	599.49	679.29	698.41	341.51	514.56	463.65	521.76	529.06	583.07	483.38	444.72	525.39	423.61	633.73	480.04	603.67	583.07	551.56	493.56	503.95	450.94	599.49	457.25	511.0	260.38	450.94	476.71	447.82	529.06	547.75	540.19	551.56	483.38	470.14	583.07	432.53	444.72	497.0	454.09	607.87	490.14	435.55	454.09
CCM2	0.95	791.35	830.75	1651.0	764.36	1295.13	1397.83	947.83	1950.0	1857.6	1350.18	902.89	1447.15	2047.0	854.13	684.02	934.76	1286.18	753.83	1583.71	599.49	371.22	346.29	466.88	612.11	607.87	563.18	438.59	476.71	400.71	543.96	397.93	503.95	559.28	660.68	620.67	884.29	426.57	426.57	571.05	665.29	529.06	305.55	665.29	450.94	708.18	693.58	356.05	575.03	348.71	775.05	429.54	620.67	444.72	511.0	708.18	1295.13	547.75	493.56	521.76	486.75
CCT3	0.55	4869.99	3614.55	3168.41	2451.44	2645.74	2915.45	2777.33	2935.74	3190.46	3639.7	2119.22	4328.55	2915.45	2956.17	2895.31	2895.31	2573.36	3372.43	2777.33	2351.53	2835.7	2178.83	2335.28	2255.7	2664.15	2520.38	2573.36	2739.08	2148.82	2400.97	1519.15	2193.99	2537.92	2796.65	2367.9	2075.59	2287.2	1757.34	2855.44	2468.49	2417.67	2591.27	1844.76	2451.44	2303.12	2573.36	2240.11	1757.34	2271.4	2720.15	2573.36	3325.99	1936.53	2502.97	2682.69	2915.45	2335.28	2400.97	2133.97	2287.2
CDA	0.71	125.24	379.04	693.58	248.0	1151.06	265.87	603.67	708.18	293.07	432.53	291.04	1151.06	269.6	371.22	303.44	703.28	379.04	395.18	351.14	105.15	10.0	27.84	25.35	215.77	140.04	85.22	57.89	80.57	27.64	64.34	39.22	71.0	118.43	77.79	50.98	47.17	35.0	61.68	89.51	50.98	74.58	6.01	92.05	33.78	38.4	106.63	81.14	43.32	80.01	180.02	124.37	211.31	61.68	33.3	77.79	44.89	42.11	10.16	67.59	12.83
CDC42EP1	0.96	1950.0	8421.31	3212.66	1111.82	1936.53	1806.78	1950.0	1529.73	1322.37	1183.45	941.27	1508.65	2104.58	928.3	813.63	1745.2	2451.44	819.3	3372.43	708.18	186.4	708.18	511.0	1540.37	457.25	358.54	616.37	555.41	403.5	616.37	555.41	723.08	674.59	854.13	738.29	669.92	571.05	507.46	511.0	483.38	547.75	208.38	813.63	470.14	470.14	406.31	713.11	476.71	579.04	466.88	199.85	651.58	336.79	599.49	728.11	1277.29	599.49	802.41	514.56	450.94
CDC42EP4	0.59	1008.9	981.29	1001.93	607.87	1277.29	967.76	1322.37	1037.29	733.19	1477.58	1030.12	1819.35	988.12	848.22	866.07	878.17	1322.37	819.3	1088.92	1199.98	595.34	684.02	738.29	1051.79	1051.79	1250.98	785.88	981.29	728.11	759.08	1081.39	587.13	1407.55	1199.98	796.86	703.28	769.69	954.43	1044.52	954.43	624.99	733.19	967.76	656.11	679.29	1127.35	836.53	575.03	848.22	1437.15	1044.52	1259.69	848.22	860.08	1111.82	1322.37	669.92	791.35	743.43	723.08
CHPF2	0.4	909.17	1143.1	921.88	624.99	896.64	1313.23	866.07	1350.18	1183.45	1008.9	723.08	1216.75	915.51	819.3	698.41	954.43	1001.93	703.28	1104.13	595.34	185.11	283.05	303.44	480.04	836.53	708.18	373.81	435.55	332.14	339.14	674.59	285.03	497.0	463.65	341.51	346.29	273.37	320.8	483.38	460.44	476.71	299.25	309.83	231.32	275.28	620.67	287.01	371.22	381.68	785.88	748.61	543.96	223.41	366.09	567.1	343.89	339.14	426.57	305.55	332.14
COL18A1	1.07	1697.45	7230.1	2417.67	2816.11	3589.58	3081.75	2855.44	4836.35	3467.27	2104.58	2591.27	3589.58	3847.29	2537.92	1977.24	5751.61	3081.75	3103.19	2400.97	2193.99	307.69	759.08	1096.5	1745.2	3018.3	2502.97	1388.16	2178.83	1135.2	1628.26	3168.41	1617.0	3820.7	1304.15	2417.67	1378.57	1111.82	1685.71	1259.69	934.76	2032.85	358.54	1467.37	1286.18	1066.48	1977.24	1096.5	1151.06	1286.18	2319.15	1487.87	3372.43	1037.29	1208.34	1896.65	1883.54	1594.73	1175.27	1519.15	1111.82
CPLX1	0.78	417.77	161.02	74.58	94.67	166.73	120.1	138.1	142.01	133.36	74.58	82.29	101.54	98.04	48.18	63.89	171.45	109.66	46.84	85.82	63.45	19.39	30.78	24.46	96.01	34.75	22.26	33.3	27.05	38.95	22.1	31.22	68.07	48.87	61.25	41.52	56.68	39.22	86.43	25.72	19.68	78.34	7.51	95.34	33.54	20.56	31.45	54.33	68.55	37.85	28.65	41.52	39.5	46.18	43.32	40.64	137.14	43.63	24.46	55.89	32.82
CTU2	0.42	500.46	356.05	389.72	438.59	480.04	420.68	417.77	392.44	490.14	551.56	341.51	420.68	339.14	432.53	341.51	500.46	307.69	389.72	368.65	444.72	169.07	182.55	197.09	371.22	291.04	293.07	366.09	249.73	414.87	232.94	387.02	376.41	332.14	279.14	358.54	395.18	314.17	473.41	316.37	339.14	376.41	232.94	346.29	258.57	303.44	348.71	301.33	412.0	341.51	363.56	231.32	332.14	218.79	406.31	361.04	381.68	281.09	376.41	295.11	356.05
DPP3	872.1	860.08	1151.06	441.64	507.46	551.56	543.96	511.0	708.18	660.68	633.73	473.41	579.04	559.28	651.58	500.46	518.15	703.28	432.53	748.61	454.09	343.89	351.14	348.71	466.88	536.45	571.05	547.75	507.46	356.05	363.56	273.37	371.22	507.46	536.45	303.44	457.25	387.02	327.56	470.14	403.5	521.76	447.82	262.2	356.05	397.93	514.56	348.71	417.77	497.0	713.11	351.14	629.35	251.48	500.46	543.96	420.68	373.81	447.82	460.44	435.55
DVL1	1.07	1572.76	1104.13	1617.0	1191.69	1277.29	1508.65	1378.57	1781.89	1519.15	1037.29	921.88	1617.0	1819.35	1037.29	808.0	2090.03	1721.16	1151.06	1605.83	947.83	323.03	514.56	490.14	1369.04	567.1	842.36	708.18	629.35	1008.9	656.11	1617.0	866.07	1037.29	638.15	1023.0	836.53	595.34	872.1	674.59	791.35	819.3	320.8	909.17	808.0	660.68	764.36	764.36	967.76	802.41	708.18	543.96	738.29	563.18	713.11	974.5	1088.92	884.29	848.22	825.0	738.29
EHD4	0.09	674.59	1023.0	878.17	836.53	1417.35	836.53	1407.55	915.51	934.76	902.89	988.12	775.05	1001.93	909.17	866.07	1457.23	1111.82	1066.48	941.27	651.58	403.5	647.07	753.83	902.89	819.3	743.43	616.37	599.49	698.41	571.05	341.51	954.43	616.37	808.0	559.28	947.83	575.03	555.41	954.43	536.45	563.18	417.77	384.34	638.15	842.36	511.0	551.56	332.14	563.18	571.05	698.41	947.83	466.88	651.58	426.57	669.92	647.07	532.74	521.76	733.19
EIF4EBP1	0.71	2240.11	2178.83	441.64	198.47	414.87	521.76	303.44	620.67	660.68	575.03	438.59	361.04	555.41	159.9	155.5	267.73	466.88	183.82	616.37	236.21	96.01	112.77	122.64	260.38	351.14	172.65	77.25	141.02	88.26	102.25	111.99	123.5	473.41	186.4	204.07	153.34	146.03	153.34	242.88	201.25	161.02	52.08	237.86	217.27	205.5	373.81	156.59	130.6	122.64	239.52	115.16	341.51	133.36	100.13	175.07	339.14	96.68	108.14	199.85	128.79
ELF4	0.59	106.63	638.15	122.64	65.72	120.1	237.86	163.28	211.31	251.48	98.04	105.89	98.04	234.57	76.71	53.95	140.04	246.28	89.51	180.02	46.5	33.3	95.34	38.67	58.71	43.02	53.19	31.22	25.72	38.4	32.82	44.89	53.95	85.22	50.98	61.68	122.64	84.63	38.12	79.45	38.12	54.33	21.32	35.0	61.68	60.39	21.32	57.89	43.32	41.81	26.1	26.47	100.13	65.72	31.67	47.84	87.65	54.72	33.78	33.3	49.91
FAM110A	0.52	1088.92	356.05	470.14	363.56	403.5	500.46	334.46	656.11	507.46	358.54	363.56	368.65	490.14	392.44	309.83	265.87	384.34	395.18	563.18	237.86	122.64	126.12	129.69	353.59	194.36	145.02	142.01	121.79	110.43	151.22	103.69	143.01	209.84	231.32	118.43	221.86	116.78	94.01	194.36	136.19	169.07	64.34	199.85	150.17	120.94	260.38	132.44	145.02	156.59	217.27	165.57	346.29	109.66	118.43	228.13	237.86	212.78	77.79	152.28	161.02
FAM110D	0.13	217.27	150.17	164.42	209.84	299.25	180.02	674.59	115.97	211.31	236.21	104.42	392.44	177.53	119.26	125.24	309.83	209.84	185.11	110.43	127.0	25.72	82.87	39.5	128.79	165.57	87.03	62.12	43.94	35.0	27.05	23.76	100.13	92.7	189.02	85.22	98.04	49.56	125.24	84.63	32.59	62.12	18.84	77.79	57.49	69.03	102.97	52.82	29.91	95.34	162.14	115.97	154.42	43.63	57.08	57.49	152.28	87.65	38.67	74.58	89.51
FAM129B	0.59	3491.39	3768.09	5872.48	2796.65	3280.18	3395.89	4152.18	5441.3	2682.69	2720.15	2417.67	8191.0	5255.91	2997.45	2816.11	3325.99	6250.56	2895.31	6294.04	3395.89	1143.1	1350.18	1397.83	3742.05	4328.55	3665.02	2682.69	3103.19	1467.37	1733.13	3589.58	1277.29	3665.02	3303.0	1757.34	1674.06	1111.82	2758.13	1674.06	2537.92	1857.6	1529.73	3491.39	1709.26	1745.2	3372.43	1295.13	1950.0	1651.0	4066.71	4543.8	2835.7	3639.7	1605.83	4010.71	3639.7	1733.13	1991.0	1883.54	1794.29
FAM43A	0.52	358.54	376.41	480.04	287.01	346.29	1044.52	620.67	392.44	563.18	141.02	157.68	567.1	432.53	221.86	197.09	327.56	463.65	318.57	525.39	175.07	37.32	176.29	35.76	84.04	143.01	181.28	74.58	55.49	15.45	50.27	27.64	166.73	206.94	115.97	209.84	172.65	47.17	91.41	177.53	41.22	50.63	24.11	131.51	146.03	63.89	117.6	81.14	43.32	25.17	164.42	64.34	212.78	127.0	47.5	96.01	409.15	111.21	42.41	85.22	115.97
FASN	0.0	6426.31	2591.27	1721.16	1044.52	854.13	743.43	603.67	1295.13	872.1	1081.39	713.11	2485.67	1216.75	1447.15	684.02	1936.53	1378.57	728.11	1081.39	1088.92	105.15	336.79	389.72	995.0	1037.29	1417.35	551.56	656.11	414.87	633.73	547.75	547.75	981.29	620.67	708.18	571.05	334.46	521.76	785.88	728.11	500.46	392.44	684.02	629.35	486.75	1268.46	381.68	483.38	521.76	1529.73	1066.48	713.11	503.95	1088.92	1015.93	567.1	551.56	595.34	466.88	447.82
FBXO31	0.37	638.15	595.34	571.05	503.95	591.22	769.69	679.29	808.0	567.1	591.22	466.88	1175.27	575.03	591.22	450.94	551.56	708.18	595.34	571.05	551.56	368.65	409.15	339.14	490.14	463.65	363.56	423.61	409.15	507.46	320.8	703.28	406.31	579.04	363.56	480.04	403.5	400.71	493.56	435.55	426.57	403.5	285.03	567.1	540.19	384.34	265.87	457.25	470.14	423.61	279.14	373.81	334.46	656.11	514.56	441.64	612.11	366.09	329.84	387.02	412.0
FBXW5	0.97	3212.66	2384.37	3235.01	2163.77	1977.24	2178.83	1963.57	2502.97	2816.11	2178.83	2520.38	2758.13	2895.31	2133.97	1896.65	2796.65	2609.3	1923.14	2520.38	2335.28	595.34	1119.56	1277.29	2193.99	1963.57	2075.59	1551.09	1331.57	1331.57	1350.18	1447.15	1745.2	2224.63	2303.12	2018.8	1832.01	1191.69	1806.78	2004.85	1781.89	1794.29	921.88	1685.71	1407.55	1674.06	2047.0	1437.15	2061.24	1572.76	2739.08	1781.89	2335.28	1216.75	1594.73	2104.58	2148.82	1896.65	1605.83	1977.24	1583.71
FHL3	0.45	642.59	1191.69	368.65	279.14	441.64	733.19	409.15	819.3	500.46	490.14	366.09	441.64	529.06	279.14	224.97	363.56	420.68	215.77	397.93	234.57	137.14	193.01	209.84	285.03	147.06	181.28	111.21	130.6	87.65	85.82	106.63	113.56	143.01	198.47	189.02	114.36	125.24	218.79	181.28	195.72	217.27	111.21	140.04	150.17	163.28	104.42	237.86	115.16	164.42	122.64	98.04	177.53	154.42	130.6	182.55	277.2	132.44	151.22	113.56	140.04
FURIN	0.93	2935.74	2271.4	1709.26	1369.04	1674.06	1709.26	2090.03	1936.53	1685.71	1447.15	2303.12	1794.29	1923.14	1674.06	1331.57	4639.29	2451.44	1487.87	2075.59	1733.13	825.0	1119.56	1628.26	2018.8	1857.6	1870.53	1175.27	1991.0	1417.35	1757.34	2875.3	1407.55	1883.54	1350.18	1487.87	1572.76	941.27	1697.45	1806.78	1794.29	1651.0	1008.9	2047.0	1233.75	1519.15	1594.73	1088.92	1111.82	1583.71	2018.8	1963.57	2104.58	1369.04	1277.29	2351.53	2434.5	1208.34	2061.24	1572.76	1407.55
GALNT2	0.4	713.11	1781.89	854.13	723.08	775.05	723.08	723.08	1030.12	733.19	688.78	764.36	1001.93	819.3	708.18	693.58	1088.92	921.88	669.92	915.51	521.76	624.99	629.35	703.28	612.11	890.44	813.63	616.37	785.88	447.82	642.59	802.41	603.67	684.02	660.68	647.07	647.07	551.56	480.04	872.1	647.07	571.05	476.71	486.75	547.75	743.43	693.58	540.19	441.64	698.41	642.59	684.02	796.86	529.06	432.53	607.87	665.29	603.67	555.41	808.0	525.39
GLTPD1	0.33	764.36	718.08	934.76	603.67	703.28	624.99	620.67	808.0	825.0	620.67	490.14	842.36	769.69	579.04	503.95	915.51	693.58	532.74	688.78	607.87	157.68	248.0	358.54	587.13	432.53	441.64	231.32	366.09	262.2	256.78	165.57	466.88	529.06	480.04	536.45	432.53	325.29	323.03	406.31	435.55	366.09	226.54	420.68	403.5	486.75	450.94	332.14	409.15	265.87	500.46	483.38	629.35	256.78	438.59	525.39	599.49	395.18	397.93	373.81	438.59
GNB1L	0.59	223.41	121.79	108.14	97.36	85.22	102.97	139.07	103.69	120.94	100.83	116.78	92.05	107.38	71.0	81.14	98.73	116.78	120.1	118.43	84.04	14.14	42.41	55.89	122.64	90.14	63.0	88.26	42.71	66.18	64.8	74.06	64.34	102.97	109.66	76.71	112.77	98.73	48.18	68.07	113.56	81.14	34.51	88.26	61.68	59.97	112.77	55.89	58.3	97.36	124.37	51.35	157.68	72.01	75.11	73.03	73.03	78.34	96.68	65.26	77.25
GNB2	1.28	13306.94	6471.02	7803.01	6207.38	5441.3	7331.05	6337.83	7749.1	6207.38	8363.13	6207.38	9945.68	6164.49	7589.61	6426.31	6887.62	7180.15	6607.01	6294.04	5751.61	2682.69	3349.13	4903.87	5954.47	5995.9	5112.16	4358.66	5441.3	3690.52	4388.98	4512.4	4181.07	4937.99	5112.16	4010.71	4181.07	4095.0	5112.16	5403.7	5219.6	3982.99	3419.52	4802.93	3665.02	4181.07	5555.65	4607.24	4298.64	4736.79	5555.65	4769.75	6426.31	3820.7	4607.24	5913.33	5403.7	4512.4	4575.41	4066.71	4181.07
GNG5	1.03	3820.7	4358.66	5292.48	4010.71	3716.2	4358.66	4328.55	5913.33	5403.7	6471.02	4903.87	6037.61	5006.93	4010.71	4543.8	5872.48	4328.55	3928.15	4769.75	3060.45	3060.45	2400.97	3716.2	5831.91	3443.31	2591.27	3303.0	4095.0	2271.4	4704.07	3491.39	3665.02	3212.66	3467.27	3039.3	2777.33	3168.41	3794.3	3103.19	4210.15	3372.43	2875.3	3443.31	2485.67	3955.48	5112.16	2468.49	2915.45	2758.13	4869.99	4869.99	4972.34	3540.14	2997.45	5517.27	5292.48	2915.45	3419.52	3639.7	3955.48
GPR146	0.05	156.59	198.47	256.78	201.25	287.01	295.11	444.72	167.9	237.86	248.0	151.22	309.83	279.14	253.23	145.02	269.6	289.02	255.0	129.69	353.59	88.88	180.02	108.14	212.78	167.9	146.03	181.28	62.56	84.63	90.77	71.0	167.9	265.87	260.38	198.47	118.43	119.26	351.14	197.09	99.43	159.9	43.02	234.57	204.07	158.79	152.28	124.37	105.89	66.65	218.79	94.67	231.32	234.57	115.97	143.01	293.07	158.79	73.54	93.35	150.17
